字段名称,安全分类,监督状态,标签来源,监督标签_y,全量伪风险分数_pseudo_y,预测R2推断能力_q,初始敏感传播分数_seed_propagation,GNN预测隐性风险值_y_hat
congestion_price_rt,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.999772846698761
total_lmp_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995918869972229
congestion_price_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995861649513245
net_actual_interchange_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995682835578918
total_losses,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9995478987693787
da_as_total_mw_thirty_minutes_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9989738464355469
marginal_loss_price_da,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9985867738723755
da_as_total_mw_synchronized_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9984865188598633
da_as_total_mw_primary_reserve,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9982550740242004
gross_actual_interchange_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9974048733711243
metered_load_mw,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9943649768829346
total_gen,Confidential,Supervised,confidential_seed,1.0,1.0,1.0,1.0,0.9941598176956177
total_pjm_rmccp_cr,General,Unlabeled,unlabeled_general,,0.049260739237070084,0.0,0.14074496924877167,0.8000163435935974
forecast_load_mw_latest_available,General,Supervised,general_pseudo_high,0.7352811098098755,0.7352811098098755,0.9238477945327759,0.38508594036102295,0.7427148222923279
forecast_load_mw_day_ahead,General,Supervised,general_pseudo_high,0.6918643712997437,0.6918643712997437,0.8716468214988708,0.35798269510269165,0.7029140591621399
system_energy_price_da,General,Supervised,general_pseudo_high,0.6492360830307007,0.6492360830307007,0.8192704319953918,0.33345794677734375,0.6537189483642578
gen_fuel_gas_mw,General,Supervised,general_pseudo_high,0.5686520338058472,0.5686520338058472,0.7227729558944702,0.2824275493621826,0.5750542879104614
da_as_nsr_mw_primary_reserve,General,Supervised,general_pseudo_high,0.5617997646331787,0.5617997646331787,0.48547014594078064,0.7035547494888306,0.5648688077926636
gen_fuel_coal_mw,General,Supervised,general_pseudo_high,0.5493770241737366,0.5493770241737366,0.6487491130828857,0.36482882499694824,0.5558512806892395
gen_fuel_other_renewables_pct,General,Unlabeled,unlabeled_general,,0.3045792579650879,0.2866985499858856,0.3377862572669983,0.5490550398826599
