field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9084204286336899,-0.08222452518825252,True
metered_load_mw,0.9762308832723112,0.957377377897501,-0.01885350537481023,True
total_losses,0.6540839836602339,0.6778312027454376,0.02374721908520372,True
congestion_price_da,0.0475838272605031,0.2705938220024109,0.2230099947419078,True
congestion_price_rt,0.4561738508473963,0.4488636255264282,-0.007310225320968089,True
marginal_loss_price_da,0.4407231017762543,0.43012183904647827,-0.010601262729776018,True
total_lmp_da,0.9299314144617218,0.711772084236145,-0.21815933022557676,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9707879424095154,-0.00443987654824618,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9337939843535423,-0.008049126692104447,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.36554527282714844,-0.09135876517735564,True
