est,真实边际层,占比,MAE,偏差,低估q95
L0ensx,"(-1,0.02]",0.30852370760881703,0.008515498,0.0036488576,0.012972528
L0ensx,"(0.02,0.1]",0.4569761355028745,0.014666614,-0.0031223206,0.035406142
L0ensx,"(0.1,0.3]",0.1764252714015786,0.01946846,-0.0028077755,0.051997364
L0ensx,"(0.3,2]",0.05807488548672983,0.020087652,-0.0019335186,0.059442565
L0,"(-1,0.02]",0.30852370760881703,0.007949181,0.001969468,0.014062099
L0,"(0.02,0.1]",0.4569761355028745,0.015550701,-0.008710627,0.039659187
L0,"(0.1,0.3]",0.1764252714015786,0.020208461,-0.009392192,0.058880396
L0,"(0.3,2]",0.05807488548672983,0.019096775,-0.002025439,0.05309328
L1x,"(-1,0.02]",0.30852370760881703,0.007960744,0.0016347854,0.014486611
L1x,"(0.02,0.1]",0.4569761355028745,0.015482017,-0.008325123,0.03838229
L1x,"(0.1,0.3]",0.1764252714015786,0.018750302,-0.008846603,0.052305453
L1x,"(0.3,2]",0.05807488548672983,0.017758671,-0.0009296592,0.046270967
direct,"(-1,0.02]",0.30852370760881703,0.008788256,0.0008139946,0.015633583
direct,"(0.02,0.1]",0.4569761355028745,0.025662713,-0.01993609,0.05767864
direct,"(0.1,0.3]",0.1764252714015786,0.044666063,-0.028806515,0.11855607
direct,"(0.3,2]",0.05807488548672983,0.06353313,-0.013587799,0.21180159
