,da_as_as_req_mw_primary_reserve,gross_sched_interchange_mw,da_as_as_req_mw_thirty_minutes_reserve,system_energy_price_da,total_pjm_assigned_reg,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,total_pjm_reg_purchases,da_as_nsr_mw_primary_reserve,marginal_loss_price_rt,total_pjm_self_sched_reg,total_lmp_rt
da_as_as_req_mw_primary_reserve,0.41262826,0.37843913,0.14914033,0.36576107,0.33985877,0.38474855,0.37704226,0.25498906,0.29618585,0.40430638,0.3919534,0.39823198
gross_sched_interchange_mw,0.1996837,0.23387283,0.22248822,0.27254784,0.2734306,0.19734019,0.19913304,0.28124207,0.19139536,0.2983821,0.23707724,0.2741732
da_as_as_req_mw_thirty_minutes_reserve,0.0,0.25210333,0.26348794,0.21959084,0.21793091,0.266496,0.2655213,0.15923417,0.16941749,0.25473994,0.26273975,0.24327621
system_energy_price_da,0.0578925,0.1434347,0.0608626,0.10475969,0.08429247,0.26307613,0.2602067,0.06530076,0.10466798,0.07460487,0.113824725,0.072861254
total_pjm_assigned_reg,0.020149559,0.1324768,0.04736203,0.07245183,0.09291905,0.11697918,0.11561525,0.035466254,0.053545997,0.074933946,0.21846396,0.09470266
forecast_load_mw_latest_available,0.040438116,0.03178519,0.0713259,0.22663426,0.09237796,0.06831783,0.0183658,0.06646669,0.032729223,0.18361717,0.07799274,0.14849335
forecast_load_mw_day_ahead,0.032691956,0.033538163,0.07031131,0.22372496,0.09097415,0.018325925,0.068277955,0.06859535,0.03611745,0.18392795,0.080304265,0.15015393
total_pjm_reg_purchases,0.019390464,0.22439891,0.0727759,0.13757074,0.11957687,0.17517853,0.17734706,0.17702967,0.11736409,0.1540907,0.19971369,0.16859877
da_as_nsr_mw_primary_reserve,0.11466494,0.1886299,0.13703692,0.23101565,0.19173431,0.19551876,0.19894686,0.1714418,0.23110737,0.190804,0.21392968,0.1924528
marginal_loss_price_rt,0.03741026,0.11024141,0.036984146,0.015577316,0.027747035,0.16103148,0.16138214,0.022793174,0.005428776,0.04573214,0.049315274,0.09483403
total_pjm_self_sched_reg,0.0040756166,0.027954876,0.024002284,0.033815503,0.15029538,0.034425378,0.03677678,0.047434494,0.007572785,0.028333604,0.024750471,0.03949952
total_lmp_rt,0.024258286,0.078954935,0.01844284,0.006756127,0.040438175,0.118830085,0.120530546,0.030223668,0.0,0.087756455,0.053403616,0.038654566
