组,目标,主干,死神经元比例,有效维度,V带符号偏差,V绝对误差,系统偏差占比,边际Δ绝对误差,M2误差,M2偏差,M2排序Spearman,认证前1,认证前3,估计耗时ms
pjm_load,metered_load_mw,本组主干,0.32469618055555555,1.3113054497865289,-0.058109477162361145,0.0597599633038044,0.9723814129829407,0.03194266930222511,0.03209751844406128,-0.027758169919252396,0.9265951439864484,0.8766244649887085,0.9529425501823425,64.16211577679815
pjm_load,metered_load_mw,全列主干,0.07687934027777778,2.471784839324056,-0.04814118146896362,0.050235193222761154,0.9583158493041992,0.02849884331226349,0.02800905704498291,-0.013818514533340931,0.9390175042348957,0.9049766659736633,0.9767953753471375,126.1659558099937
pjm_load,metered_load_mw,留目标主干,0.07702256944444444,2.5466866281577194,-0.04707299917936325,0.0492810420691967,0.955194890499115,0.028542611747980118,0.08303747326135635,0.05368058383464813,0.8644833427442123,0.7698846459388733,0.9585325717926025,91.43993845214673
pjm_gen_ic,total_gen,本组主干,0.181875,1.6769161273286015,-0.051800284534692764,0.0532793253660202,0.9722398519515991,0.03101610578596592,0.04276576265692711,-0.03379345312714577,0.8721739130434782,0.8641079068183899,0.9287583827972412,113.53916955691813
pjm_gen_ic,net_actual_interchange_mw,本组主干,0.181875,1.6769161273286015,-0.053209125995635986,0.05410471931099892,0.9834470152854919,0.028407210484147072,0.023561954498291016,-0.021124133840203285,0.9452173913043478,0.9061596393585205,0.9792510271072388,113.53916955691813
pjm_gen_ic,total_gen,全列主干,0.07851128472222223,2.4802371157124052,-0.04066140949726105,0.042496562004089355,0.9568164348602295,0.026010502129793167,0.03840143233537674,-0.03760136291384697,0.9095652173913044,0.9257270097732544,0.95074862241745,117.44554020246417
pjm_gen_ic,net_actual_interchange_mw,全列主干,0.07851128472222223,2.4802371157124052,-0.04431939497590065,0.04576343670487404,0.9684455394744873,0.02493313141167164,0.019584620371460915,-0.017704680562019348,0.9356521739130433,0.9624566435813904,0.9854201078414917,117.44554020246417
pjm_gen_ic,total_gen,留目标主干,0.07765625,2.565643851040648,-0.03948860242962837,0.041415464133024216,0.9534748196601868,0.025940708816051483,0.051791559904813766,0.01437289547175169,0.8417391304347825,0.7011451125144958,0.9366940259933472,107.77126665574959
pjm_gen_ic,net_actual_interchange_mw,留目标主干,0.07765625,2.565643851040648,-0.04334307834506035,0.0448819175362587,0.965713620185852,0.02484840527176857,0.07223301380872726,0.05873739719390869,0.717391304347826,0.5516507029533386,0.9735751152038574,107.77126665574959
caiso_load,actual_load__mw__ca_iso_tac,本组主干,0.2780946180555556,1.1403615438282497,-0.02803811803460121,0.028796441853046417,0.9736660718917847,0.02086747996509075,0.018972450867295265,-0.016547733917832375,0.9815126050420169,0.9768468141555786,0.9919998049736023,121.66504630643732
caiso_load,actual_load__mw__ca_iso_tac,全列主干,0.07374131944444444,2.318441959735218,-0.019883036613464355,0.02230631373822689,0.8913636207580566,0.017525075003504753,0.017413994297385216,-0.01488912757486105,0.9817927170868348,0.9841051697731018,0.9910445213317871,81.1497499552338
caiso_load,actual_load__mw__ca_iso_tac,留目标主干,0.06645833333333333,2.323806130025794,-0.019676506519317627,0.022181862965226173,0.8870538473129272,0.017434054985642433,0.017268694937229156,-0.013998033478856087,0.980952380952381,0.9767436385154724,0.993332028388977,77.548392059911
