field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.8715268671512604,-0.11911808667068202,True
metered_load_mw,0.9762308832723112,0.9370076432824135,-0.03922323998989774,True
total_losses,0.6540839836602339,0.5739071071147919,-0.08017687654544203,True
congestion_price_da,0.0475838272605031,0.2798277735710144,0.23224394631051132,True
congestion_price_rt,0.4561738508473963,0.45626384019851685,8.998935112053408e-05,True
marginal_loss_price_da,0.4407231017762543,0.4116773009300232,-0.029045800846231096,True
total_lmp_da,0.9299314144617218,0.777654841542244,-0.15227657291947783,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9657448008656502,-0.009483018092111384,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9124216586351395,-0.02942145241050731,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.2929356098175049,-0.1639684281869992,True
