字段,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Γ1,Γ2,Γ3,Γ_MCI,K=2 见证,MCI 见证
P_g (unit 313 output),0.5238217,0.66140896,0.6621594,0.6635567,0.6635567,0.6635567,0.6635567,0.6635567,0.6635567,0.6635567,0.6635567,0.13758725,0.13833767,0.13973498,0.13973498,LMP_near (bus 306) + Wind available,LMP_near (bus 306) + Wind available + Congestion C6
LMP_g (bus 313),0.0,0.13758725,0.13890105,0.15832889,0.17296171,0.18260485,0.18260485,0.18260485,0.18260485,0.18260485,0.18260485,0.13758725,0.13890105,0.15832889,0.18260485,P_g (unit 313 output) + Wind available,System load + Area-3 load + Wind available + PV available + Congestion C6
LMP_near (bus 306),0.0049296618,0.13501531,0.13965148,0.1575911,0.16235083,0.16235083,0.16235083,0.16235083,0.16235083,0.16235083,0.16235083,0.13008565,0.13472182,0.15266144,0.15742117,P_g (unit 313 output) + Wind available,System load + Area-3 load + Wind available + PV available
"LMP_far (bus 303, behind C6)",0.00061917305,0.08523506,0.094275594,0.11841631,0.12241739,0.12241739,0.12241739,0.12241739,0.12241739,0.12241739,0.12241739,0.084615886,0.09365642,0.11779714,0.12179822,P_g (unit 313 output) + Wind available,System load + Wind available + PV available + Congestion C6
LMP_area2 (bus 223),0.0,0.06630921,0.08728343,0.12953526,0.14247972,0.15590662,0.15590662,0.15590662,0.15590662,0.15590662,0.15590662,0.06630921,0.08728343,0.12953526,0.15590662,P_g (unit 313 output) + Congestion C6,System load + Area-3 load + Wind available + PV available + Congestion C6
System load,0.0,0.022591472,0.08549547,0.15832889,0.17296171,0.17606497,0.17832834,0.17832834,0.17832834,0.17832834,0.17832834,0.022591472,0.08549547,0.15832889,0.17832834,LMP_near (bus 306) + Wind available,"LMP_g (bus 313) + LMP_near (bus 306) + LMP_far (bus 303, behind C6) + Wind available + PV available + Congestion C6"
Area-3 load,0.00012260675,0.006252885,0.045152366,0.061924815,0.06272322,0.06272322,0.06401366,0.06401366,0.06401366,0.06401366,0.06401366,0.006130278,0.04502976,0.06180221,0.06389105,P_g (unit 313 output) + PV available,"LMP_g (bus 313) + LMP_near (bus 306) + LMP_far (bus 303, behind C6) + Wind available + PV available + Congestion C6"
Wind available,0.0,0.0036014318,0.06784856,0.12992066,0.12992066,0.13771492,0.14631188,0.14631188,0.14631188,0.14631188,0.14631188,0.0036014318,0.06784856,0.12992066,0.14631188,LMP_near (bus 306) + System load,"LMP_g (bus 313) + LMP_far (bus 303, behind C6) + System load + Area-3 load + PV available + P_comp (unit 316 output)"
PV available,0.0,0.0,0.047578394,0.07554275,0.081801,0.09372014,0.09483099,0.09647381,0.097592175,0.097592175,0.097592175,0.0,0.047578394,0.07554275,0.097592175,P_g (unit 313 output) + System load,"LMP_g (bus 313) + LMP_far (bus 303, behind C6) + LMP_area2 (bus 223) + System load + Area-3 load + Wind available + Congestion C6 + P_comp (unit 316 output)"
Congestion C6,0.0,0.009284973,0.046238422,0.046238422,0.046238422,0.046238422,0.046238422,0.046238422,0.046238422,0.046238422,0.046238422,0.009284973,0.046238422,0.046238422,0.046238422,P_g (unit 313 output) + P_comp (unit 316 output),P_g (unit 313 output) + P_comp (unit 316 output)
P_comp (unit 316 output),0.0007455349,0.045690656,0.082644105,0.082644105,0.082644105,0.082644105,0.082644105,0.082644105,0.082644105,0.082644105,0.082644105,0.04494512,0.08189857,0.08189857,0.08189857,P_g (unit 313 output) + Congestion C6,P_g (unit 313 output) + Congestion C6
