数据,目标,字段,背景规模,Δ
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,0,0.28171128034591675
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.016312718391418457
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.2347894310951233
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.12821823358535767
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.39872992038726807
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.43753957748413086
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.3344126343727112
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.3933812975883484
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.3968800902366638
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.06303262710571289
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.03862375020980835
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.037767112255096436
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.005271553993225098
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.23877590894699097
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.257889986038208
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,1,0.30287957191467285
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.01915186643600464
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.04605585336685181
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.011129200458526611
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0052803754806518555
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.005991756916046143
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.010920524597167969
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.012170791625976562
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.01781100034713745
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0003399848937988281
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.00011241436004638672
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.04494583606719971
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.018221914768218994
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.011955857276916504
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.14451253414154053
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.20699650049209595
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.21181875467300415
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.26999175548553467
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2642518877983093
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2746659517288208
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0516585111618042
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.02828395366668701
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.016441285610198975
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0018306970596313477
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2162688970565796
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.21141868829727173
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.26337599754333496
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2106471061706543
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.25337904691696167
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2468116283416748
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2688038945198059
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2657894492149353
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.05003058910369873
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0005115270614624023
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0012769103050231934
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.039198458194732666
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.013452708721160889
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.005248963832855225
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.001338660717010498
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.003491520881652832
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.13236886262893677
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.1282261610031128
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.14413970708847046
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.3242681622505188
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.23210138082504272
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.414480984210968
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.4105439782142639
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.02631533145904541
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0012074112892150879
