target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gross_sched_interchange_mw,general,0.13770516216754913
net_actual_interchange_mw,2,da_as_total_mw_thirty_minutes_reserve,confidential,0.12027543783187866
net_actual_interchange_mw,3,da_as_as_req_mw_thirty_minutes_reserve,general,0.11897093802690506
net_actual_interchange_mw,4,da_as_as_req_mw_synchronized_reserve,general,0.11803723126649857
net_actual_interchange_mw,5,gen_fuel_nuclear_mw,general,0.11738822609186172
net_actual_interchange_mw,6,da_as_as_req_mw_primary_reserve,general,0.11430096626281738
net_actual_interchange_mw,7,da_as_total_mw_primary_reserve,confidential,0.11263410747051239
net_actual_interchange_mw,8,gen_fuel_multiple_fuels_pct,general,0.09341518580913544
net_actual_interchange_mw,9,total_pjm_rmpcp_cr,general,0.06727275252342224
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.19000029563903809
gross_actual_interchange_mw,2,gross_sched_interchange_mw,general,0.11154016852378845
gross_actual_interchange_mw,3,gen_fuel_solar_pct,general,0.09201908111572266
gross_actual_interchange_mw,4,total_losses,confidential,0.08864475041627884
gross_actual_interchange_mw,5,gen_fuel_solar_mw,general,0.08630305528640747
gross_actual_interchange_mw,6,gen_fuel_nuclear_mw,general,0.08117017894983292
gross_actual_interchange_mw,7,gen_fuel_coal_mw,general,0.07864382863044739
gross_actual_interchange_mw,8,total_pjm_reg_purchases,general,0.07801543921232224
gross_actual_interchange_mw,9,gen_fuel_coal_pct,general,0.07516826689243317
gross_actual_interchange_mw,10,total_pjm_assigned_reg,general,0.07056831568479538
gross_actual_interchange_mw,11,da_as_ss_mw_primary_reserve,general,0.047926634550094604
total_gen,1,forecast_load_mw_latest_available,general,0.07350436598062515
total_gen,2,metered_load_mw,confidential,0.07327035069465637
total_gen,3,forecast_load_mw_day_ahead,general,0.07253266125917435
total_gen,4,gen_fuel_gas_mw,general,0.06584249436855316
total_gen,5,gen_fuel_nuclear_pct,general,0.058705005794763565
total_gen,6,gen_fuel_coal_mw,general,0.05516780912876129
