target_idx,target_field,source_idx,source_field,source_type,gate_lambda,prior
49,congestion_price_da,52,total_lmp_da,confidential,0.10235492140054703,0.30548611283302307
49,congestion_price_da,51,marginal_loss_price_da,confidential,0.09831629693508148,0.2567322254180908
49,congestion_price_da,46,total_gen,confidential,0.09394443035125732,0.2898056209087372
49,congestion_price_da,47,metered_load_mw,confidential,0.0925147533416748,0.24739618599414825
49,congestion_price_da,1,gen_fuel_gas_mw,general,0.06946387141942978,0.26922810077667236
49,congestion_price_da,5,gen_fuel_oil_mw,general,0.03457809239625931,0.3099871873855591
49,congestion_price_da,19,forecast_load_mw_latest_available,general,0.03337012976408005,0.20593708753585815
49,congestion_price_da,38,system_energy_price_da,general,0.015320377424359322,0.27811646461486816
50,congestion_price_rt,52,total_lmp_da,confidential,0.10537945479154587,0.27984750270843506
50,congestion_price_rt,47,metered_load_mw,confidential,0.09683430194854736,0.25748181343078613
50,congestion_price_rt,21,rmccp,general,0.09552086889743805,0.48221778869628906
50,congestion_price_rt,27,total_pjm_rmccp_cr,general,0.0898994505405426,0.44416704773902893
50,congestion_price_rt,39,total_lmp_rt,general,0.05750461667776108,0.5448150038719177
50,congestion_price_rt,15,gen_fuel_oil_pct,general,0.053888581693172455,0.14921346306800842
50,congestion_price_rt,5,gen_fuel_oil_mw,general,0.03479945287108421,0.21073663234710693
50,congestion_price_rt,13,gen_fuel_multiple_fuels_pct,general,0.03194728493690491,0.2610865533351898
50,congestion_price_rt,40,marginal_loss_price_rt,general,0.024204637855291367,0.49910759925842285
50,congestion_price_rt,3,gen_fuel_multiple_fuels_mw,general,0.021313507109880447,0.28988343477249146
50,congestion_price_rt,38,system_energy_price_da,general,0.014939310029149055,0.15106721222400665
53,da_as_total_mw_primary_reserve,55,da_as_total_mw_thirty_minutes_reserve,confidential,0.1055428683757782,0.4217868149280548
53,da_as_total_mw_primary_reserve,44,net_actual_interchange_mw,confidential,0.09267248213291168,0.2883123457431793
53,da_as_total_mw_primary_reserve,28,total_pjm_rmpcp_cr,general,0.08757513761520386,0.16790880262851715
53,da_as_total_mw_primary_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.0837651938199997,0.6817460060119629
53,da_as_total_mw_primary_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.07597555220127106,0.7529271841049194
53,da_as_total_mw_primary_reserve,31,da_as_as_req_mw_primary_reserve,general,0.07556015253067017,0.7462126016616821
53,da_as_total_mw_primary_reserve,54,da_as_total_mw_synchronized_reserve,confidential,0.07444237172603607,0.3550601005554199
53,da_as_total_mw_primary_reserve,29,da_as_mcp_primary_reserve,general,0.06750604510307312,0.26646262407302856
53,da_as_total_mw_primary_reserve,25,total_pjm_self_sched_reg,general,0.06429186463356018,0.12157187610864639
53,da_as_total_mw_primary_reserve,4,gen_fuel_nuclear_mw,general,0.0552438460290432,0.31357675790786743
53,da_as_total_mw_primary_reserve,37,da_as_nsr_mw_primary_reserve,general,0.03024447150528431,0.6728807091712952
54,da_as_total_mw_synchronized_reserve,16,gen_fuel_other_renewables_pct,general,0.09406868368387222,0.236689493060112
54,da_as_total_mw_synchronized_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.08595191687345505,0.7009662985801697
54,da_as_total_mw_synchronized_reserve,53,da_as_total_mw_primary_reserve,confidential,0.08409541845321655,0.3538241386413574
54,da_as_total_mw_synchronized_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.07766823470592499,0.7295397520065308
54,da_as_total_mw_synchronized_reserve,31,da_as_as_req_mw_primary_reserve,general,0.07723399996757507,0.7248761653900146
54,da_as_total_mw_synchronized_reserve,1,gen_fuel_gas_mw,general,0.06958601623773575,0.20114043354988098
54,da_as_total_mw_synchronized_reserve,29,da_as_mcp_primary_reserve,general,0.06945812702178955,0.28046664595603943
54,da_as_total_mw_synchronized_reserve,37,da_as_nsr_mw_primary_reserve,general,0.031058410182595253,0.7389435768127441
55,da_as_total_mw_thirty_minutes_reserve,52,total_lmp_da,confidential,0.0993792861700058,0.33988672494888306
55,da_as_total_mw_thirty_minutes_reserve,44,net_actual_interchange_mw,confidential,0.08940953761339188,0.2969664931297302
55,da_as_total_mw_thirty_minutes_reserve,28,total_pjm_rmpcp_cr,general,0.08655637502670288,0.22647137939929962
55,da_as_total_mw_thirty_minutes_reserve,53,da_as_total_mw_primary_reserve,confidential,0.08064690232276917,0.44812774658203125
55,da_as_total_mw_thirty_minutes_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.07511072605848312,0.27775049209594727
55,da_as_total_mw_thirty_minutes_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.06762763857841492,0.2840132713317871
55,da_as_total_mw_thirty_minutes_reserve,31,da_as_as_req_mw_primary_reserve,general,0.06722436845302582,0.27940383553504944
55,da_as_total_mw_thirty_minutes_reserve,29,da_as_mcp_primary_reserve,general,0.06690867245197296,0.38587459921836853
55,da_as_total_mw_thirty_minutes_reserve,22,rmpcp,general,0.06427881121635437,0.1830679476261139
55,da_as_total_mw_thirty_minutes_reserve,4,gen_fuel_nuclear_mw,general,0.05515509843826294,0.5071426033973694
55,da_as_total_mw_thirty_minutes_reserve,15,gen_fuel_oil_pct,general,0.053474098443984985,0.3421279788017273
55,da_as_total_mw_thirty_minutes_reserve,39,total_lmp_rt,general,0.051755428314208984,0.3072567582130432
55,da_as_total_mw_thirty_minutes_reserve,30,da_as_mcp_synchronized_reserve,general,0.046136509627103806,0.47124597430229187
55,da_as_total_mw_thirty_minutes_reserve,5,gen_fuel_oil_mw,general,0.03303537145256996,0.27303338050842285
55,da_as_total_mw_thirty_minutes_reserve,13,gen_fuel_multiple_fuels_pct,general,0.03083091974258423,0.37237268686294556
