target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,9,0.20188117027282715,0.1990126669406891,0.19854626059532166,0.19993135333061218,0.20062854886054993
gross_actual_interchange_mw,11,0.19996166229248047,0.1998388171195984,0.20017434656620026,0.19996076822280884,0.20006440579891205
total_gen,28,0.19152329862117767,0.19165681302547455,0.19265568256378174,0.2347424179315567,0.18942177295684814
metered_load_mw,27,0.19287818670272827,0.19087181985378265,0.1942935585975647,0.23162344098091125,0.19033297896385193
total_losses,19,0.1814465969800949,0.1634005904197693,0.1594965010881424,0.3312894403934479,0.16436688601970673
congestion_price_da,8,0.19591258466243744,0.1757657825946808,0.17226456105709076,0.2174728810787201,0.23858416080474854
congestion_price_rt,11,0.1447790414094925,0.15180841088294983,0.1549852043390274,0.35695040225982666,0.19147692620754242
marginal_loss_price_da,21,0.19939517974853516,0.18353226780891418,0.18731887638568878,0.25198790431022644,0.17776580154895782
total_lmp_da,32,0.1913769245147705,0.18079409003257751,0.1956138163805008,0.25181832909584045,0.18039679527282715
da_as_total_mw_primary_reserve,11,0.22395439445972443,0.1845143884420395,0.20111972093582153,0.20198486745357513,0.18842659890651703
da_as_total_mw_synchronized_reserve,8,0.18112538754940033,0.17943793535232544,0.1909722089767456,0.271860808134079,0.17660364508628845
da_as_total_mw_thirty_minutes_reserve,18,0.18288695812225342,0.1946832537651062,0.18563102185726166,0.25347575545310974,0.18332302570343018
