rank,field,sensitivity,masked_loss,loss_increase
1,da_as_nsr_mw_primary_reserve,0.3074779515368316,0.4506351351737976,0.10597530007362366
2,system_energy_price_da,0.22745289287855933,0.42305371165275574,0.07839387655258179
3,marginal_loss_price_rt,0.05945084529737269,0.3651501536369324,0.020490318536758423
4,gen_fuel_nuclear_mw,0.057424708373163026,0.3644518256187439,0.019791990518569946
5,total_lmp_rt,0.047278978180895326,0.36095499992370605,0.016295164823532104
6,gen_fuel_wind_mw,0.037510943707514094,0.35758835077285767,0.012928515672683716
7,forecast_load_mw_latest_available,0.027441478996944626,0.35411781072616577,0.009457975625991821
8,forecast_load_mw_day_ahead,0.024529901559594513,0.3531143069267273,0.008454471826553345
9,gen_fuel_oil_mw,0.022303157019126465,0.35234683752059937,0.007687002420425415
10,gen_fuel_other_renewables_pct,0.01665181565024754,0.35039904713630676,0.0057392120361328125
11,da_as_as_req_mw_synchronized_reserve,0.0157253889258543,0.350079745054245,0.005419909954071045
12,da_as_as_req_mw_primary_reserve,0.015199399214776825,0.34989845752716064,0.005238622426986694
13,da_as_as_req_mw_thirty_minutes_reserve,0.014188146597474333,0.34954991936683655,0.004890084266662598
14,gen_fuel_coal_pct,0.012408359284781966,0.3489364981651306,0.004276663064956665
15,gen_fuel_coal_mw,0.011719808229495114,0.3486991822719574,0.004039347171783447
16,da_as_mcp_primary_reserve,0.011296024640149279,0.3485531210899353,0.0038932859897613525
17,gross_inadv_interchange_mw,0.011011369350182643,0.348455011844635,0.0037951767444610596
18,da_as_mcp_synchronized_reserve,0.008978141984363848,0.34775424003601074,0.003094404935836792
19,gen_fuel_hydro_mw,0.0077287542915546355,0.34732362627983093,0.0026637911796569824
20,gen_fuel_nuclear_pct,0.007113355841162002,0.3471115231513977,0.002451688051223755
21,gen_fuel_gas_mw,0.006061117012606719,0.34674885869026184,0.0020890235900878906
22,total_pjm_loc_credit,0.003992178032341925,0.34603577852249146,0.0013759434223175049
23,gen_fuel_gas_pct,0.0024719700575838973,0.3455118238925934,0.0008519887924194336
24,total_pjm_reg_purchases,0.002175814417202449,0.3454097509384155,0.0007499158382415771
25,da_as_ss_mw_primary_reserve,0.0018876139064312467,0.34531041979789734,0.0006505846977233887
26,da_as_ss_mw_thirty_minutes_reserve,0.0014157536642234907,0.3451477885246277,0.00048795342445373535
27,rmpcp,0.0009570366796326633,0.34498968720436096,0.0003298521041870117
28,da_as_ss_mw_synchronized_reserve,0.0009129375915758637,0.34497448801994324,0.0003146529197692871
29,total_pjm_rmpcp_cr,0.00091207290357475,0.34497418999671936,0.00031435489654541016
30,gen_fuel_solar_mw,0.0004177307733380372,0.3448038101196289,0.00014397501945495605
31,net_inadv_interchange_mw,-1.9369011224947286e-05,0.3446531593799591,-6.67572021484375e-06
32,gen_fuel_hydro_pct,-0.0006045033815786004,0.3444514870643616,-0.00020834803581237793
33,gross_sched_interchange_mw,-0.0009952558892818897,0.3443168103694916,-0.00034302473068237305
34,total_pjm_assigned_reg,-0.0021761602924028943,0.3439098000526428,-0.0007500350475311279
35,gen_fuel_other_renewables_mw,-0.0022836410109413298,0.3438727557659149,-0.0007870793342590332
36,gen_fuel_oil_pct,-0.0025906052513366994,0.3437669575214386,-0.0008928775787353516
37,rmccp,-0.0031782472168935825,0.3435644209384918,-0.001095414161682129
38,total_pjm_self_sched_reg,-0.003216120551342363,0.343551367521286,-0.0011084675788879395
39,gen_fuel_solar_pct,-0.0033241200826814666,0.3435141444206238,-0.001145690679550171
40,gen_fuel_storage_mw,-0.004333556855181621,0.3431662321090698,-0.001493602991104126
41,gen_fuel_wind_pct,-0.005934526689243671,0.34261444211006165,-0.0020453929901123047
42,total_pjm_rmccp_cr,-0.0080006986679049,0.34190231561660767,-0.002757519483566284
43,gen_fuel_multiple_fuels_pct,-0.01621566702248578,0.3390709459781647,-0.005588889122009277
44,gen_fuel_multiple_fuels_mw,-0.02151689621971376,0.33724382519721985,-0.0074160099029541016
