target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,16,0.1701732873916626,0.17164424061775208,0.18158270418643951,0.29058921337127686,0.18601058423519135
gross_actual_interchange_mw,17,0.1703236997127533,0.16516193747520447,0.16304636001586914,0.3411441147327423,0.16032396256923676
total_gen,28,0.1934383362531662,0.19452200829982758,0.1931786984205246,0.2277200073003769,0.19114097952842712
metered_load_mw,27,0.1933959275484085,0.19181719422340393,0.19693219661712646,0.22489912807941437,0.19295549392700195
total_losses,19,0.18326975405216217,0.1758839637041092,0.1753910481929779,0.2897461950778961,0.17570903897285461
congestion_price_da,8,0.15965569019317627,0.15612606704235077,0.18437595665454865,0.24959789216518402,0.2502443492412567
congestion_price_rt,11,0.21423020958900452,0.20412740111351013,0.188004270195961,0.1842057853937149,0.20943234860897064
marginal_loss_price_da,21,0.20347508788108826,0.18830691277980804,0.20589108765125275,0.21766982972621918,0.18465712666511536
total_lmp_da,32,0.19532082974910736,0.1870831996202469,0.20721042156219482,0.22275501489639282,0.1876305490732193
da_as_total_mw_primary_reserve,11,0.23502670228481293,0.18601781129837036,0.2150847315788269,0.179305300116539,0.1845654547214508
da_as_total_mw_synchronized_reserve,8,0.18361742794513702,0.1793738305568695,0.1963443011045456,0.2603856325149536,0.18027880787849426
da_as_total_mw_thirty_minutes_reserve,18,0.1827477067708969,0.20558494329452515,0.19408880174160004,0.23219077289104462,0.18538779020309448
