target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,9,2.1826047897338867,0.9933462479197019
gross_actual_interchange_mw,11,2.3391904830932617,0.9755182011612209
total_gen,28,3.2281978130340576,0.9687874208129927
metered_load_mw,27,3.1977689266204834,0.9702449048994536
total_losses,19,2.8787078857421875,0.9776761909860122
congestion_price_da,8,2.0646920204162598,0.9929069796058508
congestion_price_rt,11,2.312174081802368,0.9642514867232025
marginal_loss_price_da,21,2.9816982746124268,0.9793648546213463
total_lmp_da,32,3.4029486179351807,0.9818834190990074
da_as_total_mw_primary_reserve,11,2.2695138454437256,0.9464607863358342
da_as_total_mw_synchronized_reserve,8,1.9664835929870605,0.9456787091973144
da_as_total_mw_thirty_minutes_reserve,18,2.8589470386505127,0.9891277932813303
