target_idx,target_field,source_idx,source_field,source_type,gate_lambda,prior
49,congestion_price_da,52,total_lmp_da,confidential,0.08560654520988464,0.2783547639846802
49,congestion_price_da,51,marginal_loss_price_da,confidential,0.08178527653217316,0.2890767753124237
49,congestion_price_da,46,total_gen,confidential,0.06407416611909866,0.22772963345050812
49,congestion_price_da,1,gen_fuel_gas_mw,general,0.029834477230906487,0.26473870873451233
49,congestion_price_da,19,forecast_load_mw_latest_available,general,0.018921665847301483,0.2854378819465637
49,congestion_price_da,38,system_energy_price_da,general,0.01040426641702652,0.28666818141937256
50,congestion_price_rt,52,total_lmp_da,confidential,0.08813679218292236,0.27833622694015503
50,congestion_price_rt,47,metered_load_mw,confidential,0.06968497484922409,0.2516515552997589
50,congestion_price_rt,21,rmccp,general,0.06692030280828476,0.4535348415374756
50,congestion_price_rt,27,total_pjm_rmccp_cr,general,0.06509054452180862,0.4281843900680542
50,congestion_price_rt,39,total_lmp_rt,general,0.027717487886548042,0.49595990777015686
50,congestion_price_rt,5,gen_fuel_oil_mw,general,0.02267708256840706,0.2680160403251648
50,congestion_price_rt,15,gen_fuel_oil_pct,general,0.022487150505185127,0.31074008345603943
50,congestion_price_rt,13,gen_fuel_multiple_fuels_pct,general,0.01570574939250946,0.2513425350189209
50,congestion_price_rt,3,gen_fuel_multiple_fuels_mw,general,0.015018591657280922,0.30591636896133423
50,congestion_price_rt,40,marginal_loss_price_rt,general,0.012604385614395142,0.4860107898712158
50,congestion_price_rt,38,system_energy_price_da,general,0.010031590238213539,0.2728567123413086
53,da_as_total_mw_primary_reserve,44,net_actual_interchange_mw,confidential,0.08763757348060608,0.2786661982536316
53,da_as_total_mw_primary_reserve,54,da_as_total_mw_synchronized_reserve,confidential,0.07856050133705139,0.3485471308231354
53,da_as_total_mw_primary_reserve,55,da_as_total_mw_thirty_minutes_reserve,confidential,0.06927905976772308,0.40060362219810486
53,da_as_total_mw_primary_reserve,31,da_as_as_req_mw_primary_reserve,general,0.06278394907712936,0.7191410064697266
53,da_as_total_mw_primary_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.06265823543071747,0.7251061201095581
53,da_as_total_mw_primary_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.06259511411190033,0.6754755973815918
53,da_as_total_mw_primary_reserve,4,gen_fuel_nuclear_mw,general,0.061720021069049835,0.3517060875892639
53,da_as_total_mw_primary_reserve,29,da_as_mcp_primary_reserve,general,0.04823114722967148,0.2647690176963806
53,da_as_total_mw_primary_reserve,37,da_as_nsr_mw_primary_reserve,general,0.02507561817765236,0.6904194355010986
54,da_as_total_mw_synchronized_reserve,53,da_as_total_mw_primary_reserve,confidential,0.06977911293506622,0.3545956015586853
54,da_as_total_mw_synchronized_reserve,31,da_as_as_req_mw_primary_reserve,general,0.06131265312433243,0.723717451095581
54,da_as_total_mw_synchronized_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.06119268387556076,0.7287086248397827
54,da_as_total_mw_synchronized_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.06108733266592026,0.7008334398269653
54,da_as_total_mw_synchronized_reserve,29,da_as_mcp_primary_reserve,general,0.04710056260228157,0.28193041682243347
54,da_as_total_mw_synchronized_reserve,37,da_as_nsr_mw_primary_reserve,general,0.02444148063659668,0.7032809257507324
55,da_as_total_mw_thirty_minutes_reserve,52,total_lmp_da,confidential,0.09021039307117462,0.269010066986084
55,da_as_total_mw_thirty_minutes_reserve,53,da_as_total_mw_primary_reserve,confidential,0.06971866637468338,0.49283820390701294
55,da_as_total_mw_thirty_minutes_reserve,4,gen_fuel_nuclear_mw,general,0.05886228010058403,0.46813225746154785
55,da_as_total_mw_thirty_minutes_reserve,29,da_as_mcp_primary_reserve,general,0.045616600662469864,0.3964288830757141
55,da_as_total_mw_thirty_minutes_reserve,30,da_as_mcp_synchronized_reserve,general,0.041540440171957016,0.4804985821247101
55,da_as_total_mw_thirty_minutes_reserve,39,total_lmp_rt,general,0.030197301879525185,0.3068886399269104
55,da_as_total_mw_thirty_minutes_reserve,37,da_as_nsr_mw_primary_reserve,general,0.024306468665599823,0.23314137756824493
55,da_as_total_mw_thirty_minutes_reserve,5,gen_fuel_oil_mw,general,0.024127257987856865,0.2494274526834488
55,da_as_total_mw_thirty_minutes_reserve,15,gen_fuel_oil_pct,general,0.023430362343788147,0.3062274754047394
55,da_as_total_mw_thirty_minutes_reserve,13,gen_fuel_multiple_fuels_pct,general,0.016316533088684082,0.3383606970310211
55,da_as_total_mw_thirty_minutes_reserve,3,gen_fuel_multiple_fuels_mw,general,0.015690989792346954,0.35597965121269226
55,da_as_total_mw_thirty_minutes_reserve,38,system_energy_price_da,general,0.010801330208778381,0.39356523752212524
45,gross_actual_interchange_mw,0,gen_fuel_coal_mw,general,0.08233010768890381,0.18161509931087494
45,gross_actual_interchange_mw,10,gen_fuel_coal_pct,general,0.0760970264673233,0.16008634865283966
