confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9653414450585842,0.04799101874232292,True
metered_load_mw,0.9640131071209908,0.01557725016027689,True
total_gen,0.9565820507705212,0.019866356626152992,True
da_as_total_mw_synchronized_reserve,0.898890309035778,0.08497191965579987,True
total_lmp_da,0.8480060696601868,0.06608153879642487,True
total_losses,0.6861509382724762,0.2756742835044861,True
marginal_loss_price_da,0.46749264001846313,0.2920147478580475,True
congestion_price_rt,0.4190868139266968,0.9504668116569519,True
da_as_total_mw_thirty_minutes_reserve,0.4090561866760254,0.4245922565460205,True
gross_actual_interchange_mw,0.3043617010116577,0.40665626525878906,True
congestion_price_da,0.2714322805404663,1.2367037534713745,True
net_actual_interchange_mw,-0.8311910629272461,1.4142420291900635,True
