target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,16,2.6366162300109863,0.9509582899410511
gross_actual_interchange_mw,17,2.3859829902648926,0.8421473078511487
total_gen,28,3.0247371196746826,0.9077285354000212
metered_load_mw,27,3.0090746879577637,0.912992605609689
total_losses,19,2.790029525756836,0.9475589562214949
congestion_price_da,16,2.7183735370635986,0.9804460053013612
congestion_price_rt,16,2.5924630165100098,0.9350333844017585
marginal_loss_price_da,21,2.892427444458008,0.9500430703413879
total_lmp_da,32,3.2834525108337402,0.9474041308748505
da_as_total_mw_primary_reserve,11,2.080169200897217,0.8674979364172297
da_as_total_mw_synchronized_reserve,8,1.7955180406570435,0.863461657694195
da_as_total_mw_thirty_minutes_reserve,18,2.767256498336792,0.9574050434090232
