field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.1635336875915527,-1.4117236436052372,True
gross_actual_interchange_mw,0.2460934792895835,0.06309628486633301,-0.1829971944232505,True
total_gen,0.9906449538219424,0.9577630944550037,-0.03288185936693866,True
metered_load_mw,0.9762308832723112,0.9690415933728218,-0.007189289899489415,True
total_losses,0.6540839836602339,0.6648853123188019,0.010801328658567977,True
congestion_price_da,0.0475838272605031,0.25424301624298096,0.20665918898247787,True
congestion_price_rt,0.4561738508473963,0.46472853422164917,0.008554683374252858,True
marginal_loss_price_da,0.4407231017762543,0.48149794340133667,0.04077484162508238,True
total_lmp_da,0.9299314144617218,0.887552909553051,-0.04237850490867079,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.966735377907753,-0.00849244105000857,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9401181824505329,-0.0017249285951138615,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3623504638671875,-0.09455357413731658,True
