target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gross_sched_interchange_mw,general,0.21129563450813293
net_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.10730339586734772
net_actual_interchange_mw,3,da_as_total_mw_thirty_minutes_reserve,confidential,0.08443741500377655
net_actual_interchange_mw,4,gen_fuel_gas_mw,general,0.08090812712907791
net_actual_interchange_mw,5,da_as_as_req_mw_primary_reserve,general,0.07771683484315872
net_actual_interchange_mw,6,da_as_as_req_mw_synchronized_reserve,general,0.07348497211933136
net_actual_interchange_mw,7,da_as_as_req_mw_thirty_minutes_reserve,general,0.06771513819694519
net_actual_interchange_mw,8,gen_fuel_other_renewables_mw,general,0.04445409029722214
net_actual_interchange_mw,9,total_gen,confidential,0.044234320521354675
net_actual_interchange_mw,10,marginal_loss_price_da,confidential,0.03926120698451996
net_actual_interchange_mw,11,gen_fuel_multiple_fuels_pct,general,0.03880435600876808
net_actual_interchange_mw,12,gen_fuel_gas_pct,general,0.031751275062561035
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.3768007755279541
gross_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.0773194432258606
gross_actual_interchange_mw,3,total_losses,confidential,0.06964832544326782
gross_actual_interchange_mw,4,gross_sched_interchange_mw,general,0.06318739801645279
gross_actual_interchange_mw,5,total_gen,confidential,0.0518057718873024
gross_actual_interchange_mw,6,gen_fuel_solar_pct,general,0.04767116904258728
gross_actual_interchange_mw,7,gen_fuel_gas_mw,general,0.04554218053817749
gross_actual_interchange_mw,8,metered_load_mw,confidential,0.0452488511800766
gross_actual_interchange_mw,9,total_lmp_da,confidential,0.04070383310317993
gross_actual_interchange_mw,10,gen_fuel_solar_mw,general,0.03655576705932617
gross_actual_interchange_mw,11,total_pjm_reg_purchases,general,0.031622450798749924
gross_actual_interchange_mw,12,gen_fuel_coal_pct,general,0.031591396778821945
total_gen,1,forecast_load_mw_latest_available,general,0.1143154501914978
total_gen,2,metered_load_mw,confidential,0.11156266927719116
total_gen,3,forecast_load_mw_day_ahead,general,0.11145633459091187
total_gen,4,gen_fuel_gas_mw,general,0.0941021591424942
total_gen,5,gen_fuel_nuclear_pct,general,0.07529285550117493
total_gen,6,gen_fuel_coal_mw,general,0.05879709869623184
total_gen,7,gen_fuel_nuclear_mw,general,0.03751342371106148
total_gen,8,gen_fuel_other_renewables_pct,general,0.03528996556997299
total_gen,9,total_losses,confidential,0.03426070511341095
total_gen,10,total_lmp_da,confidential,0.029800990596413612
total_gen,11,gen_fuel_oil_mw,general,0.029793933033943176
total_gen,12,marginal_loss_price_da,confidential,0.02243524044752121
metered_load_mw,1,forecast_load_mw_latest_available,general,0.1214834675192833
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.11584074050188065
metered_load_mw,3,total_gen,confidential,0.10805526375770569
metered_load_mw,4,gen_fuel_gas_mw,general,0.08145970851182938
metered_load_mw,5,gen_fuel_nuclear_pct,general,0.0699530616402626
metered_load_mw,6,gen_fuel_coal_mw,general,0.05736219137907028
metered_load_mw,7,gen_fuel_other_renewables_pct,general,0.037068963050842285
metered_load_mw,8,total_losses,confidential,0.03617351874709129
metered_load_mw,9,total_lmp_da,confidential,0.03553362935781479
metered_load_mw,10,gen_fuel_nuclear_mw,general,0.03272745758295059
metered_load_mw,11,gen_fuel_oil_mw,general,0.032245419919490814
metered_load_mw,12,total_lmp_rt,general,0.029066231101751328
total_losses,1,marginal_loss_price_rt,general,0.1435338854789734
total_losses,2,gen_fuel_nuclear_mw,general,0.09843958914279938
total_losses,3,gen_fuel_coal_pct,general,0.07913602143526077
total_losses,4,forecast_load_mw_latest_available,general,0.07911399006843567
total_losses,5,total_gen,confidential,0.07694315910339355
total_losses,6,metered_load_mw,confidential,0.07392526417970657
total_losses,7,gen_fuel_nuclear_pct,general,0.059778887778520584
total_losses,8,marginal_loss_price_da,confidential,0.05688396841287613
total_losses,9,system_energy_price_da,general,0.04329274594783783
total_losses,10,forecast_load_mw_day_ahead,general,0.0403512567281723
total_losses,11,gen_fuel_coal_mw,general,0.03674181550741196
total_losses,12,gross_actual_interchange_mw,confidential,0.0349956676363945
congestion_price_da,1,system_energy_price_da,general,0.1595829427242279
congestion_price_da,2,total_gen,confidential,0.1492309272289276
congestion_price_da,3,gen_fuel_oil_mw,general,0.1467992067337036
congestion_price_da,4,marginal_loss_price_da,confidential,0.13275548815727234
congestion_price_da,5,total_lmp_da,confidential,0.1296670138835907
congestion_price_da,6,metered_load_mw,confidential,0.12295551598072052
congestion_price_da,7,gen_fuel_gas_mw,general,0.09566749632358551
congestion_price_da,8,forecast_load_mw_latest_available,general,0.06334137916564941
congestion_price_rt,1,total_lmp_rt,general,0.22334334254264832
congestion_price_rt,2,marginal_loss_price_rt,general,0.1584080457687378
congestion_price_rt,3,rmccp,general,0.12420423328876495
congestion_price_rt,4,total_pjm_rmccp_cr,general,0.11238701641559601
congestion_price_rt,5,gen_fuel_multiple_fuels_mw,general,0.07672662287950516
congestion_price_rt,6,total_lmp_da,confidential,0.06522925198078156
congestion_price_rt,7,gen_fuel_multiple_fuels_pct,general,0.062458425760269165
congestion_price_rt,8,gen_fuel_oil_mw,general,0.05535515397787094
congestion_price_rt,9,gen_fuel_oil_pct,general,0.04734470695257187
congestion_price_rt,10,metered_load_mw,confidential,0.03950539231300354
congestion_price_rt,11,system_energy_price_da,general,0.035037845373153687
marginal_loss_price_da,1,system_energy_price_da,general,0.1378786265850067
marginal_loss_price_da,2,marginal_loss_price_rt,general,0.08206401765346527
marginal_loss_price_da,3,total_lmp_da,confidential,0.07375045120716095
marginal_loss_price_da,4,total_losses,confidential,0.0642261803150177
marginal_loss_price_da,5,forecast_load_mw_latest_available,general,0.06011616438627243
marginal_loss_price_da,6,metered_load_mw,confidential,0.05798439681529999
marginal_loss_price_da,7,forecast_load_mw_day_ahead,general,0.05746174976229668
marginal_loss_price_da,8,gen_fuel_nuclear_pct,general,0.05494529753923416
marginal_loss_price_da,9,gen_fuel_oil_mw,general,0.051086410880088806
marginal_loss_price_da,10,total_gen,confidential,0.05058303475379944
marginal_loss_price_da,11,total_lmp_rt,general,0.04833166301250458
marginal_loss_price_da,12,gen_fuel_oil_pct,general,0.041346266865730286
total_lmp_da,1,system_energy_price_da,general,0.13384410738945007
total_lmp_da,2,total_lmp_rt,general,0.06688874214887619
total_lmp_da,3,da_as_mcp_synchronized_reserve,general,0.05855277180671692
total_lmp_da,4,da_as_mcp_primary_reserve,general,0.052647508680820465
total_lmp_da,5,gen_fuel_nuclear_pct,general,0.04375556856393814
total_lmp_da,6,gen_fuel_oil_pct,general,0.041738592088222504
total_lmp_da,7,forecast_load_mw_day_ahead,general,0.04003966972231865
total_lmp_da,8,marginal_loss_price_da,confidential,0.03890104591846466
total_lmp_da,9,metered_load_mw,confidential,0.03840549290180206
total_lmp_da,10,gen_fuel_oil_mw,general,0.037157900631427765
total_lmp_da,11,forecast_load_mw_latest_available,general,0.0368596576154232
total_lmp_da,12,marginal_loss_price_rt,general,0.03501807898283005
da_as_total_mw_primary_reserve,1,da_as_as_req_mw_synchronized_reserve,general,0.19436758756637573
da_as_total_mw_primary_reserve,2,da_as_as_req_mw_primary_reserve,general,0.19078996777534485
da_as_total_mw_primary_reserve,3,da_as_nsr_mw_primary_reserve,general,0.18449947237968445
da_as_total_mw_primary_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.17523324489593506
da_as_total_mw_primary_reserve,5,da_as_total_mw_thirty_minutes_reserve,confidential,0.07152344286441803
da_as_total_mw_primary_reserve,6,gen_fuel_nuclear_mw,general,0.05361113324761391
da_as_total_mw_primary_reserve,7,da_as_total_mw_synchronized_reserve,confidential,0.04811996594071388
da_as_total_mw_primary_reserve,8,net_actual_interchange_mw,confidential,0.033874548971652985
da_as_total_mw_primary_reserve,9,da_as_mcp_primary_reserve,general,0.028765829280018806
da_as_total_mw_primary_reserve,10,total_pjm_rmpcp_cr,general,0.012550381943583488
da_as_total_mw_primary_reserve,11,total_pjm_self_sched_reg,general,0.00666446890681982
da_as_total_mw_synchronized_reserve,1,da_as_nsr_mw_primary_reserve,general,0.24769850075244904
da_as_total_mw_synchronized_reserve,2,da_as_as_req_mw_synchronized_reserve,general,0.21028634905815125
da_as_total_mw_synchronized_reserve,3,da_as_as_req_mw_primary_reserve,general,0.20895324647426605
da_as_total_mw_synchronized_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.19771882891654968
da_as_total_mw_synchronized_reserve,5,da_as_total_mw_primary_reserve,confidential,0.0518215075135231
da_as_total_mw_synchronized_reserve,6,da_as_mcp_primary_reserve,general,0.033056437969207764
da_as_total_mw_synchronized_reserve,7,gen_fuel_gas_mw,general,0.027069618925452232
da_as_total_mw_synchronized_reserve,8,gen_fuel_other_renewables_pct,general,0.02339555323123932
da_as_total_mw_thirty_minutes_reserve,1,gen_fuel_nuclear_mw,general,0.12532348930835724
da_as_total_mw_thirty_minutes_reserve,2,da_as_total_mw_primary_reserve,confidential,0.10902175307273865
da_as_total_mw_thirty_minutes_reserve,3,da_as_mcp_synchronized_reserve,general,0.10377918183803558
da_as_total_mw_thirty_minutes_reserve,4,system_energy_price_da,general,0.07995916157960892
da_as_total_mw_thirty_minutes_reserve,5,da_as_mcp_primary_reserve,general,0.0723394900560379
da_as_total_mw_thirty_minutes_reserve,6,gen_fuel_oil_pct,general,0.05925164371728897
da_as_total_mw_thirty_minutes_reserve,7,gen_fuel_multiple_fuels_pct,general,0.05066081881523132
da_as_total_mw_thirty_minutes_reserve,8,gen_fuel_multiple_fuels_mw,general,0.045591458678245544
da_as_total_mw_thirty_minutes_reserve,9,total_lmp_da,confidential,0.044878922402858734
da_as_total_mw_thirty_minutes_reserve,10,total_lmp_rt,general,0.04315262287855148
da_as_total_mw_thirty_minutes_reserve,11,da_as_as_req_mw_synchronized_reserve,general,0.039862871170043945
da_as_total_mw_thirty_minutes_reserve,12,da_as_as_req_mw_primary_reserve,general,0.03872537240386009
