target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gross_sched_interchange_mw,general,0.22379198670387268
net_actual_interchange_mw,2,da_as_as_req_mw_primary_reserve,general,0.102470763027668
net_actual_interchange_mw,3,da_as_total_mw_thirty_minutes_reserve,confidential,0.10244250297546387
net_actual_interchange_mw,4,da_as_as_req_mw_synchronized_reserve,general,0.09704732894897461
net_actual_interchange_mw,5,gen_fuel_gas_mw,general,0.08592963963747025
net_actual_interchange_mw,6,gen_fuel_nuclear_mw,general,0.08012974262237549
net_actual_interchange_mw,7,da_as_as_req_mw_thirty_minutes_reserve,general,0.05745427682995796
net_actual_interchange_mw,8,gen_fuel_other_renewables_mw,general,0.052654482424259186
net_actual_interchange_mw,9,marginal_loss_price_da,confidential,0.03889733552932739
net_actual_interchange_mw,10,total_gen,confidential,0.03242485225200653
net_actual_interchange_mw,11,total_pjm_assigned_reg,general,0.0293596014380455
net_actual_interchange_mw,12,total_pjm_rmpcp_cr,general,0.02337498962879181
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.3456825613975525
gross_actual_interchange_mw,2,gross_sched_interchange_mw,general,0.08046446740627289
gross_actual_interchange_mw,3,gen_fuel_nuclear_mw,general,0.07960502803325653
gross_actual_interchange_mw,4,total_losses,confidential,0.07582689821720123
gross_actual_interchange_mw,5,total_gen,confidential,0.05731562152504921
gross_actual_interchange_mw,6,metered_load_mw,confidential,0.049524568021297455
gross_actual_interchange_mw,7,gen_fuel_gas_mw,general,0.04861373454332352
gross_actual_interchange_mw,8,total_lmp_da,confidential,0.04210231825709343
gross_actual_interchange_mw,9,gen_fuel_solar_pct,general,0.038662441074848175
gross_actual_interchange_mw,10,gen_fuel_solar_mw,general,0.03625081479549408
gross_actual_interchange_mw,11,total_pjm_assigned_reg,general,0.032220080494880676
gross_actual_interchange_mw,12,total_pjm_reg_purchases,general,0.027043722569942474
total_gen,1,metered_load_mw,confidential,0.10999467968940735
total_gen,2,forecast_load_mw_latest_available,general,0.10906751453876495
total_gen,3,forecast_load_mw_day_ahead,general,0.1059713065624237
total_gen,4,gen_fuel_gas_mw,general,0.08988964557647705
total_gen,5,gen_fuel_nuclear_pct,general,0.07117703557014465
total_gen,6,gen_fuel_coal_mw,general,0.06815513223409653
total_gen,7,gen_fuel_nuclear_mw,general,0.0394570529460907
total_gen,8,gen_fuel_other_renewables_pct,general,0.0373879000544548
total_gen,9,total_losses,confidential,0.0351925864815712
total_gen,10,total_lmp_da,confidential,0.030105547979474068
total_gen,11,gen_fuel_oil_mw,general,0.029482649639248848
total_gen,12,gen_fuel_coal_pct,general,0.0275722648948431
metered_load_mw,1,forecast_load_mw_latest_available,general,0.11750292778015137
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.11165955662727356
metered_load_mw,3,total_gen,confidential,0.10610330104827881
metered_load_mw,4,gen_fuel_gas_mw,general,0.07644927501678467
metered_load_mw,5,gen_fuel_coal_mw,general,0.0674285739660263
metered_load_mw,6,gen_fuel_nuclear_pct,general,0.06657090783119202
metered_load_mw,7,gen_fuel_other_renewables_pct,general,0.038910575211048126
metered_load_mw,8,total_losses,confidential,0.03661646693944931
metered_load_mw,9,total_lmp_da,confidential,0.035433731973171234
metered_load_mw,10,gen_fuel_nuclear_mw,general,0.03259938210248947
metered_load_mw,11,gen_fuel_oil_mw,general,0.03208987042307854
metered_load_mw,12,gen_fuel_coal_pct,general,0.031038910150527954
total_losses,1,marginal_loss_price_rt,general,0.13161766529083252
total_losses,2,gen_fuel_nuclear_mw,general,0.09569346159696579
total_losses,3,gen_fuel_coal_pct,general,0.08365410566329956
total_losses,4,forecast_load_mw_latest_available,general,0.07284185290336609
total_losses,5,metered_load_mw,confidential,0.0690852701663971
total_losses,6,total_gen,confidential,0.06901738047599792
total_losses,7,marginal_loss_price_da,confidential,0.05886133760213852
total_losses,8,gen_fuel_nuclear_pct,general,0.05707854777574539
total_losses,9,gen_fuel_coal_mw,general,0.0568973571062088
total_losses,10,system_energy_price_da,general,0.04403303191065788
total_losses,11,forecast_load_mw_day_ahead,general,0.03904047608375549
total_losses,12,total_lmp_da,confidential,0.03696144372224808
congestion_price_da,1,gen_fuel_oil_mw,general,0.16618125140666962
congestion_price_da,2,system_energy_price_da,general,0.15093809366226196
congestion_price_da,3,total_gen,confidential,0.1365867704153061
congestion_price_da,4,marginal_loss_price_da,confidential,0.13260316848754883
congestion_price_da,5,total_lmp_da,confidential,0.1279769092798233
congestion_price_da,6,metered_load_mw,confidential,0.12228225916624069
congestion_price_da,7,gen_fuel_gas_mw,general,0.09949348121881485
congestion_price_da,8,forecast_load_mw_latest_available,general,0.06393810361623764
congestion_price_rt,1,total_lmp_rt,general,0.22074297070503235
congestion_price_rt,2,marginal_loss_price_rt,general,0.13935203850269318
congestion_price_rt,3,rmccp,general,0.13195236027240753
congestion_price_rt,4,total_pjm_rmccp_cr,general,0.11531658470630646
congestion_price_rt,5,gen_fuel_multiple_fuels_mw,general,0.07553641498088837
congestion_price_rt,6,total_lmp_da,confidential,0.0719495415687561
congestion_price_rt,7,gen_fuel_multiple_fuels_pct,general,0.060819320380687714
congestion_price_rt,8,gen_fuel_oil_mw,general,0.05501977354288101
congestion_price_rt,9,gen_fuel_oil_pct,general,0.05028197169303894
congestion_price_rt,10,metered_load_mw,confidential,0.043202221393585205
congestion_price_rt,11,system_energy_price_da,general,0.03582679480314255
marginal_loss_price_da,1,system_energy_price_da,general,0.1281754970550537
marginal_loss_price_da,2,total_lmp_da,confidential,0.0785784125328064
marginal_loss_price_da,3,marginal_loss_price_rt,general,0.07292226701974869
marginal_loss_price_da,4,total_losses,confidential,0.06429041922092438
marginal_loss_price_da,5,forecast_load_mw_latest_available,general,0.05980759859085083
marginal_loss_price_da,6,metered_load_mw,confidential,0.058311883360147476
marginal_loss_price_da,7,forecast_load_mw_day_ahead,general,0.05634646862745285
marginal_loss_price_da,8,gen_fuel_nuclear_pct,general,0.054061561822891235
marginal_loss_price_da,9,total_gen,confidential,0.05024823918938637
marginal_loss_price_da,10,gen_fuel_oil_mw,general,0.04888228327035904
marginal_loss_price_da,11,total_lmp_rt,general,0.047304995357990265
marginal_loss_price_da,12,gen_fuel_coal_mw,general,0.04449528455734253
total_lmp_da,1,system_energy_price_da,general,0.13213971257209778
total_lmp_da,2,total_lmp_rt,general,0.06570211797952652
total_lmp_da,3,da_as_mcp_synchronized_reserve,general,0.059853777289390564
total_lmp_da,4,da_as_mcp_primary_reserve,general,0.05273113027215004
total_lmp_da,5,gen_fuel_oil_pct,general,0.04263465106487274
total_lmp_da,6,gen_fuel_nuclear_pct,general,0.041279591619968414
total_lmp_da,7,forecast_load_mw_day_ahead,general,0.04071423411369324
total_lmp_da,8,marginal_loss_price_da,confidential,0.040416888892650604
total_lmp_da,9,gen_fuel_oil_mw,general,0.03987320885062218
total_lmp_da,10,metered_load_mw,confidential,0.038511574268341064
total_lmp_da,11,forecast_load_mw_latest_available,general,0.03754885494709015
total_lmp_da,12,marginal_loss_price_rt,general,0.0342986173927784
da_as_total_mw_primary_reserve,1,da_as_as_req_mw_synchronized_reserve,general,0.19655580818653107
da_as_total_mw_primary_reserve,2,da_as_as_req_mw_primary_reserve,general,0.19330191612243652
da_as_total_mw_primary_reserve,3,da_as_nsr_mw_primary_reserve,general,0.17840546369552612
