target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,16,2.6906394958496094,0.970443064370553
gross_actual_interchange_mw,17,2.6261203289031982,0.9269052520921246
total_gen,28,3.000236749649048,0.9003759344564655
metered_load_mw,27,2.99010968208313,0.9072383748495889
total_losses,19,2.7838730812072754,0.9454680843803323
congestion_price_da,8,2.023253917694092,0.9729794645054778
congestion_price_rt,11,2.232747793197632,0.931128151644417
marginal_loss_price_da,21,2.892040729522705,0.9499160504414814
total_lmp_da,32,3.2735040187835693,0.9445336028458295
da_as_total_mw_primary_reserve,11,2.0918385982513428,0.8723644531023007
da_as_total_mw_synchronized_reserve,8,1.7887969017028809,0.8602294730814296
da_as_total_mw_thirty_minutes_reserve,18,2.781379222869873,0.9622911707711866
