confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9687349759042263,0.01351926475763321,True
da_as_total_mw_primary_reserve,0.9551622271537781,0.06199609860777855,True
total_gen,0.9513955339789391,0.022233296185731888,True
da_as_total_mw_synchronized_reserve,0.9343096539378166,0.055326301604509354,True
total_lmp_da,0.8784694150090218,0.052781932055950165,True
total_losses,0.608200192451477,0.34396496415138245,True
congestion_price_rt,0.494676411151886,0.8258536458015442,True
marginal_loss_price_da,0.4905015230178833,0.2790496349334717,True
da_as_total_mw_thirty_minutes_reserve,0.35615891218185425,0.4620409905910492,True
congestion_price_da,0.26895302534103394,1.2390512228012085,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
