target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gross_sched_interchange_mw,general,0.4207305312156677
net_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.17322850227355957
net_actual_interchange_mw,3,da_as_as_req_mw_synchronized_reserve,general,0.10266269743442535
net_actual_interchange_mw,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.0964447557926178
net_actual_interchange_mw,5,da_as_as_req_mw_primary_reserve,general,0.09324216097593307
net_actual_interchange_mw,6,gen_fuel_multiple_fuels_pct,general,0.06138935685157776
net_actual_interchange_mw,7,total_pjm_rmpcp_cr,general,0.05230201035737991
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.5048683285713196
gross_actual_interchange_mw,2,gross_sched_interchange_mw,general,0.14764389395713806
gross_actual_interchange_mw,3,gen_fuel_nuclear_mw,general,0.10369569063186646
gross_actual_interchange_mw,4,total_pjm_reg_purchases,general,0.05469304323196411
gross_actual_interchange_mw,5,gen_fuel_solar_pct,general,0.0492234006524086
gross_actual_interchange_mw,6,total_pjm_assigned_reg,general,0.04696481302380562
gross_actual_interchange_mw,7,gen_fuel_solar_mw,general,0.036737967282533646
gross_actual_interchange_mw,8,da_as_ss_mw_primary_reserve,general,0.028262658044695854
gross_actual_interchange_mw,9,gen_fuel_coal_pct,general,0.015750668942928314
gross_actual_interchange_mw,10,gen_fuel_coal_mw,general,0.012159539386630058
total_gen,1,forecast_load_mw_latest_available,general,0.17074432969093323
total_gen,2,forecast_load_mw_day_ahead,general,0.16478128731250763
total_gen,3,gen_fuel_gas_mw,general,0.1318022459745407
total_gen,4,gen_fuel_coal_mw,general,0.09180571138858795
total_gen,5,gen_fuel_nuclear_pct,general,0.07185889780521393
total_gen,6,gen_fuel_nuclear_mw,general,0.04982011020183563
total_gen,7,gen_fuel_oil_mw,general,0.03845060244202614
total_gen,8,gen_fuel_other_renewables_pct,general,0.036680713295936584
total_gen,9,total_lmp_rt,general,0.024520782753825188
total_gen,10,gen_fuel_oil_pct,general,0.022686667740345
total_gen,11,marginal_loss_price_rt,general,0.02148253284394741
total_gen,12,gross_inadv_interchange_mw,general,0.020977091044187546
metered_load_mw,1,forecast_load_mw_latest_available,general,0.1897701770067215
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.1772153228521347
metered_load_mw,3,gen_fuel_gas_mw,general,0.10054431855678558
metered_load_mw,4,gen_fuel_coal_mw,general,0.08173051476478577
metered_load_mw,5,gen_fuel_nuclear_pct,general,0.06976249814033508
metered_load_mw,6,gen_fuel_other_renewables_pct,general,0.043962299823760986
metered_load_mw,7,gen_fuel_oil_mw,general,0.041315656155347824
metered_load_mw,8,gen_fuel_nuclear_mw,general,0.03912179917097092
metered_load_mw,9,total_lmp_rt,general,0.035706352442502975
metered_load_mw,10,system_energy_price_da,general,0.03269799053668976
metered_load_mw,11,marginal_loss_price_rt,general,0.030499741435050964
metered_load_mw,12,gen_fuel_coal_pct,general,0.025611937046051025
total_losses,1,gen_fuel_nuclear_mw,general,0.1469411998987198
total_losses,2,marginal_loss_price_rt,general,0.13697370886802673
total_losses,3,forecast_load_mw_latest_available,general,0.11901740729808807
total_losses,4,gen_fuel_coal_mw,general,0.09948943555355072
total_losses,5,gen_fuel_coal_pct,general,0.09435155987739563
total_losses,6,gen_fuel_nuclear_pct,general,0.08907225728034973
total_losses,7,forecast_load_mw_day_ahead,general,0.07433746755123138
total_losses,8,system_energy_price_da,general,0.055915817618370056
total_losses,9,gross_inadv_interchange_mw,general,0.040747229009866714
total_losses,10,gen_fuel_other_renewables_pct,general,0.03476130589842796
total_losses,11,total_lmp_rt,general,0.03303595259785652
total_losses,12,gen_fuel_gas_mw,general,0.027203669771552086
congestion_price_da,1,forecast_load_mw_latest_available,general,0.383707731962204
congestion_price_da,2,system_energy_price_da,general,0.3107173442840576
congestion_price_da,3,gen_fuel_oil_mw,general,0.21582606434822083
congestion_price_da,4,gen_fuel_gas_mw,general,0.08974888920783997
congestion_price_rt,1,total_lmp_rt,general,0.25976043939590454
congestion_price_rt,2,rmccp,general,0.15882167220115662
congestion_price_rt,3,total_pjm_rmccp_cr,general,0.1472218632698059
congestion_price_rt,4,marginal_loss_price_rt,general,0.1412874311208725
congestion_price_rt,5,system_energy_price_da,general,0.07004645466804504
congestion_price_rt,6,gen_fuel_multiple_fuels_mw,general,0.06645184010267258
congestion_price_rt,7,gen_fuel_oil_pct,general,0.05544695630669594
congestion_price_rt,8,gen_fuel_multiple_fuels_pct,general,0.054818835109472275
congestion_price_rt,9,gen_fuel_oil_mw,general,0.0461445115506649
marginal_loss_price_da,1,system_energy_price_da,general,0.20322619378566742
marginal_loss_price_da,2,forecast_load_mw_day_ahead,general,0.09806640446186066
marginal_loss_price_da,3,marginal_loss_price_rt,general,0.09555982798337936
marginal_loss_price_da,4,forecast_load_mw_latest_available,general,0.09235884249210358
marginal_loss_price_da,5,gen_fuel_nuclear_pct,general,0.07558831572532654
marginal_loss_price_da,6,total_lmp_rt,general,0.07137148082256317
marginal_loss_price_da,7,gen_fuel_oil_mw,general,0.06688734143972397
marginal_loss_price_da,8,gen_fuel_coal_mw,general,0.05611967295408249
marginal_loss_price_da,9,da_as_mcp_synchronized_reserve,general,0.050637535750865936
marginal_loss_price_da,10,gen_fuel_oil_pct,general,0.04861734062433243
marginal_loss_price_da,11,gen_fuel_hydro_mw,general,0.0386069230735302
marginal_loss_price_da,12,gen_fuel_coal_pct,general,0.027728885412216187
total_lmp_da,1,system_energy_price_da,general,0.2031121701002121
total_lmp_da,2,total_lmp_rt,general,0.08220025897026062
total_lmp_da,3,da_as_mcp_synchronized_reserve,general,0.07206488400697708
total_lmp_da,4,da_as_mcp_primary_reserve,general,0.0604192279279232
total_lmp_da,5,gen_fuel_nuclear_pct,general,0.05060860514640808
total_lmp_da,6,gen_fuel_oil_mw,general,0.04909932240843773
total_lmp_da,7,gen_fuel_oil_pct,general,0.048976972699165344
total_lmp_da,8,forecast_load_mw_day_ahead,general,0.045711416751146317
total_lmp_da,9,marginal_loss_price_rt,general,0.04269298166036606
total_lmp_da,10,forecast_load_mw_latest_available,general,0.040927380323410034
total_lmp_da,11,gen_fuel_coal_mw,general,0.033558160066604614
total_lmp_da,12,gen_fuel_hydro_mw,general,0.02864820510149002
da_as_total_mw_primary_reserve,1,da_as_as_req_mw_synchronized_reserve,general,0.2407432198524475
da_as_total_mw_primary_reserve,2,da_as_as_req_mw_primary_reserve,general,0.23870304226875305
da_as_total_mw_primary_reserve,3,da_as_nsr_mw_primary_reserve,general,0.2177550196647644
da_as_total_mw_primary_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.20217567682266235
da_as_total_mw_primary_reserve,5,gen_fuel_nuclear_mw,general,0.05819888412952423
da_as_total_mw_primary_reserve,6,da_as_mcp_primary_reserve,general,0.026249047368764877
da_as_total_mw_primary_reserve,7,total_pjm_rmpcp_cr,general,0.011127205565571785
da_as_total_mw_primary_reserve,8,total_pjm_self_sched_reg,general,0.005047917366027832
da_as_total_mw_synchronized_reserve,1,da_as_nsr_mw_primary_reserve,general,0.27951863408088684
da_as_total_mw_synchronized_reserve,2,da_as_as_req_mw_synchronized_reserve,general,0.22814761102199554
da_as_total_mw_synchronized_reserve,3,da_as_as_req_mw_primary_reserve,general,0.2249414026737213
da_as_total_mw_synchronized_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.20295792818069458
da_as_total_mw_synchronized_reserve,5,da_as_mcp_primary_reserve,general,0.025709182024002075
da_as_total_mw_synchronized_reserve,6,gen_fuel_gas_mw,general,0.020162908360362053
da_as_total_mw_synchronized_reserve,7,gen_fuel_other_renewables_pct,general,0.018562346696853638
da_as_total_mw_thirty_minutes_reserve,1,gen_fuel_nuclear_mw,general,0.22241923213005066
da_as_total_mw_thirty_minutes_reserve,2,da_as_mcp_synchronized_reserve,general,0.12615405023097992
da_as_total_mw_thirty_minutes_reserve,3,da_as_mcp_primary_reserve,general,0.10174508392810822
da_as_total_mw_thirty_minutes_reserve,4,system_energy_price_da,general,0.07842008769512177
da_as_total_mw_thirty_minutes_reserve,5,gen_fuel_multiple_fuels_mw,general,0.0649980679154396
da_as_total_mw_thirty_minutes_reserve,6,da_as_as_req_mw_synchronized_reserve,general,0.05205646902322769
da_as_total_mw_thirty_minutes_reserve,7,da_as_as_req_mw_primary_reserve,general,0.05152353644371033
da_as_total_mw_thirty_minutes_reserve,8,da_as_as_req_mw_thirty_minutes_reserve,general,0.050474658608436584
da_as_total_mw_thirty_minutes_reserve,9,gen_fuel_oil_pct,general,0.049906887114048004
da_as_total_mw_thirty_minutes_reserve,10,total_lmp_rt,general,0.04546661674976349
da_as_total_mw_thirty_minutes_reserve,11,gen_fuel_oil_mw,general,0.04407145082950592
da_as_total_mw_thirty_minutes_reserve,12,gen_fuel_multiple_fuels_pct,general,0.03455282002687454
