target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,7,0.18418924510478973,0.14486072957515717,0.17546530067920685,0.338994562625885,0.15649016201496124
gross_actual_interchange_mw,10,0.17251376807689667,0.175298273563385,0.1665613353252411,0.315462201833725,0.17016443610191345
total_gen,23,0.1910932958126068,0.1920384168624878,0.19030925631523132,0.2361096441745758,0.19044940173625946
metered_load_mw,21,0.18839024007320404,0.18654374778270721,0.19518965482711792,0.24214641749858856,0.18772993981838226
total_losses,14,0.1863962858915329,0.15493452548980713,0.16043314337730408,0.34224405884742737,0.15599200129508972
congestion_price_da,4,0.17877274751663208,0.16105172038078308,0.16658876836299896,0.27685850858688354,0.21672825515270233
congestion_price_rt,9,0.1974239945411682,0.19538815319538116,0.20501293241977692,0.19579392671585083,0.20638103783130646
marginal_loss_price_da,16,0.2031853049993515,0.18361108005046844,0.1961676925420761,0.23203708231449127,0.18499888479709625
total_lmp_da,25,0.19203288853168488,0.19255919754505157,0.21142703294754028,0.21450138092041016,0.1894795298576355
da_as_total_mw_primary_reserve,8,0.2522495985031128,0.17783361673355103,0.2334853708744049,0.16239707171916962,0.17403431236743927
da_as_total_mw_synchronized_reserve,7,0.17448140680789948,0.16940316557884216,0.19177918136119843,0.2913103401660919,0.17302587628364563
da_as_total_mw_thirty_minutes_reserve,15,0.15889069437980652,0.20581598579883575,0.20230793952941895,0.2654067575931549,0.16757863759994507
