target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,7,0.18395790457725525,0.16595067083835602,0.1786751002073288,0.29082679748535156,0.18058954179286957
gross_actual_interchange_mw,10,0.17214259505271912,0.17182877659797668,0.16563580930233002,0.3235948085784912,0.16679802536964417
total_gen,23,0.1920517235994339,0.19182375073432922,0.19086572527885437,0.23477770388126373,0.19048112630844116
metered_load_mw,21,0.18961940705776215,0.18736334145069122,0.19606220722198486,0.23829320073127747,0.18866181373596191
total_losses,14,0.19327211380004883,0.15195727348327637,0.15757262706756592,0.3454557955265045,0.15174217522144318
congestion_price_da,4,0.15819767117500305,0.14484786987304688,0.1458701342344284,0.29898279905319214,0.2521016001701355
congestion_price_rt,9,0.18184898793697357,0.1821475327014923,0.1893898844718933,0.23460239171981812,0.2120112180709839
marginal_loss_price_da,16,0.19983740150928497,0.18396449089050293,0.20245398581027985,0.2269364595413208,0.18680763244628906
total_lmp_da,25,0.19215553998947144,0.1918349415063858,0.21166644990444183,0.21472257375717163,0.1896205097436905
da_as_total_mw_primary_reserve,8,0.2511604428291321,0.1798928678035736,0.22739532589912415,0.16542653739452362,0.17612482607364655
da_as_total_mw_synchronized_reserve,7,0.17224529385566711,0.1661302000284195,0.1967230886220932,0.29479488730430603,0.1701064556837082
da_as_total_mw_thirty_minutes_reserve,15,0.1663638949394226,0.203550323843956,0.1983984261751175,0.2538827359676361,0.17780455946922302
