target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gross_sched_interchange_mw,general,0.20386233925819397
net_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.17151068150997162
net_actual_interchange_mw,3,da_as_as_req_mw_thirty_minutes_reserve,general,0.15813927352428436
net_actual_interchange_mw,4,da_as_as_req_mw_primary_reserve,general,0.1447179764509201
net_actual_interchange_mw,5,da_as_as_req_mw_synchronized_reserve,general,0.1392226219177246
net_actual_interchange_mw,6,total_pjm_rmpcp_cr,general,0.09885308891534805
net_actual_interchange_mw,7,gen_fuel_multiple_fuels_pct,general,0.0836939588189125
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.1955527812242508
gross_actual_interchange_mw,2,gross_sched_interchange_mw,general,0.12810207903385162
gross_actual_interchange_mw,3,gen_fuel_nuclear_mw,general,0.12120892107486725
gross_actual_interchange_mw,4,total_pjm_reg_purchases,general,0.10369355976581573
gross_actual_interchange_mw,5,gen_fuel_solar_pct,general,0.08722925186157227
gross_actual_interchange_mw,6,gen_fuel_solar_mw,general,0.08212778717279434
gross_actual_interchange_mw,7,total_pjm_assigned_reg,general,0.07696176320314407
gross_actual_interchange_mw,8,gen_fuel_coal_pct,general,0.07119451463222504
gross_actual_interchange_mw,9,da_as_ss_mw_primary_reserve,general,0.06795645505189896
gross_actual_interchange_mw,10,gen_fuel_coal_mw,general,0.06597279757261276
total_gen,1,forecast_load_mw_latest_available,general,0.07056161761283875
total_gen,2,forecast_load_mw_day_ahead,general,0.06994209438562393
total_gen,3,gen_fuel_gas_mw,general,0.06432532519102097
total_gen,4,gen_fuel_coal_mw,general,0.05995010584592819
total_gen,5,gen_fuel_nuclear_pct,general,0.05658352002501488
total_gen,6,gen_fuel_nuclear_mw,general,0.048951826989650726
total_gen,7,gen_fuel_other_renewables_pct,general,0.04705071821808815
total_gen,8,gen_fuel_oil_mw,general,0.04645923525094986
total_gen,9,total_lmp_rt,general,0.041034892201423645
total_gen,10,gen_fuel_oil_pct,general,0.04046809300780296
total_gen,11,system_energy_price_da,general,0.039608433842659
total_gen,12,gen_fuel_coal_pct,general,0.03954363986849785
metered_load_mw,1,forecast_load_mw_latest_available,general,0.07643414288759232
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.07504988461732864
metered_load_mw,3,gen_fuel_gas_mw,general,0.0640486404299736
metered_load_mw,4,gen_fuel_coal_mw,general,0.06131862848997116
metered_load_mw,5,gen_fuel_nuclear_pct,general,0.059442635625600815
metered_load_mw,6,gen_fuel_other_renewables_pct,general,0.05270981416106224
metered_load_mw,7,gen_fuel_oil_mw,general,0.050133589655160904
metered_load_mw,8,gen_fuel_nuclear_mw,general,0.04846513643860817
metered_load_mw,9,total_lmp_rt,general,0.04763671010732651
metered_load_mw,10,system_energy_price_da,general,0.04727557301521301
metered_load_mw,11,marginal_loss_price_rt,general,0.04604923352599144
metered_load_mw,12,gen_fuel_coal_pct,general,0.043925005942583084
total_losses,1,marginal_loss_price_rt,general,0.09438269585371017
total_losses,2,gen_fuel_coal_pct,general,0.09433276951313019
total_losses,3,gen_fuel_nuclear_mw,general,0.08920900523662567
total_losses,4,gen_fuel_coal_mw,general,0.08749530464410782
total_losses,5,gen_fuel_nuclear_pct,general,0.07866024225950241
total_losses,6,forecast_load_mw_latest_available,general,0.07828473299741745
total_losses,7,system_energy_price_da,general,0.0737157091498375
total_losses,8,forecast_load_mw_day_ahead,general,0.07174167782068253
total_losses,9,gen_fuel_other_renewables_pct,general,0.0616549551486969
total_losses,10,total_lmp_rt,general,0.06157839670777321
total_losses,11,gross_inadv_interchange_mw,general,0.056635767221450806
total_losses,12,gen_fuel_wind_mw,general,0.053676120936870575
congestion_price_da,1,system_energy_price_da,general,0.29941368103027344
congestion_price_da,2,forecast_load_mw_latest_available,general,0.2692779302597046
congestion_price_da,3,gen_fuel_oil_mw,general,0.24695681035518646
congestion_price_da,4,gen_fuel_gas_mw,general,0.1843515783548355
congestion_price_rt,1,total_lmp_rt,general,0.15223661065101624
congestion_price_rt,2,marginal_loss_price_rt,general,0.13576538860797882
congestion_price_rt,3,total_pjm_rmccp_cr,general,0.1122921034693718
congestion_price_rt,4,rmccp,general,0.10889201611280441
congestion_price_rt,5,system_energy_price_da,general,0.10499478876590729
congestion_price_rt,6,gen_fuel_multiple_fuels_mw,general,0.10094738751649857
congestion_price_rt,7,gen_fuel_oil_mw,general,0.09926683455705643
congestion_price_rt,8,gen_fuel_multiple_fuels_pct,general,0.09534938633441925
congestion_price_rt,9,gen_fuel_oil_pct,general,0.0902552679181099
marginal_loss_price_da,1,system_energy_price_da,general,0.09662268310785294
marginal_loss_price_da,2,marginal_loss_price_rt,general,0.07444652915000916
marginal_loss_price_da,3,forecast_load_mw_day_ahead,general,0.07289265841245651
marginal_loss_price_da,4,forecast_load_mw_latest_available,general,0.07232847064733505
marginal_loss_price_da,5,gen_fuel_nuclear_pct,general,0.06811001896858215
marginal_loss_price_da,6,total_lmp_rt,general,0.06731685250997543
marginal_loss_price_da,7,gen_fuel_coal_mw,general,0.06454268097877502
marginal_loss_price_da,8,gen_fuel_oil_mw,general,0.06306231766939163
marginal_loss_price_da,9,gen_fuel_oil_pct,general,0.061907775700092316
marginal_loss_price_da,10,da_as_mcp_synchronized_reserve,general,0.05995381250977516
marginal_loss_price_da,11,gen_fuel_hydro_mw,general,0.055694349110126495
marginal_loss_price_da,12,gen_fuel_other_renewables_pct,general,0.05473705753684044
