,probe_r2,single_r2,dynamic_8head,film_static_8head,film_dynamic_8head,film_static_gain,film_dynamic_gain,best_arm_minus_single
net_actual_interchange_mw,0.2481899560136845,0.819790780544281,0.7516864538192749,0.7769168615341187,0.7479766607284546,0.02523040771484375,-0.0037097930908203125,-0.042873919010162354
gross_actual_interchange_mw,0.2460934792895835,0.7351402044296265,0.7335922718048096,0.7275149822235107,0.7276989221572876,-0.006077289581298828,-0.005893349647521973,-0.0015479326248168945
total_gen,0.9906449538219424,0.9952749013900756,0.9862432479858398,0.9858890175819396,0.9861482977867126,-0.0003542304039002575,-9.495019912719727e-05,-0.009031653404235729
metered_load_mw,0.9762308832723112,0.9945668578147888,0.9878467321395874,0.9877751469612122,0.9878870844841005,-7.158517837524414e-05,4.0352344513050475e-05,-0.0066797733306883655
total_losses,0.6540839836602339,0.8267552852630615,0.801268458366394,0.805882453918457,0.7781097888946533,0.004613995552062988,-0.023158669471740723,-0.020872831344604492
congestion_price_da,0.0475838272605031,0.517056941986084,0.3571691513061523,0.3573808670043945,0.3397501111030578,0.0002117156982421875,-0.017419040203094482,-0.1596760749816895
congestion_price_rt,0.4561738508473963,0.5028364658355713,0.546393632888794,0.5264777541160583,0.5451282262802124,-0.019915878772735596,-0.001265406608581543,0.043557167053222656
marginal_loss_price_da,0.4407231017762543,0.7623509168624878,0.7186387181282043,0.7312784194946289,0.7167049050331116,0.01263970136642456,-0.0019338130950927734,-0.031072497367858887
total_lmp_da,0.9299314144617218,0.9976135492324828,0.9784623980522156,0.9729977250099182,0.97740638256073,-0.005464673042297363,-0.0010560154914855957,-0.019151151180267223
da_as_total_mw_primary_reserve,0.9752278189577616,0.992136776447296,0.9493114948272704,0.9456225633621216,0.9468857645988464,-0.0036889314651488148,-0.0024257302284239612,-0.042825281620025635
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.995881736278534,0.9112232327461244,0.907009780406952,0.9092661142349244,-0.004213452339172363,-0.001957118511199951,-0.08465850353240967
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7876495122909546,0.7921643853187561,0.7905494570732117,0.8070018291473389,-0.0016149282455444336,0.014837443828582764,0.019352316856384277
