field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,0.7516864538192749,0.5034964978055905,True
gross_actual_interchange_mw,0.2460934792895835,0.7335922718048096,0.4874987925152261,True
total_gen,0.9906449538219424,0.9862432479858398,-0.004401705836102554,True
metered_load_mw,0.9762308832723112,0.9878467321395874,0.01161584886727618,True
total_losses,0.6540839836602339,0.801268458366394,0.14718447470616014,True
congestion_price_da,0.0475838272605031,0.35716915130615234,0.30958532404564926,True
congestion_price_rt,0.4561738508473963,0.546393632888794,0.09021978204139763,True
marginal_loss_price_da,0.4407231017762543,0.7186387181282043,0.27791561635195006,True
total_lmp_da,0.9299314144617218,0.9784623980522156,0.04853098359049379,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9493114948272705,-0.025916324130491053,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9112232327461243,-0.030619878299522507,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7921643853187561,0.335260347314252,True
