target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,7,1.5702016353607178,0.8069240175981446
gross_actual_interchange_mw,10,1.4421359300613403,0.6263116765800539
total_gen,23,2.208200693130493,0.7042592143567807
metered_load_mw,21,2.1510326862335205,0.7065254831368496
total_losses,14,2.305604934692383,0.8736471575736898
congestion_price_da,4,1.131686806678772,0.8163394719174657
congestion_price_rt,9,1.6519997119903564,0.75185747011493
marginal_loss_price_da,16,2.117842674255371,0.763850280882811
total_lmp_da,25,2.0866804122924805,0.6482637187092861
da_as_total_mw_primary_reserve,8,1.4998416900634766,0.7212713894576999
da_as_total_mw_synchronized_reserve,7,1.4489808082580566,0.744628835489397
da_as_total_mw_thirty_minutes_reserve,15,2.5531768798828125,0.9428100257682217
