,probe_r2,single_r2,experts_k1,experts_k3,experts_k4,experts_k6,experts_k12
net_actual_interchange_mw,0.2481899560136845,0.819790780544281,0.7402544021606445,0.7478853464126587,0.7426060438156128,0.7668795585632324,0.7554041743278503
gross_actual_interchange_mw,0.2460934792895835,0.7351402044296265,0.720471978187561,0.7219568490982056,0.7237245440483093,0.7236506342887878,0.7152154445648193
total_gen,0.9906449538219424,0.9952749013900756,0.9846433997154236,0.9839326739311218,0.9846398830413818,0.9853876233100892,0.9826849102973938
metered_load_mw,0.9762308832723112,0.9945668578147888,0.9877365827560424,0.9871833324432372,0.9878305792808532,0.9878612756729126,0.9857596158981324
total_losses,0.6540839836602339,0.8267552852630615,0.7919043898582458,0.7873223423957825,0.7813303470611572,0.7817947268486023,0.7857612371444702
congestion_price_da,0.0475838272605031,0.517056941986084,0.3441207408905029,0.365333080291748,0.3365809321403503,0.3532080054283142,0.339190125465393
congestion_price_rt,0.4561738508473963,0.5028364658355713,0.5258722901344299,0.5534513592720032,0.54237961769104,0.5278788805007935,0.5323400497436523
marginal_loss_price_da,0.4407231017762543,0.7623509168624878,0.6934324502944946,0.7218413949012756,0.7187515497207642,0.7165555953979492,0.7220288515090942
total_lmp_da,0.9299314144617218,0.9976135492324828,0.9690281748771667,0.9760633707046508,0.97958242893219,0.9780521392822266,0.9695020318031312
da_as_total_mw_primary_reserve,0.9752278189577616,0.992136776447296,0.943516969680786,0.940142810344696,0.9410855174064636,0.9419684410095216,0.9360579252243042
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.995881736278534,0.9078093767166138,0.9085081815719604,0.9085489511489868,0.9082022905349731,0.9091964960098268
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7876495122909546,0.7863065004348755,0.7881033420562744,0.7968224883079529,0.7996681928634644,0.7895470857620239
