target_idx,target_field,source_idx,source_field,source_type,gate_lambda,prior
49,congestion_price_da,38,system_energy_price_da,general,0.3269023299217224,0.3683837652206421
49,congestion_price_da,19,forecast_load_mw_latest_available,general,0.30825698375701904,0.26427459716796875
49,congestion_price_da,5,gen_fuel_oil_mw,general,0.2636488080024719,0.2743297219276428
49,congestion_price_da,1,gen_fuel_gas_mw,general,0.22661882638931274,0.16012610495090485
50,congestion_price_rt,40,marginal_loss_price_rt,general,0.18194767832756042,0.42456069588661194
50,congestion_price_rt,38,system_energy_price_da,general,0.15953658521175385,0.30366718769073486
50,congestion_price_rt,3,gen_fuel_multiple_fuels_mw,general,0.14550329744815826,0.3158101439476013
50,congestion_price_rt,39,total_lmp_rt,general,0.14329978823661804,0.5711164474487305
50,congestion_price_rt,5,gen_fuel_oil_mw,general,0.12552520632743835,0.2721433639526367
50,congestion_price_rt,13,gen_fuel_multiple_fuels_pct,general,0.1146778017282486,0.28345799446105957
50,congestion_price_rt,15,gen_fuel_oil_pct,general,0.11189302802085876,0.2592014968395233
50,congestion_price_rt,21,rmccp,general,0.10366000235080719,0.38169246912002563
50,congestion_price_rt,27,total_pjm_rmccp_cr,general,0.10327057540416718,0.3905312418937683
53,da_as_total_mw_primary_reserve,37,da_as_nsr_mw_primary_reserve,general,0.14114826917648315,0.694206953048706
53,da_as_total_mw_primary_reserve,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.11981745809316635,0.6631308794021606
53,da_as_total_mw_primary_reserve,32,da_as_as_req_mw_synchronized_reserve,general,0.10987088829278946,0.7113880515098572
53,da_as_total_mw_primary_reserve,31,da_as_as_req_mw_primary_reserve,general,0.10953594744205475,0.7062307596206665
53,da_as_total_mw_primary_reserve,29,da_as_mcp_primary_reserve,general,0.09085606038570404,0.27078697085380554
53,da_as_total_mw_primary_reserve,25,total_pjm_self_sched_reg,general,0.08728685230016708,0.12854932248592377
53,da_as_total_mw_primary_reserve,4,gen_fuel_nuclear_mw,general,0.08474016189575195,0.35373935103416443
