field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,0.7668795585632324,0.518689602549548,True
gross_actual_interchange_mw,0.2460934792895835,0.7236506342887878,0.47755715499920437,True
total_gen,0.9906449538219424,0.9853876233100891,-0.0052573305118532865,True
metered_load_mw,0.9762308832723112,0.9878612756729126,0.011630392400601375,True
total_losses,0.6540839836602339,0.7817947268486023,0.1277107431883684,True
congestion_price_da,0.0475838272605031,0.3532080054283142,0.3056241781678111,True
congestion_price_rt,0.4561738508473963,0.5278788805007935,0.07170502965339715,True
marginal_loss_price_da,0.4407231017762543,0.7165555953979492,0.27583249362169493,True
total_lmp_da,0.9299314144617218,0.9780521392822266,0.04812072482050478,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9419684410095215,-0.033259377948240076,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9082022905349731,-0.03364082051067363,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7996681928634644,0.3427641548589603,True
