rank,field,sensitivity,masked_loss,loss_increase
1,da_as_nsr_mw_primary_reserve,327.2372865225971,1.0086311101913452,1.005558238364756
2,da_as_total_mw_synchronized_reserve,90.7217384241292,0.2818491458892822,0.2787762740626931
3,da_as_as_req_mw_synchronized_reserve,2.529289392148014,0.010845053941011429,0.007772182114422321
4,da_as_as_req_mw_primary_reserve,2.325184855390455,0.010217866860330105,0.007144995033740997
5,da_as_as_req_mw_thirty_minutes_reserve,1.5811304296961544,0.00793148297816515,0.004858611151576042
6,gen_fuel_nuclear_mw,0.2155905446660995,0.0037353539373725653,0.0006624821107834578
7,da_as_total_mw_thirty_minutes_reserve,0.1581248175843946,0.0035587691236287355,0.00048589729703962803
8,gen_fuel_other_renewables_pct,0.03313675131558968,0.0031746968161314726,0.00010182498954236507
9,rmpcp,0.018419392078305886,0.0031294722575694323,5.6600430980324745e-05
10,system_energy_price_da,0.002773323360017409,0.0030813938938081264,8.522067219018936e-06
11,total_lmp_da,0.0022311152302899465,0.0030797277577221394,6.855931133031845e-06
12,total_pjm_self_sched_reg,0.002141706958479102,0.003079453017562628,6.581190973520279e-06
13,gen_fuel_hydro_mw,0.0010763846689363233,0.0030761794187128544,3.307592123746872e-06
14,total_lmp_rt,0.0009343164404233285,0.0030757428612560034,2.8710346668958664e-06
15,gen_fuel_oil_pct,0.00091181283302687,0.003075673710554838,2.801883965730667e-06
16,total_pjm_reg_purchases,0.0008547582324560513,0.003075498389080167,2.6265624910593033e-06
17,gen_fuel_multiple_fuels_pct,0.000723676613614728,0.0030750955920666456,2.223765477538109e-06
18,gen_fuel_oil_mw,0.0006054000777700425,0.003074732143431902,1.8603168427944183e-06
19,marginal_loss_price_rt,0.00047795540557865184,0.003074340522289276,1.4686957001686096e-06
20,marginal_loss_price_da,0.00034255491259053343,0.0030739244539290667,1.0526273399591446e-06
21,total_pjm_assigned_reg,0.0002958807639163975,0.003073781030252576,9.092036634683609e-07
22,gen_fuel_nuclear_pct,0.00029406229059143117,0.003073775442317128,9.03615728020668e-07
23,gen_fuel_multiple_fuels_mw,3.9324485652397005e-05,0.003072992665693164,1.2083910405635834e-07
24,net_inadv_interchange_mw,1.5760102149708243e-05,0.0030729202553629875,4.842877388000488e-08
25,gross_inadv_interchange_mw,4.167334703047852e-06,0.0030728846322745085,1.280568540096283e-08
26,gen_fuel_wind_pct,1.2880852718511542e-06,0.0030728757847100496,3.958120942115784e-09
27,congestion_price_da,4.5461833124158387e-07,0.0030728732235729694,1.3969838619232178e-09
28,gen_fuel_wind_mw,4.5461833124158387e-07,0.0030728732235729694,1.3969838619232178e-09
29,gross_actual_interchange_mw,3.7884860936798655e-07,0.0030728729907423258,1.1641532182693481e-09
30,total_pjm_loc_credit,7.57697218735973e-08,0.003072872059419751,2.3283064365386963e-10
31,rmccp,7.57697218735973e-08,0.003072872059419751,2.3283064365386963e-10
32,gen_fuel_solar_mw,0.0,0.0030728718265891075,0.0
33,total_pjm_rmccp_cr,0.0,0.0030728718265891075,0.0
34,congestion_price_rt,0.0,0.0030728718265891075,0.0
35,da_as_ss_mw_primary_reserve,-1.515394437471946e-07,0.00307287136092782,-4.656612873077393e-10
36,da_as_ss_mw_thirty_minutes_reserve,-1.515394437471946e-07,0.00307287136092782,-4.656612873077393e-10
37,da_as_ss_mw_synchronized_reserve,-2.2730916562079193e-07,0.0030728711280971766,-6.984919309616089e-10
38,gen_fuel_coal_pct,-5.07657136553102e-06,0.0030728562269359827,-1.5599653124809265e-08
39,gen_fuel_coal_mw,-1.1820076612281181e-05,0.0030728355050086975,-3.632158041000366e-08
40,total_losses,-1.3714319659121114e-05,0.003072829684242606,-4.21423465013504e-08
41,gen_fuel_solar_pct,-2.4019001833930348e-05,0.0030727980192750692,-7.380731403827667e-08
42,gen_fuel_other_renewables_mw,-0.00012638389608516032,0.003072483465075493,-3.8836151361465454e-07
43,gen_fuel_gas_pct,-0.0003302044479251371,0.003071857150644064,-1.0146759450435638e-06
44,gross_sched_interchange_mw,-0.0006617727508439989,0.0030708382837474346,-2.0335428416728973e-06
45,total_pjm_rmpcp_cr,-0.002963581131642012,0.0030637651216238737,-9.106704965233803e-06
46,forecast_load_mw_day_ahead,-0.006068700103743903,0.0030542234890162945,-1.8648337572813034e-05
47,forecast_load_mw_latest_available,-0.006192204750397867,0.0030538439750671387,-1.902785152196884e-05
48,total_gen,-0.00657688762835012,0.003052661893889308,-2.0209932699799538e-05
49,metered_load_mw,-0.006936718037527834,0.0030515561811625957,-2.1315645426511765e-05
50,gen_fuel_gas_mw,-0.03143822146034925,0.0029762662015855312,-9.660562500357628e-05
51,net_actual_interchange_mw,-0.04656102447937866,0.002929795766249299,-0.00014307606033980846
52,gen_fuel_storage_mw,-0.05713878073182034,0.0028972916770726442,-0.00017558014951646328
53,gen_fuel_hydro_pct,-0.08321144510741267,0.002817173721268773,-0.00025569810532033443
54,da_as_mcp_synchronized_reserve,-0.0897719664758381,0.0027970140799880028,-0.00027585774660110474
55,da_as_mcp_primary_reserve,-0.1341406698225261,0.0026606747414916754,-0.00041219708509743214
