target_idx,target_field,source_idx,source_field,source_type,dominant_metric,dominant_alpha,alpha_pearson,corr_pearson,alpha_spearman,corr_spearman,alpha_kendall,corr_kendall,alpha_nmi,corr_nmi,alpha_distance_corr,corr_distance_corr
55,metered_load_mw,16,gen_fuel_nuclear_pct,general,nmi,0.35593387484550476,0.15183666348457336,0.9109839200973511,0.1566808819770813,0.868101954460144,0.18023589253425598,0.703378438949585,0.35593387484550476,0.37870824337005615,0.1553126871585846,0.8798499703407288
55,metered_load_mw,12,gen_fuel_coal_pct,general,nmi,0.29961276054382324,0.16935491561889648,0.6083099246025085,0.16536937654018402,0.6425050497055054,0.19801613688468933,0.4230647385120392,0.29961276054382324,0.1326248049736023,0.1676468402147293,0.6226728558540344
55,metered_load_mw,2,gen_fuel_coal_mw,general,nmi,0.2780131995677948,0.17511098086833954,0.866456151008606,0.17618028819561005,0.8542450666427612,0.19580654799938202,0.6631895899772644,0.2780131995677948,0.27089211344718933,0.1748889535665512,0.8690587282180786
55,metered_load_mw,18,gen_fuel_other_renewables_pct,general,nmi,0.2731437385082245,0.17079128324985504,0.6847352981567383,0.17409451305866241,0.6605508327484131,0.20053057372570038,0.508301317691803,0.2731437385082245,0.2741560637950897,0.18143990635871887,0.611527681350708
55,metered_load_mw,54,gross_inadv_interchange_mw,general,nmi,0.2543342709541321,0.18136616051197052,0.4713415503501892,0.1811877340078354,0.47302594780921936,0.19926421344280243,0.31750068068504333,0.2543342709541321,0.05772625654935837,0.18384762108325958,0.4482508897781372
55,metered_load_mw,20,gen_fuel_wind_pct,general,nmi,0.24431516230106354,0.18707826733589172,0.3243163228034973,0.18933488428592682,0.3090463876724243,0.19740208983421326,0.2585783898830414,0.24431516230106354,0.049403753131628036,0.18186967074871063,0.3624963164329529
55,metered_load_mw,6,gen_fuel_nuclear_mw,general,nmi,0.24119165539741516,0.1886463612318039,0.553494930267334,0.18500645458698273,0.5916385054588318,0.20327022671699524,0.40353670716285706,0.24119165539741516,0.18558920919895172,0.1818852424621582,0.6253237128257751
55,metered_load_mw,34,da_as_as_req_mw_synchronized_reserve,general,nmi,0.23376941680908203,0.185883030295372,0.332105815410614,0.18638038635253906,0.3290310502052307,0.2052403837442398,0.22548118233680725,0.23376941680908203,0.1251208484172821,0.18872685730457306,0.31476891040802
55,metered_load_mw,13,gen_fuel_gas_pct,general,nmi,0.2280074954032898,0.19038936495780945,0.4352353513240814,0.19038447737693787,0.43530258536338806,0.19998711347579956,0.31497764587402344,0.2280074954032898,0.07503554224967957,0.1912315934896469,0.42359820008277893
55,metered_load_mw,0,total_gen,general,pearson,0.21828939020633698,0.21828939020633698,0.9895764589309692,0.21635843813419342,0.9844203591346741,0.1903374195098877,0.9041812419891357,0.15727902948856354,0.7353742718696594,0.21773579716682434,0.9881151914596558
