target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gen_fuel_nuclear_mw,general,0.22447657585144043
net_actual_interchange_mw,2,da_as_as_req_mw_thirty_minutes_reserve,general,0.1825190782546997
net_actual_interchange_mw,3,da_as_as_req_mw_synchronized_reserve,general,0.16578532755374908
net_actual_interchange_mw,4,da_as_as_req_mw_primary_reserve,general,0.15624338388442993
net_actual_interchange_mw,5,gross_sched_interchange_mw,general,0.14124393463134766
net_actual_interchange_mw,6,da_as_total_mw_primary_reserve,confidential,0.06641930341720581
net_actual_interchange_mw,7,da_as_total_mw_thirty_minutes_reserve,confidential,0.06331244111061096
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.5514978766441345
gross_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.12491771578788757
gross_actual_interchange_mw,3,gross_sched_interchange_mw,general,0.11110865324735641
gross_actual_interchange_mw,4,gen_fuel_coal_pct,general,0.03963271528482437
gross_actual_interchange_mw,5,total_losses,confidential,0.03725810348987579
gross_actual_interchange_mw,6,gen_fuel_coal_mw,general,0.03172977268695831
gross_actual_interchange_mw,7,total_pjm_reg_purchases,general,0.026642117649316788
gross_actual_interchange_mw,8,gen_fuel_solar_pct,general,0.026317859068512917
gross_actual_interchange_mw,9,metered_load_mw,confidential,0.026068639010190964
gross_actual_interchange_mw,10,gen_fuel_solar_mw,general,0.024826548993587494
total_gen,1,forecast_load_mw_latest_available,general,0.2437945008277893
total_gen,2,forecast_load_mw_day_ahead,general,0.17375889420509338
total_gen,3,gen_fuel_nuclear_mw,general,0.07554687559604645
total_gen,4,metered_load_mw,confidential,0.05387885123491287
total_gen,5,marginal_loss_price_rt,general,0.04993589222431183
total_gen,6,gen_fuel_nuclear_pct,general,0.04616791754961014
total_gen,7,gen_fuel_coal_mw,general,0.04433023929595947
total_gen,8,total_lmp_rt,general,0.03708186745643616
total_gen,9,system_energy_price_da,general,0.03506634011864662
total_gen,10,gen_fuel_gas_mw,general,0.029854025691747665
total_gen,11,gen_fuel_coal_pct,general,0.02192685753107071
total_gen,12,gen_fuel_oil_mw,general,0.019530847668647766
metered_load_mw,1,forecast_load_mw_latest_available,general,0.2716096043586731
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.18548685312271118
metered_load_mw,3,gen_fuel_nuclear_mw,general,0.05764184892177582
metered_load_mw,4,total_lmp_rt,general,0.05720491334795952
metered_load_mw,5,total_gen,confidential,0.053489264100790024
metered_load_mw,6,gen_fuel_nuclear_pct,general,0.04277891293168068
metered_load_mw,7,gen_fuel_coal_mw,general,0.04115138202905655
metered_load_mw,8,system_energy_price_da,general,0.037725962698459625
metered_load_mw,9,marginal_loss_price_rt,general,0.024917107075452805
metered_load_mw,10,gen_fuel_gas_mw,general,0.024414949119091034
metered_load_mw,11,gen_fuel_coal_pct,general,0.02226128615438938
metered_load_mw,12,total_losses,confidential,0.01715914160013199
total_losses,1,gen_fuel_nuclear_mw,general,0.17443963885307312
total_losses,2,forecast_load_mw_latest_available,general,0.16861757636070251
total_losses,3,forecast_load_mw_day_ahead,general,0.12121448665857315
total_losses,4,gen_fuel_coal_pct,general,0.07565011084079742
total_losses,5,gen_fuel_coal_mw,general,0.07012981176376343
total_losses,6,gross_inadv_interchange_mw,general,0.05549042299389839
total_losses,7,system_energy_price_da,general,0.047490015625953674
total_losses,8,marginal_loss_price_rt,general,0.039659298956394196
total_losses,9,metered_load_mw,confidential,0.03883470222353935
total_losses,10,total_gen,confidential,0.036669082939624786
total_losses,11,marginal_loss_price_da,confidential,0.034995026886463165
total_losses,12,total_lmp_rt,general,0.02656543254852295
congestion_price_da,1,system_energy_price_da,general,0.2672608196735382
congestion_price_da,2,forecast_load_mw_latest_available,general,0.24958178400993347
congestion_price_da,3,marginal_loss_price_rt,general,0.18673501908779144
congestion_price_da,4,total_lmp_da,confidential,0.16099947690963745
congestion_price_da,5,marginal_loss_price_da,confidential,0.13542288541793823
congestion_price_rt,1,total_lmp_rt,general,0.3127094805240631
congestion_price_rt,2,marginal_loss_price_rt,general,0.2449767142534256
congestion_price_rt,3,system_energy_price_da,general,0.10932229459285736
congestion_price_rt,4,gen_fuel_multiple_fuels_mw,general,0.07883340120315552
congestion_price_rt,5,total_pjm_rmccp_cr,general,0.07786460220813751
congestion_price_rt,6,rmccp,general,0.056863248348236084
congestion_price_rt,7,gen_fuel_oil_pct,general,0.037176888436079025
congestion_price_rt,8,total_lmp_da,confidential,0.03530583530664444
congestion_price_rt,9,gen_fuel_oil_mw,general,0.030610736459493637
congestion_price_rt,10,metered_load_mw,confidential,0.01633681170642376
marginal_loss_price_da,1,system_energy_price_da,general,0.17744986712932587
marginal_loss_price_da,2,forecast_load_mw_latest_available,general,0.11120880395174026
marginal_loss_price_da,3,total_lmp_rt,general,0.10443388670682907
marginal_loss_price_da,4,forecast_load_mw_day_ahead,general,0.08765354752540588
marginal_loss_price_da,5,marginal_loss_price_rt,general,0.08456480503082275
marginal_loss_price_da,6,total_lmp_da,confidential,0.04994110018014908
marginal_loss_price_da,7,da_as_mcp_synchronized_reserve,general,0.047335632145404816
marginal_loss_price_da,8,total_losses,confidential,0.042920202016830444
marginal_loss_price_da,9,gen_fuel_hydro_mw,general,0.04018200561404228
marginal_loss_price_da,10,gen_fuel_oil_mw,general,0.03564387559890747
marginal_loss_price_da,11,gen_fuel_oil_pct,general,0.030682452023029327
marginal_loss_price_da,12,gen_fuel_coal_mw,general,0.028324496001005173
total_lmp_da,1,system_energy_price_da,general,0.29339876770973206
total_lmp_da,2,marginal_loss_price_rt,general,0.10639946907758713
total_lmp_da,3,total_lmp_rt,general,0.07512269169092178
total_lmp_da,4,forecast_load_mw_latest_available,general,0.0635225772857666
total_lmp_da,5,forecast_load_mw_day_ahead,general,0.055573198944330215
total_lmp_da,6,da_as_mcp_synchronized_reserve,general,0.049796655774116516
total_lmp_da,7,gen_fuel_oil_pct,general,0.03280692547559738
total_lmp_da,8,gen_fuel_oil_mw,general,0.030889268964529037
total_lmp_da,9,gen_fuel_multiple_fuels_mw,general,0.02932150661945343
total_lmp_da,10,gen_fuel_hydro_mw,general,0.02918205037713051
total_lmp_da,11,gen_fuel_nuclear_pct,general,0.02151872217655182
total_lmp_da,12,da_as_mcp_primary_reserve,general,0.019996074959635735
da_as_total_mw_primary_reserve,1,da_as_nsr_mw_primary_reserve,general,0.2502150535583496
da_as_total_mw_primary_reserve,2,da_as_as_req_mw_synchronized_reserve,general,0.23547223210334778
da_as_total_mw_primary_reserve,3,da_as_as_req_mw_primary_reserve,general,0.23387309908866882
da_as_total_mw_primary_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.17037583887577057
da_as_total_mw_primary_reserve,5,gen_fuel_nuclear_mw,general,0.06667318195104599
da_as_total_mw_primary_reserve,6,da_as_total_mw_synchronized_reserve,confidential,0.01790914125740528
da_as_total_mw_primary_reserve,7,da_as_total_mw_thirty_minutes_reserve,confidential,0.010334736667573452
da_as_total_mw_primary_reserve,8,da_as_mcp_primary_reserve,general,0.009200118482112885
da_as_total_mw_primary_reserve,9,net_actual_interchange_mw,confidential,0.005946584045886993
da_as_total_mw_synchronized_reserve,1,da_as_as_req_mw_primary_reserve,general,0.25470733642578125
da_as_total_mw_synchronized_reserve,2,da_as_as_req_mw_synchronized_reserve,general,0.25163477659225464
da_as_total_mw_synchronized_reserve,3,da_as_nsr_mw_primary_reserve,general,0.22306829690933228
da_as_total_mw_synchronized_reserve,4,da_as_as_req_mw_thirty_minutes_reserve,general,0.22105026245117188
da_as_total_mw_synchronized_reserve,5,da_as_total_mw_primary_reserve,confidential,0.020327486097812653
da_as_total_mw_synchronized_reserve,6,da_as_mcp_primary_reserve,general,0.015827743336558342
da_as_total_mw_synchronized_reserve,7,gen_fuel_gas_mw,general,0.01338411308825016
da_as_total_mw_thirty_minutes_reserve,1,gen_fuel_nuclear_mw,general,0.211276113986969
da_as_total_mw_thirty_minutes_reserve,2,system_energy_price_da,general,0.09662997722625732
da_as_total_mw_thirty_minutes_reserve,3,total_pjm_rmpcp_cr,general,0.08916517347097397
da_as_total_mw_thirty_minutes_reserve,4,da_as_nsr_mw_primary_reserve,general,0.08405967056751251
da_as_total_mw_thirty_minutes_reserve,5,da_as_mcp_synchronized_reserve,general,0.060658328235149384
da_as_total_mw_thirty_minutes_reserve,6,gen_fuel_multiple_fuels_mw,general,0.059700239449739456
da_as_total_mw_thirty_minutes_reserve,7,rmpcp,general,0.0535765141248703
da_as_total_mw_thirty_minutes_reserve,8,total_lmp_rt,general,0.04781755805015564
da_as_total_mw_thirty_minutes_reserve,9,da_as_as_req_mw_synchronized_reserve,general,0.038978226482868195
da_as_total_mw_thirty_minutes_reserve,10,da_as_as_req_mw_primary_reserve,general,0.038820844143629074
da_as_total_mw_thirty_minutes_reserve,11,da_as_total_mw_primary_reserve,confidential,0.03512006253004074
da_as_total_mw_thirty_minutes_reserve,12,gen_fuel_oil_pct,general,0.032473959028720856
