rank,field,sensitivity,masked_loss,loss_increase
1,system_energy_price_da,3.538885450443677,0.7102009654045105,0.5537306219339371
2,gen_fuel_nuclear_pct,2.9405059564992184,0.6165723204612732,0.46010197699069977
3,forecast_load_mw_day_ahead,0.561357613084347,0.24430616199970245,0.08783581852912903
4,forecast_load_mw_latest_available,0.5274152860798585,0.23899519443511963,0.0825248509645462
5,gen_fuel_oil_pct,0.4887220637172521,0.23294085264205933,0.0764705091714859
6,marginal_loss_price_rt,0.38433778735526825,0.21660780906677246,0.060137465596199036
7,da_as_mcp_synchronized_reserve,0.13500496688410613,0.1775946170091629,0.021124273538589478
8,gen_fuel_other_renewables_pct,0.1336643700561504,0.1773848533630371,0.020914509892463684
9,gen_fuel_coal_mw,0.1196990975803451,0.1751997023820877,0.018729358911514282
10,gross_sched_interchange_mw,0.11260365769516578,0.1740894764661789,0.01761913299560547
11,gen_fuel_gas_mw,0.10572534935560976,0.17301322519779205,0.016542881727218628
12,gen_fuel_nuclear_mw,0.06518593745640108,0.16667000949382782,0.010199666023254395
13,gen_fuel_wind_pct,0.059576705861132756,0.1657923310995102,0.009321987628936768
14,gross_inadv_interchange_mw,0.03345901884920852,0.16170568764209747,0.005235344171524048
15,gen_fuel_gas_pct,0.03297932955302233,0.16163063049316406,0.005160287022590637
16,gen_fuel_other_renewables_mw,0.03185910219724744,0.16145534813404083,0.004985004663467407
17,gen_fuel_wind_mw,0.03074925525308348,0.16128169000148773,0.004811346530914307
18,gen_fuel_coal_pct,0.02923914344652712,0.1610454022884369,0.004575058817863464
19,da_as_as_req_mw_synchronized_reserve,0.026728702799958898,0.16065259277820587,0.004182249307632446
20,da_as_as_req_mw_primary_reserve,0.02624796593929821,0.16057737171649933,0.004107028245925903
21,gen_fuel_multiple_fuels_mw,0.016181823670709725,0.15900231897830963,0.002531975507736206
22,da_as_as_req_mw_thirty_minutes_reserve,0.014982267114275095,0.15881462395191193,0.002344280481338501
23,total_pjm_loc_credit,0.014194212930050215,0.15869131684303284,0.0022209733724594116
24,da_as_mcp_primary_reserve,0.012428019226046033,0.15841495990753174,0.001944616436958313
25,gen_fuel_hydro_pct,0.00896534247215883,0.15787315368652344,0.0014028102159500122
26,gen_fuel_storage_mw,0.005777603776260418,0.15737436711788177,0.0009040236473083496
27,total_pjm_reg_purchases,0.00563665873787337,0.15735231339931488,0.0008819699287414551
28,gen_fuel_hydro_mw,0.004526335628039187,0.1571785807609558,0.0007082372903823853
29,gen_fuel_solar_pct,0.004179972719516421,0.1571243852376938,0.0006540417671203613
30,net_inadv_interchange_mw,0.0020879864639432593,0.15679705142974854,0.00032670795917510986
31,total_pjm_rmpcp_cr,0.001340406361687634,0.15668007731437683,0.00020973384380340576
32,total_pjm_assigned_reg,0.0010583258186454478,0.15663594007492065,0.000165596604347229
33,rmpcp,0.0004001696292583615,0.15653295814990997,6.261467933654785e-05
34,da_as_ss_mw_thirty_minutes_reserve,0.0001101847360904151,0.1564875841140747,1.7240643501281738e-05
35,gen_fuel_solar_mw,4.475957300129222e-06,0.15647104382514954,7.003545761108398e-07
36,da_as_ss_mw_primary_reserve,-7.285334754465648e-05,0.15645894408226013,-1.1399388313293457e-05
37,da_as_ss_mw_synchronized_reserve,-0.0001099942698223245,0.15645313262939453,-1.7210841178894043e-05
38,total_pjm_self_sched_reg,-0.0007855781227397011,0.15634742379188538,-0.00012291967868804932
39,da_as_nsr_mw_primary_reserve,-0.0013286926862000619,0.15626244246959686,-0.0002079010009765625
40,gen_fuel_multiple_fuels_pct,-0.001339454030347181,0.15626075863838196,-0.00020958483219146729
41,gen_fuel_oil_mw,-0.0025905317123003212,0.15606500208377838,-0.00040534138679504395
42,total_lmp_rt,-0.0035341016044211793,0.15591736137866974,-0.0005529820919036865
43,total_pjm_rmccp_cr,-0.004630330210416657,0.15574583411216736,-0.0007245093584060669
44,rmccp,-0.006907544911707933,0.15538951754570007,-0.001080825924873352
