rank,field,sensitivity,masked_loss,loss_increase
1,system_energy_price_da,3.6937581994368682,0.8899614810943604,0.7003561705350876
2,gen_fuel_nuclear_pct,0.8805820123658884,0.3565683364868164,0.16696302592754364
3,forecast_load_mw_latest_available,0.3557264163703218,0.2570529282093048,0.06744761765003204
4,gen_fuel_other_renewables_pct,0.3493066792348468,0.25583571195602417,0.0662304013967514
5,marginal_loss_price_rt,0.33439760481545516,0.2530088722705841,0.06340356171131134
6,forecast_load_mw_day_ahead,0.275521669461735,0.24184568226337433,0.05224037170410156
7,gen_fuel_coal_pct,0.18517710783635305,0.22471587359905243,0.03511056303977966
8,total_lmp_rt,0.08743121471633927,0.20618273317813873,0.016577422618865967
9,gen_fuel_oil_pct,0.06383436219983077,0.20170864462852478,0.012103334069252014
10,da_as_mcp_synchronized_reserve,0.062341222789933225,0.20142553746700287,0.011820226907730103
11,total_pjm_loc_credit,0.05227614756357513,0.1995171457529068,0.009911835193634033
12,gen_fuel_oil_mw,0.021927277611310168,0.19376283884048462,0.004157528281211853
13,gross_inadv_interchange_mw,0.01268150752460057,0.1920097917318344,0.0024044811725616455
14,da_as_as_req_mw_thirty_minutes_reserve,0.008474483694334503,0.19121211767196655,0.0016068071126937866
15,gross_sched_interchange_mw,0.008183070413009167,0.19115686416625977,0.0015515536069869995
16,da_as_as_req_mw_synchronized_reserve,0.006146399650995658,0.1907707005739212,0.0011653900146484375
17,gen_fuel_other_renewables_mw,0.005860173337460902,0.1907164305448532,0.0011111199855804443
18,da_as_as_req_mw_primary_reserve,0.0056601607158392785,0.19067850708961487,0.001073196530342102
19,gen_fuel_gas_pct,0.005644756993309676,0.19067558646202087,0.001070275902748108
20,gen_fuel_wind_pct,0.005529071893495519,0.19065365195274353,0.0010483413934707642
21,total_pjm_reg_purchases,0.0038517951270323775,0.19033563137054443,0.0007303208112716675
22,gen_fuel_wind_mw,0.0030974056751872044,0.1901925951242447,0.0005872845649719238
23,total_pjm_assigned_reg,0.002550887887070595,0.19008897244930267,0.0004836618900299072
24,net_inadv_interchange_mw,0.0009290959578824502,0.18978147208690643,0.000176161527633667
25,total_pjm_self_sched_reg,9.352260107258634e-06,0.18960708379745483,1.773238182067871e-06
26,total_pjm_rmpcp_cr,-0.00030634546132852233,0.18954722583293915,-5.8084726333618164e-05
27,gen_fuel_solar_pct,-0.00032780064628046865,0.18954315781593323,-6.215274333953857e-05
28,rmpcp,-0.0004555886709393135,0.18951892852783203,-8.638203144073486e-05
29,gen_fuel_hydro_pct,-0.0004900898657887803,0.18951238691806793,-9.292364120483398e-05
30,gen_fuel_solar_mw,-0.0005606640639091016,0.18949900567531586,-0.00010630488395690918
31,da_as_nsr_mw_primary_reserve,-0.000655365521297729,0.18948104977607727,-0.0001242607831954956
32,da_as_ss_mw_primary_reserve,-0.0008369093939680437,0.18944662809371948,-0.0001586824655532837
33,da_as_ss_mw_synchronized_reserve,-0.0008464188349174411,0.18944482505321503,-0.00016048550605773926
34,da_as_ss_mw_thirty_minutes_reserve,-0.0008667737539744158,0.18944096565246582,-0.0001643449068069458
35,gen_fuel_multiple_fuels_mw,-0.0015647352834917598,0.18930862843990326,-0.00029668211936950684
36,gen_fuel_storage_mw,-0.002171217562884322,0.18919363617897034,-0.0004116743803024292
37,gen_fuel_nuclear_mw,-0.0023308347080762738,0.18916337192058563,-0.0004419386386871338
38,gen_fuel_coal_mw,-0.0035797936797111836,0.188926562666893,-0.0006787478923797607
39,gen_fuel_multiple_fuels_pct,-0.006210843796272567,0.18842770159244537,-0.0011776089668273926
40,rmccp,-0.0074681333525408325,0.1881893128156662,-0.0014159977436065674
41,total_pjm_rmccp_cr,-0.007713964189645916,0.18814270198345184,-0.0014626085758209229
42,gen_fuel_hydro_mw,-0.011405906400223135,0.18744269013404846,-0.002162620425224304
43,da_as_mcp_primary_reserve,-0.013566671437105226,0.18703299760818481,-0.0025723129510879517
44,gen_fuel_gas_mw,-0.01836406651044463,0.18612338602542877,-0.003481924533843994
