rank,field,sensitivity,masked_loss,loss_increase
1,gen_fuel_gas_mw,96.4607235793744,0.2671598494052887,0.2644186441320926
2,gen_fuel_coal_mw,55.86016029202132,0.1558653712272644,0.1531241659540683
3,forecast_load_mw_latest_available,19.59630928635914,0.05645871162414551,0.05371750635094941
4,gen_fuel_coal_pct,12.088767064227142,0.035878997296094894,0.03313779202289879
5,gen_fuel_gas_pct,10.40163726886749,0.031254228204488754,0.028513022931292653
6,forecast_load_mw_day_ahead,3.753220462386907,0.0130295529961586,0.010288347722962499
7,gen_fuel_nuclear_pct,3.2051226210435453,0.011527104303240776,0.008785899030044675
8,gen_fuel_hydro_mw,1.843081434424945,0.007793469820171595,0.005052264546975493
9,gen_fuel_nuclear_mw,1.07236643117227,0.005680781789124012,0.002939576515927911
10,gen_fuel_hydro_pct,0.29417889686289933,0.003547610016539693,0.0008064047433435917
11,gen_fuel_other_renewables_pct,0.19205968511864938,0.0032676802948117256,0.0005264750216156244
12,gen_fuel_oil_mw,0.1752069306818845,0.0032214834354817867,0.00048027816228568554
13,gross_sched_interchange_mw,0.14284045873969828,0.003132760291919112,0.000391555018723011
14,total_lmp_rt,0.09835538405388355,0.0030108175706118345,0.00026961229741573334
15,da_as_nsr_mw_primary_reserve,0.09787217561097754,0.0030094929970800877,0.0002682877238839865
16,gen_fuel_solar_pct,0.06161226162021175,0.0029100971296429634,0.00016889185644686222
17,gen_fuel_other_renewables_mw,0.03982804608393489,0.002850382123142481,0.00010917684994637966
18,gen_fuel_wind_pct,0.03090767338234953,0.0028259295504540205,8.472427725791931e-05
19,gen_fuel_wind_mw,0.02906614723528582,0.002820881549268961,7.967627607285976e-05
20,da_as_as_req_mw_synchronized_reserve,0.02283089819437686,0.0028037894517183304,6.25841785222292e-05
21,da_as_as_req_mw_thirty_minutes_reserve,0.022259609745267018,0.0028022234328091145,6.101815961301327e-05
22,da_as_as_req_mw_primary_reserve,0.02192020019387794,0.0028012930415570736,6.0087768360972404e-05
23,gross_inadv_interchange_mw,0.021916208139594835,0.002801282098516822,6.007682532072067e-05
24,gen_fuel_solar_mw,0.021705393698516835,0.002800704212859273,5.949893966317177e-05
25,net_inadv_interchange_mw,0.010752555742880107,0.002770680235698819,2.9474962502717972e-05
26,gen_fuel_oil_pct,0.010175831304959228,0.0027690993156284094,2.7894042432308197e-05
27,system_energy_price_da,0.008924279818543296,0.0027656685560941696,2.4463282898068428e-05
28,gen_fuel_multiple_fuels_mw,0.006497450563716286,0.0027590161189436913,1.7810845747590065e-05
29,total_pjm_reg_purchases,0.004128973251282745,0.002752523636445403,1.131836324930191e-05
30,da_as_ss_mw_thirty_minutes_reserve,0.0039447441929837184,0.002752018626779318,1.0813353583216667e-05
31,da_as_ss_mw_synchronized_reserve,0.0028062442863723072,0.0027488977648317814,7.692491635680199e-06
32,da_as_ss_mw_primary_reserve,0.0021608055523869214,0.0027471284847706556,5.923211574554443e-06
33,gen_fuel_multiple_fuels_pct,0.0015780505643787977,0.0027455310337245464,4.325760528445244e-06
34,total_pjm_self_sched_reg,0.0011916706721693596,0.002744471887126565,3.266613930463791e-06
35,rmccp,0.000973381746476184,0.0027438735123723745,2.668239176273346e-06
36,total_pjm_assigned_reg,0.000509963700335341,0.002742603188380599,1.3979151844978333e-06
37,total_pjm_rmccp_cr,0.0003749133533111585,0.0027422329876571894,1.0277144610881805e-06
38,total_pjm_loc_credit,-0.00011797794466452178,0.002740881871432066,-3.234017640352249e-07
39,rmpcp,-0.0004172121412470345,0.0027400616090744734,-1.1436641216278076e-06
40,total_pjm_rmpcp_cr,-0.0004435427120504915,0.0027399894315749407,-1.2158416211605072e-06
41,da_as_mcp_synchronized_reserve,-0.002018875282023771,0.0027356711216270924,-5.534151569008827e-06
42,da_as_mcp_primary_reserve,-0.003580448005319115,0.002731390530243516,-9.81474295258522e-06
43,gen_fuel_storage_mw,-0.004130671997786194,0.002729882253333926,-1.1323019862174988e-05
44,marginal_loss_price_rt,-0.005284545560253816,0.0027267192490398884,-1.4486024156212807e-05
