rank,field,sensitivity,masked_loss,loss_increase
1,system_energy_price_da,1.1503761727853046,0.37441691756248474,0.20029997825622559
2,gen_fuel_nuclear_pct,0.6201816207223236,0.2821010649204254,0.10798412561416626
3,gen_fuel_gas_mw,0.5941308316195669,0.2775651812553406,0.10344824194908142
4,da_as_nsr_mw_primary_reserve,0.5688328159941257,0.2731603682041168,0.09904342889785767
5,forecast_load_mw_latest_available,0.46034528647926065,0.25427085161209106,0.08015391230583191
6,gross_inadv_interchange_mw,0.3074013311321812,0.22764071822166443,0.05352377891540527
7,gen_fuel_nuclear_mw,0.2690713311920882,0.22096681594848633,0.04684987664222717
8,da_as_as_req_mw_thirty_minutes_reserve,0.23057436205528725,0.21426384150981903,0.040146902203559875
9,forecast_load_mw_day_ahead,0.1952701760151445,0.2081167846918106,0.03399984538555145
10,marginal_loss_price_rt,0.16999501060780725,0.2037159502506256,0.029599010944366455
11,total_lmp_rt,0.16072364158876626,0.20210164785385132,0.027984708547592163
12,gen_fuel_coal_mw,0.15787694943597616,0.20160599052906036,0.02748905122280121
13,da_as_as_req_mw_synchronized_reserve,0.14434816543557907,0.19925040006637573,0.025133460760116577
14,da_as_as_req_mw_primary_reserve,0.134540030244446,0.19754263758659363,0.023425698280334473
15,gen_fuel_other_renewables_pct,0.10781083784988861,0.19288863241672516,0.018771693110466003
16,gross_sched_interchange_mw,0.09375376023017958,0.1904410570859909,0.01632411777973175
17,gen_fuel_gas_pct,0.08180737522882311,0.18836098909378052,0.014244049787521362
18,gen_fuel_oil_mw,0.04808421888626154,0.18248921632766724,0.008372277021408081
19,gen_fuel_coal_pct,0.036867757144116414,0.18053624033927917,0.0064193010330200195
20,gen_fuel_wind_pct,0.03405829287475427,0.18004706501960754,0.005930125713348389
21,gen_fuel_multiple_fuels_pct,0.025078499485228233,0.1784835308790207,0.004366591572761536
22,gen_fuel_multiple_fuels_mw,0.024213443288240526,0.17833290994167328,0.0042159706354141235
23,gen_fuel_oil_pct,0.018453476699196135,0.17733000218868256,0.003213062882423401
24,gen_fuel_other_renewables_mw,0.017050884098045407,0.1770857870578766,0.0029688477516174316
25,da_as_mcp_synchronized_reserve,0.013638927186539081,0.17649170756340027,0.0023747682571411133
26,rmccp,0.01321880838252121,0.17641855776309967,0.002301618456840515
27,total_pjm_reg_purchases,0.013115169378311463,0.17640051245689392,0.0022835731506347656
28,total_pjm_rmccp_cr,0.00870430705215926,0.175632506608963,0.0015155673027038574
29,gen_fuel_wind_mw,0.0016007134060603571,0.17439565062522888,0.00027871131896972656
30,gen_fuel_hydro_pct,0.0002769412201674142,0.17416515946388245,4.8220157623291016e-05
31,total_pjm_self_sched_reg,0.00013701572728307484,0.1741407960653305,2.3856759071350098e-05
32,net_inadv_interchange_mw,0.0001219534112294701,0.1741381734609604,2.123415470123291e-05
33,rmpcp,6.007810153199159e-05,0.17412739992141724,1.0460615158081055e-05
34,gen_fuel_hydro_mw,2.807067991808154e-05,0.17412182688713074,4.887580871582031e-06
35,total_pjm_rmpcp_cr,2.4733007610748673e-05,0.17412124574184418,4.306435585021973e-06
36,gen_fuel_solar_mw,-9.140087241619233e-05,0.17410102486610413,-1.5914440155029297e-05
37,total_pjm_assigned_reg,-9.567993947687549e-05,0.17410027980804443,-1.665949821472168e-05
38,gen_fuel_solar_pct,-0.000124264107442239,0.1740953028202057,-2.1636486053466797e-05
39,da_as_ss_mw_thirty_minutes_reserve,-0.00013179526546904137,0.17409399151802063,-2.294778823852539e-05
40,da_as_ss_mw_synchronized_reserve,-0.00013230875351632335,0.17409390211105347,-2.3037195205688477e-05
41,da_as_ss_mw_primary_reserve,-0.00013419154302302396,0.1740935742855072,-2.3365020751953125e-05
42,gen_fuel_storage_mw,-0.00016594222061329302,0.17408804595470428,-2.8893351554870605e-05
43,total_pjm_loc_credit,-0.00033205560390901334,0.17405912280082703,-5.7816505432128906e-05
44,da_as_mcp_primary_reserve,-0.0005399326817170013,0.17402292788028717,-9.401142597198486e-05
