confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9913085699081421,0.009061777032911777,True
total_gen,0.9881901741027832,0.012430899776518345,True
total_lmp_da,0.9859813451766968,0.01601056382060051,True
da_as_total_mw_primary_reserve,0.9522641897201538,0.05020955204963684,True
da_as_total_mw_synchronized_reserve,0.916079044342041,0.08654369413852692,True
da_as_total_mw_thirty_minutes_reserve,0.8673625588417053,0.13785003125667572,True
total_losses,0.8625098466873169,0.13713522255420685,True
net_actual_interchange_mw,0.8538316488265991,0.14831918478012085,True
gross_actual_interchange_mw,0.7942566275596619,0.21409541368484497,True
marginal_loss_price_da,0.7870367169380188,0.209159716963768,True
congestion_price_rt,0.6627919673919678,0.3768104612827301,True
congestion_price_da,0.5200247764587402,0.5206490159034729,True
