experiment,run_dir,confidential_field,test_r2,test_mse,used_in_loss
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,metered_load_mw,0.990700900554657,0.0096953315660357,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,total_gen,0.9885179400444032,0.0120858829468488,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,total_lmp_da,0.9813812375068665,0.0212643053382635,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,da_as_total_mw_primary_reserve,0.9509455561637878,0.0515965521335601,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,da_as_total_mw_synchronized_reserve,0.9190999269485474,0.0834284499287605,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,total_losses,0.8805212378501892,0.1191703006625175,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,da_as_total_mw_thirty_minutes_reserve,0.8790307641029358,0.1257232427597046,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,net_actual_interchange_mw,0.8634216785430908,0.138588011264801,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,marginal_loss_price_da,0.8125969171524048,0.1840560585260391,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,gross_actual_interchange_mw,0.7918587327003479,0.2165906280279159,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,congestion_price_da,0.6732138991355896,0.3544784188270569,True
ab00_baseline_g11,outputs/tuning/ab00_baseline_g11/20260626_002359,congestion_price_rt,0.6638534069061279,0.3756243884563446,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,metered_load_mw,0.9907298684120178,0.0096650794148445,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,total_gen,0.9892275929450988,0.0113389054313302,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,total_lmp_da,0.9841275811195374,0.0181276891380548,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,da_as_total_mw_primary_reserve,0.9503751397132874,0.0521965511143207,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,da_as_total_mw_synchronized_reserve,0.9166682958602904,0.0859360322356224,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,da_as_total_mw_thirty_minutes_reserve,0.8718148469924927,0.1332227736711502,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,total_losses,0.8656703233718872,0.1339828968048095,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,net_actual_interchange_mw,0.8571839332580566,0.1449175775051117,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,gross_actual_interchange_mw,0.7862219214439392,0.2224562764167785,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,marginal_loss_price_da,0.7742993235588074,0.2216696292161941,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,congestion_price_rt,0.6572895050048828,0.3829592168331146,True
ab01_uniform_alpha,outputs/tuning/ab01_uniform_alpha/20260626_002359,congestion_price_da,0.6023118495941162,0.4313887655735016,True
ab02_dynamic_only,outputs/tuning/ab02_dynamic_only/20260626_002359,metered_load_mw,0.9857911467552184,0.0148142650723457,True
ab02_dynamic_only,outputs/tuning/ab02_dynamic_only/20260626_002359,total_gen,0.9857127666473388,0.015038595534861,True
