target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,19,0.1999426931142807,0.19998294115066528,0.2000775784254074,0.2000083476305008,0.19998842477798462
gross_actual_interchange_mw,19,0.20010654628276825,0.19994306564331055,0.19996662437915802,0.19998840987682343,0.19999533891677856
total_gen,27,0.19986239075660706,0.19990824162960052,0.20006056129932404,0.20029251277446747,0.1998763382434845
metered_load_mw,30,0.19980493187904358,0.19984588027000427,0.20004674792289734,0.20047487318515778,0.19982759654521942
total_losses,22,0.1990862339735031,0.19954219460487366,0.19965319335460663,0.20226944983005524,0.19944892823696136
congestion_price_da,20,0.2001345157623291,0.19971558451652527,0.1997305452823639,0.20006684958934784,0.2003525048494339
congestion_price_rt,19,0.1995088905096054,0.19953900575637817,0.19989126920700073,0.20114076137542725,0.19992005825042725
marginal_loss_price_da,23,0.201541468501091,0.19996987283229828,0.20052990317344666,0.1972757875919342,0.20068301260471344
total_lmp_da,29,0.2003992646932602,0.19984108209609985,0.20017105340957642,0.1995546966791153,0.20003388822078705
da_as_total_mw_primary_reserve,18,0.20025604963302612,0.20004618167877197,0.19992806017398834,0.19968722760677338,0.20008248090744019
da_as_total_mw_synchronized_reserve,15,0.19973142445087433,0.19960327446460724,0.19977526366710663,0.2010062336921692,0.19988372921943665
da_as_total_mw_thirty_minutes_reserve,24,0.20029765367507935,0.20015086233615875,0.20004473626613617,0.19930104911327362,0.20020563900470734
