confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9882301688194275,0.012271343730390072,True
total_gen,0.983167827129364,0.017717335373163223,True
total_lmp_da,0.9688608646392822,0.0355636291205883,True
da_as_total_mw_primary_reserve,0.9458198547363281,0.05698790028691292,True
da_as_total_mw_synchronized_reserve,0.9160030484199524,0.08662207424640656,True
total_losses,0.8201955556869507,0.17934025824069977,True
da_as_total_mw_thirty_minutes_reserve,0.7952304482460022,0.21281684935092926,True
gross_actual_interchange_mw,0.7248280644416809,0.2863423526287079,True
net_actual_interchange_mw,0.7214865684509277,0.2826116979122162,True
marginal_loss_price_da,0.7059776186943054,0.2887710928916931,True
congestion_price_rt,0.5425805449485779,0.5111398100852966,True
congestion_price_da,0.41595983505249023,0.6335325241088867,True
