rank,field,sensitivity,masked_loss,loss_increase
1,da_as_nsr_mw_primary_reserve,0.28007313942789497,0.48821282386779785,0.10681834816932678
2,gen_fuel_nuclear_mw,0.16837876221676543,0.44561320543289185,0.06421872973442078
3,forecast_load_mw_latest_available,0.12019378822775587,0.4272357225418091,0.04584124684333801
4,total_lmp_rt,0.11695963461542218,0.42600223422050476,0.04460775852203369
5,system_energy_price_da,0.11603085764965354,0.4256480038166046,0.044253528118133545
6,gen_fuel_coal_pct,0.04617254575609642,0.39900442957878113,0.01760995388031006
7,marginal_loss_price_rt,0.036620583357263835,0.39536136388778687,0.013966888189315796
8,da_as_as_req_mw_synchronized_reserve,0.03036583388520001,0.3929758369922638,0.011581361293792725
9,da_as_as_req_mw_primary_reserve,0.03024143434544705,0.3929283916950226,0.011533915996551514
10,forecast_load_mw_day_ahead,0.020924049470696367,0.3893747925758362,0.007980316877365112
11,da_as_as_req_mw_thirty_minutes_reserve,0.015171977284581528,0.38718098402023315,0.005786508321762085
12,gen_fuel_multiple_fuels_mw,0.01044627944184302,0.3853786289691925,0.0039841532707214355
13,total_pjm_rmpcp_cr,0.008708280344364806,0.3847157657146454,0.0033212900161743164
14,gen_fuel_oil_mw,0.008561532646088388,0.3846597969532013,0.0032653212547302246
15,gen_fuel_oil_pct,0.007561491622370819,0.38427838683128357,0.0028839111328125
16,gross_inadv_interchange_mw,0.006874793660468178,0.3840164840221405,0.0026220083236694336
17,gen_fuel_hydro_mw,0.006349611935166899,0.3838161826133728,0.0024217069149017334
18,rmpcp,0.0060039968821974645,0.383684366941452,0.002289891242980957
19,gen_fuel_gas_pct,0.00421161205628454,0.38300076127052307,0.001606285572052002
20,gen_fuel_hydro_pct,0.0020801759722132687,0.3821878433227539,0.0007933676242828369
21,total_pjm_loc_credit,0.0018861533232141497,0.38211384415626526,0.0007193684577941895
22,gen_fuel_solar_mw,0.001107015251055384,0.38181668519973755,0.0004222095012664795
23,gen_fuel_coal_mw,0.0009088511600921275,0.38174110651016235,0.0003466308116912842
24,gen_fuel_solar_pct,0.0008637641409731217,0.38172391057014465,0.000329434871673584
25,da_as_ss_mw_thirty_minutes_reserve,0.00022035596865787978,0.38147851824760437,8.404254913330078e-05
26,da_as_ss_mw_synchronized_reserve,0.00022012154741462672,0.3814784288406372,8.39531421661377e-05
27,da_as_ss_mw_primary_reserve,0.0002143391567477178,0.3814762234687805,8.174777030944824e-05
28,net_inadv_interchange_mw,2.2113737280205664e-05,0.3814029097557068,8.434057235717773e-06
29,total_pjm_assigned_reg,-0.0002627862136866843,0.38129425048828125,-0.00010022521018981934
30,total_pjm_self_sched_reg,-0.00046720153780335576,0.38121628761291504,-0.00017818808555603027
31,total_pjm_reg_purchases,-0.0005706594464923745,0.38117682933807373,-0.00021764636039733887
32,gen_fuel_storage_mw,-0.0006015249101873612,0.3811650574207306,-0.00022941827774047852
33,gen_fuel_wind_mw,-0.0006495812650542392,0.38114672899246216,-0.00024774670600891113
34,gen_fuel_wind_pct,-0.0013364355077857156,0.3808847665786743,-0.0005097091197967529
35,gen_fuel_gas_mw,-0.001559604531362632,0.38079965114593506,-0.0005948245525360107
36,gen_fuel_other_renewables_pct,-0.0015846094639762921,0.380790114402771,-0.0006043612957000732
37,da_as_mcp_synchronized_reserve,-0.0032320438211444055,0.3801617920398712,-0.0012326836585998535
38,gen_fuel_multiple_fuels_pct,-0.003421456185692881,0.38008955121040344,-0.001304924488067627
39,da_as_mcp_primary_reserve,-0.0036298566709448542,0.38001006841659546,-0.0013844072818756104
40,gross_sched_interchange_mw,-0.005060373237689466,0.3794644773006439,-0.0019299983978271484
41,gen_fuel_nuclear_pct,-0.006052756500794102,0.3790859878063202,-0.002308487892150879
42,gen_fuel_other_renewables_mw,-0.006958013201823016,0.37874072790145874,-0.002653747797012329
43,rmccp,-0.013340444111045343,0.3763065040111542,-0.0050879716873168945
44,total_pjm_rmccp_cr,-0.014307353599049813,0.37593773007392883,-0.005456745624542236
