target_field,rank,source_field,source_type,attention
net_actual_interchange_mw,1,gen_fuel_nuclear_mw,general,0.22900815308094025
net_actual_interchange_mw,2,da_as_as_req_mw_thirty_minutes_reserve,general,0.15722808241844177
net_actual_interchange_mw,3,gross_sched_interchange_mw,general,0.14090882241725922
net_actual_interchange_mw,4,da_as_as_req_mw_synchronized_reserve,general,0.14082378149032593
net_actual_interchange_mw,5,da_as_as_req_mw_primary_reserve,general,0.1331939697265625
net_actual_interchange_mw,6,da_as_total_mw_primary_reserve,confidential,0.1065768450498581
net_actual_interchange_mw,7,da_as_total_mw_thirty_minutes_reserve,confidential,0.09223511070013046
net_actual_interchange_mw,8,rmpcp,general,8.219632263717358e-07
net_actual_interchange_mw,9,total_pjm_rmpcp_cr,general,7.689073981964611e-07
net_actual_interchange_mw,10,forecast_load_mw_latest_available,general,6.586016638721048e-07
net_actual_interchange_mw,11,da_as_nsr_mw_primary_reserve,general,6.430583425753866e-07
net_actual_interchange_mw,12,system_energy_price_da,general,6.264426133384404e-07
gross_actual_interchange_mw,1,gross_inadv_interchange_mw,general,0.5556818246841431
gross_actual_interchange_mw,2,gen_fuel_nuclear_mw,general,0.12170151621103287
gross_actual_interchange_mw,3,gross_sched_interchange_mw,general,0.08766822516918182
gross_actual_interchange_mw,4,gen_fuel_coal_pct,general,0.04752702638506889
gross_actual_interchange_mw,5,total_pjm_reg_purchases,general,0.0372776985168457
gross_actual_interchange_mw,6,total_losses,confidential,0.03581799566745758
gross_actual_interchange_mw,7,gen_fuel_coal_mw,general,0.030008133500814438
gross_actual_interchange_mw,8,gen_fuel_solar_pct,general,0.029163654893636703
gross_actual_interchange_mw,9,metered_load_mw,confidential,0.028101958334445953
gross_actual_interchange_mw,10,gen_fuel_solar_mw,general,0.02704475447535515
gross_actual_interchange_mw,11,rmpcp,general,2.490970132384973e-07
gross_actual_interchange_mw,12,total_pjm_rmpcp_cr,general,2.3440064467195043e-07
total_gen,1,forecast_load_mw_latest_available,general,0.3023551106452942
total_gen,2,forecast_load_mw_day_ahead,general,0.09384329617023468
total_gen,3,gen_fuel_nuclear_mw,general,0.08641223609447479
total_gen,4,metered_load_mw,confidential,0.05712006241083145
total_gen,5,gen_fuel_nuclear_pct,general,0.04573363438248634
total_gen,6,system_energy_price_da,general,0.04468298330903053
total_gen,7,marginal_loss_price_rt,general,0.0427977591753006
total_gen,8,gen_fuel_coal_mw,general,0.04232894629240036
total_gen,9,total_lmp_rt,general,0.039557136595249176
total_gen,10,gen_fuel_gas_mw,general,0.03219747915863991
total_gen,11,gen_fuel_coal_pct,general,0.03129629045724869
total_gen,12,gross_inadv_interchange_mw,general,0.023073796182870865
metered_load_mw,1,forecast_load_mw_latest_available,general,0.3356936573982239
metered_load_mw,2,forecast_load_mw_day_ahead,general,0.10007593035697937
metered_load_mw,3,gen_fuel_nuclear_mw,general,0.06706540286540985
metered_load_mw,4,total_lmp_rt,general,0.05986785516142845
metered_load_mw,5,total_gen,confidential,0.051714375615119934
metered_load_mw,6,system_energy_price_da,general,0.047905318439006805
metered_load_mw,7,gen_fuel_nuclear_pct,general,0.042774610221385956
metered_load_mw,8,gen_fuel_coal_mw,general,0.03963117301464081
metered_load_mw,9,gen_fuel_coal_pct,general,0.031907111406326294
metered_load_mw,10,gen_fuel_gas_mw,general,0.026759281754493713
metered_load_mw,11,marginal_loss_price_rt,general,0.02304452285170555
metered_load_mw,12,gross_inadv_interchange_mw,general,0.02014239691197872
total_losses,1,forecast_load_mw_latest_available,general,0.20536181330680847
total_losses,2,gen_fuel_nuclear_mw,general,0.18963196873664856
total_losses,3,gen_fuel_coal_pct,general,0.1011122316122055
total_losses,4,gross_inadv_interchange_mw,general,0.06514096260070801
total_losses,5,forecast_load_mw_day_ahead,general,0.06442182511091232
total_losses,6,gen_fuel_coal_mw,general,0.06403444707393646
total_losses,7,system_energy_price_da,general,0.0571058988571167
total_losses,8,metered_load_mw,confidential,0.04042794182896614
total_losses,9,marginal_loss_price_da,confidential,0.03547898307442665
total_losses,10,total_gen,confidential,0.03457966446876526
total_losses,11,marginal_loss_price_rt,general,0.03363083302974701
