target_idx,target_field,source_idx,source_field,source_type,gate_lambda,prior
49,congestion_price_da,33,da_as_as_req_mw_thirty_minutes_reserve,general,0.8791301250457764,0.20487792789936066
49,congestion_price_da,32,da_as_as_req_mw_synchronized_reserve,general,0.8406014442443848,0.207882821559906
49,congestion_price_da,31,da_as_as_req_mw_primary_reserve,general,0.8394902944564819,0.20611710846424103
49,congestion_price_da,4,gen_fuel_nuclear_mw,general,0.7514998912811279,0.1649363785982132
49,congestion_price_da,15,gen_fuel_oil_pct,general,0.7460765838623047,0.20461145043373108
49,congestion_price_da,39,total_lmp_rt,general,0.7205449938774109,0.19967776536941528
49,congestion_price_da,2,gen_fuel_hydro_mw,general,0.720291018486023,0.20329059660434723
49,congestion_price_da,38,system_energy_price_da,general,0.7188665866851807,0.25776761770248413
49,congestion_price_da,29,da_as_mcp_primary_reserve,general,0.7123618721961975,0.21060810983181
49,congestion_price_da,30,da_as_mcp_synchronized_reserve,general,0.7090184092521667,0.20885857939720154
49,congestion_price_da,12,gen_fuel_hydro_pct,general,0.701455295085907,0.18225035071372986
49,congestion_price_da,40,marginal_loss_price_rt,general,0.6802194118499756,0.20179079473018646
49,congestion_price_da,19,forecast_load_mw_latest_available,general,0.6563884615898132,0.2572104036808014
49,congestion_price_da,1,gen_fuel_gas_mw,general,0.655683159828186,0.2560850977897644
49,congestion_price_da,43,gross_inadv_interchange_mw,general,0.6406971216201782,0.18821102380752563
49,congestion_price_da,0,gen_fuel_coal_mw,general,0.6376585960388184,0.22321413457393646
49,congestion_price_da,20,forecast_load_mw_day_ahead,general,0.6284136772155762,0.2375379502773285
49,congestion_price_da,5,gen_fuel_oil_mw,general,0.6150540113449097,0.24080434441566467
49,congestion_price_da,16,gen_fuel_other_renewables_pct,general,0.5938190817832947,0.18915393948554993
49,congestion_price_da,14,gen_fuel_nuclear_pct,general,0.546707034111023,0.217123880982399
50,congestion_price_rt,15,gen_fuel_oil_pct,general,0.7109972238540649,0.26793569326400757
50,congestion_price_rt,2,gen_fuel_hydro_mw,general,0.6907481551170349,0.16563940048217773
50,congestion_price_rt,11,gen_fuel_gas_pct,general,0.6897239089012146,0.1586458534002304
50,congestion_price_rt,29,da_as_mcp_primary_reserve,general,0.6823893785476685,0.1731354147195816
50,congestion_price_rt,38,system_energy_price_da,general,0.6780012249946594,0.36484527587890625
50,congestion_price_rt,39,total_lmp_rt,general,0.6680047512054443,0.49137797951698303
50,congestion_price_rt,40,marginal_loss_price_rt,general,0.6242120265960693,0.46776866912841797
50,congestion_price_rt,19,forecast_load_mw_latest_available,general,0.6195283532142639,0.23522666096687317
50,congestion_price_rt,1,gen_fuel_gas_mw,general,0.6189199686050415,0.22834031283855438
50,congestion_price_rt,27,total_pjm_rmccp_cr,general,0.6107356548309326,0.4258745312690735
50,congestion_price_rt,0,gen_fuel_coal_mw,general,0.605854868888855,0.17272181808948517
50,congestion_price_rt,13,gen_fuel_multiple_fuels_pct,general,0.5994791388511658,0.2720109820365906
50,congestion_price_rt,20,forecast_load_mw_day_ahead,general,0.5876950025558472,0.23949378728866577
50,congestion_price_rt,21,rmccp,general,0.5847429037094116,0.4778960347175598
50,congestion_price_rt,5,gen_fuel_oil_mw,general,0.5712101459503174,0.27348941564559937
50,congestion_price_rt,8,gen_fuel_storage_mw,general,0.5654876232147217,0.18699288368225098
50,congestion_price_rt,16,gen_fuel_other_renewables_pct,general,0.5510217547416687,0.19673678278923035
