confidential_field,test_r2
metered_load_mw,0.9882744550704956
total_gen,0.987586259841919
total_lmp_da,0.9801933765411377
da_as_total_mw_primary_reserve,0.9508322477340698
da_as_total_mw_synchronized_reserve,0.9158697724342346
da_as_total_mw_thirty_minutes_reserve,0.8492896556854248
total_losses,0.8404697179794312
net_actual_interchange_mw,0.8248474597930908
marginal_loss_price_da,0.768362283706665
gross_actual_interchange_mw,0.7604061365127563
congestion_price_rt,0.6063100099563599
congestion_price_da,0.5859001278877258
