target,source,gate
total_lmp_da,da_as_nsr_mw_primary_reserve,0.4349355697631836
da_as_total_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,0.4089948534965515
net_actual_interchange_mw,marginal_loss_price_rt,0.4032703638076782
total_losses,gen_fuel_wind_mw,0.39877641201019287
congestion_price_rt,gen_fuel_multiple_fuels_mw,0.39656656980514526
net_actual_interchange_mw,gen_fuel_multiple_fuels_mw,0.39597827196121216
net_actual_interchange_mw,gen_fuel_wind_pct,0.3907151222229004
marginal_loss_price_da,gen_fuel_nuclear_mw,0.3900575041770935
marginal_loss_price_da,gen_fuel_multiple_fuels_mw,0.39002829790115356
da_as_total_mw_primary_reserve,da_as_nsr_mw_primary_reserve,0.3896467089653015
da_as_total_mw_thirty_minutes_reserve,marginal_loss_price_rt,0.38940536975860596
congestion_price_da,marginal_loss_price_rt,0.3887386918067932
da_as_total_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,0.38744449615478516
congestion_price_rt,gen_fuel_coal_mw,0.38552606105804443
congestion_price_rt,marginal_loss_price_rt,0.38544678688049316
gross_actual_interchange_mw,marginal_loss_price_rt,0.38423827290534973
congestion_price_da,gen_fuel_nuclear_mw,0.3828681707382202
gross_actual_interchange_mw,gen_fuel_multiple_fuels_mw,0.37934234738349915
congestion_price_rt,gen_fuel_oil_mw,0.377741277217865
marginal_loss_price_da,marginal_loss_price_rt,0.37626391649246216
congestion_price_rt,gen_fuel_multiple_fuels_pct,0.37441590428352356
total_lmp_da,marginal_loss_price_rt,0.37413886189460754
total_lmp_da,total_pjm_assigned_reg,0.3741235136985779
total_gen,marginal_loss_price_rt,0.37359803915023804
total_lmp_da,gen_fuel_multiple_fuels_mw,0.3732354938983917
metered_load_mw,marginal_loss_price_rt,0.373066782951355
congestion_price_rt,da_as_mcp_primary_reserve,0.37095433473587036
net_actual_interchange_mw,total_pjm_reg_purchases,0.3702937066555023
net_actual_interchange_mw,total_pjm_assigned_reg,0.36923742294311523
total_losses,marginal_loss_price_rt,0.3675220012664795
congestion_price_rt,forecast_load_mw_day_ahead,0.3674524426460266
net_actual_interchange_mw,gen_fuel_nuclear_mw,0.36645984649658203
net_actual_interchange_mw,gen_fuel_other_renewables_mw,0.3664131164550781
congestion_price_rt,forecast_load_mw_latest_available,0.3655465245246887
da_as_total_mw_thirty_minutes_reserve,gen_fuel_multiple_fuels_mw,0.36451947689056396
congestion_price_rt,gen_fuel_storage_mw,0.36402639746665955
total_gen,gen_fuel_multiple_fuels_mw,0.3633018136024475
metered_load_mw,gen_fuel_multiple_fuels_mw,0.36323797702789307
da_as_total_mw_thirty_minutes_reserve,total_pjm_reg_purchases,0.3629871606826782
total_lmp_da,total_pjm_reg_purchases,0.35960596799850464
metered_load_mw,gen_fuel_wind_pct,0.3590792119503021
congestion_price_rt,gen_fuel_nuclear_pct,0.3564281761646271
congestion_price_rt,total_lmp_rt,0.3556389808654785
total_gen,gen_fuel_wind_pct,0.35241222381591797
congestion_price_rt,gen_fuel_oil_pct,0.35201746225357056
gross_actual_interchange_mw,gen_fuel_nuclear_mw,0.35135847330093384
congestion_price_rt,gen_fuel_gas_pct,0.3512724041938782
congestion_price_rt,system_energy_price_da,0.35046643018722534
congestion_price_da,da_as_as_req_mw_thirty_minutes_reserve,0.3491899371147156
congestion_price_rt,gen_fuel_other_renewables_pct,0.3486720025539398
da_as_total_mw_thirty_minutes_reserve,gen_fuel_other_renewables_mw,0.3477584719657898
congestion_price_rt,gen_fuel_hydro_mw,0.3474886119365692
congestion_price_rt,gen_fuel_gas_mw,0.34666159749031067
total_lmp_da,gen_fuel_multiple_fuels_pct,0.346209853887558
da_as_total_mw_thirty_minutes_reserve,gen_fuel_nuclear_mw,0.3455769121646881
congestion_price_da,da_as_as_req_mw_primary_reserve,0.3450321555137634
net_actual_interchange_mw,system_energy_price_da,0.3448643684387207
da_as_total_mw_primary_reserve,gen_fuel_other_renewables_mw,0.34420716762542725
congestion_price_da,da_as_as_req_mw_synchronized_reserve,0.3439479470252991
metered_load_mw,gen_fuel_other_renewables_mw,0.3427910804748535
marginal_loss_price_da,gen_fuel_oil_mw,0.3424152731895447
da_as_total_mw_thirty_minutes_reserve,rmpcp,0.34236443042755127
net_actual_interchange_mw,forecast_load_mw_day_ahead,0.3420918583869934
congestion_price_da,gen_fuel_oil_mw,0.3418179750442505
metered_load_mw,gen_fuel_nuclear_mw,0.3405642807483673
total_gen,gen_fuel_multiple_fuels_pct,0.34050464630126953
net_actual_interchange_mw,gen_fuel_multiple_fuels_pct,0.3399580121040344
congestion_price_da,total_lmp_rt,0.33964675664901733
metered_load_mw,gen_fuel_multiple_fuels_pct,0.33953145146369934
gross_actual_interchange_mw,total_pjm_assigned_reg,0.3386378884315491
net_actual_interchange_mw,da_as_as_req_mw_thirty_minutes_reserve,0.3381314277648926
net_actual_interchange_mw,da_as_as_req_mw_primary_reserve,0.3367767333984375
net_actual_interchange_mw,forecast_load_mw_latest_available,0.33630645275115967
marginal_loss_price_da,gen_fuel_coal_pct,0.3362185060977936
da_as_total_mw_primary_reserve,gen_fuel_nuclear_mw,0.3354632258415222
total_gen,gen_fuel_nuclear_mw,0.3352845311164856
total_gen,gen_fuel_other_renewables_mw,0.33427727222442627
net_actual_interchange_mw,da_as_as_req_mw_synchronized_reserve,0.3340141475200653
marginal_loss_price_da,gen_fuel_hydro_pct,0.3332166075706482
marginal_loss_price_da,system_energy_price_da,0.3329189419746399
da_as_total_mw_synchronized_reserve,gen_fuel_wind_pct,0.33291012048721313
congestion_price_da,system_energy_price_da,0.3317958116531372
total_lmp_da,gen_fuel_oil_mw,0.3317141532897949
da_as_total_mw_thirty_minutes_reserve,da_as_as_req_mw_thirty_minutes_reserve,0.33162134885787964
marginal_loss_price_da,total_lmp_rt,0.3310700058937073
marginal_loss_price_da,gen_fuel_storage_mw,0.3296094834804535
