candidate,source,k,arch,seed,worst,mean,per_conf
low_order_k24,low_order,24,gnn,2,0.5926635265350342,0.36108946800231934,"{""net_actual_interchange_mw"": 0.5876682996749878, ""gross_actual_interchange_mw"": 0.3799571990966797, ""total_gen"": 0.5926635265350342, ""metered_load_mw"": 0.5846526622772217, ""total_losses"": 0.3692399263381958, ""congestion_price_da"": 0.02893608808517456, ""congestion_price_rt"": 0.2339465618133545, ""marginal_loss_price_da"": 0.16801846027374268, ""total_lmp_da"": 0.3773917555809021, ""da_as_total_mw_primary_reserve"": 0.32839542627334595, ""da_as_total_mw_synchronized_reserve"": 0.1821776032447815, ""da_as_total_mw_thirty_minutes_reserve"": 0.5000259876251221}"
degree_k24,baseline,24,gnn,2,0.8835414052009583,0.41840872168540955,"{""net_actual_interchange_mw"": 0.5797185897827148, ""gross_actual_interchange_mw"": 0.3831058740615845, ""total_gen"": 0.8835414052009583, ""metered_load_mw"": 0.8650256395339966, ""total_losses"": 0.7089978456497192, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.20253992080688477, ""marginal_loss_price_da"": 0.17207229137420654, ""total_lmp_da"": 0.41270309686660767, ""da_as_total_mw_primary_reserve"": 0.2654935121536255, ""da_as_total_mw_synchronized_reserve"": 0.17083090543746948, ""da_as_total_mw_thirty_minutes_reserve"": 0.37687569856643677}"
single_k24,baseline,24,gnn,2,0.8606438040733337,0.4065159261226654,"{""net_actual_interchange_mw"": 0.42913371324539185, ""gross_actual_interchange_mw"": 0.2575429677963257, ""total_gen"": 0.8606438040733337, ""metered_load_mw"": 0.8385673761367798, ""total_losses"": 0.6467961668968201, ""congestion_price_da"": 0.030025362968444824, ""congestion_price_rt"": 0.23264455795288086, ""marginal_loss_price_da"": 0.14513921737670898, ""total_lmp_da"": 0.39914023876190186, ""da_as_total_mw_primary_reserve"": 0.3273475170135498, ""da_as_total_mw_synchronized_reserve"": 0.20196348428726196, ""da_as_total_mw_thirty_minutes_reserve"": 0.5092469453811646}"
random_k24,baseline,24,gnn,2,0.9795933961868286,0.6845395565032959,"{""net_actual_interchange_mw"": 0.5784029960632324, ""gross_actual_interchange_mw"": 0.36983489990234375, ""total_gen"": 0.9770110249519348, ""metered_load_mw"": 0.9795923829078674, ""total_losses"": 0.7731817960739136, ""congestion_price_da"": 0.29185032844543457, ""congestion_price_rt"": 0.48066282272338867, ""marginal_loss_price_da"": 0.7180091142654419, ""total_lmp_da"": 0.9795933961868286, ""da_as_total_mw_primary_reserve"": 0.602327823638916, ""da_as_total_mw_synchronized_reserve"": 0.6658226251602173, ""da_as_total_mw_thirty_minutes_reserve"": 0.7981853485107422}"
mlp_hybrid_k25,mlp_search,25,gnn,2,0.5461171865463257,0.32270482182502747,"{""net_actual_interchange_mw"": 0.3940516710281372, ""gross_actual_interchange_mw"": 0.23378950357437134, ""total_gen"": 0.5298806428909302, ""metered_load_mw"": 0.5461171865463257, ""total_losses"": 0.34975314140319824, ""congestion_price_da"": 0.02158653736114502, ""congestion_price_rt"": 0.22439080476760864, ""marginal_loss_price_da"": 0.18963247537612915, ""total_lmp_da"": 0.37494349479675293, ""da_as_total_mw_primary_reserve"": 0.3291611671447754, ""da_as_total_mw_synchronized_reserve"": 0.179210364818573, ""da_as_total_mw_thirty_minutes_reserve"": 0.4999406933784485}"
mlp_hybrid_k26,mlp_search,26,gnn,2,0.5054342746734619,0.30145981907844543,"{""net_actual_interchange_mw"": 0.39532387256622314, ""gross_actual_interchange_mw"": 0.22077834606170654, ""total_gen"": 0.4872872829437256, ""metered_load_mw"": 0.5054342746734619, ""total_losses"": 0.3429505228996277, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.22429156303405762, ""marginal_loss_price_da"": 0.17256999015808105, ""total_lmp_da"": 0.3975788950920105, ""da_as_total_mw_primary_reserve"": 0.24450796842575073, ""da_as_total_mw_synchronized_reserve"": 0.17592674493789673, ""da_as_total_mw_thirty_minutes_reserve"": 0.4508681297302246}"
mlp_hybrid_k27,mlp_search,27,gnn,2,0.4406397342681885,0.2605448067188263,"{""net_actual_interchange_mw"": 0.33560025691986084, ""gross_actual_interchange_mw"": 0.21522504091262817, ""total_gen"": 0.3557988405227661, ""metered_load_mw"": 0.4406397342681885, ""total_losses"": 0.29292958974838257, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.21574538946151733, ""marginal_loss_price_da"": 0.17021924257278442, ""total_lmp_da"": 0.3471758961677551, ""da_as_total_mw_primary_reserve"": 0.18419253826141357, ""da_as_total_mw_synchronized_reserve"": 0.162284255027771, ""da_as_total_mw_thirty_minutes_reserve"": 0.40672677755355835}"
mlp_hybrid_k28,mlp_search,28,gnn,2,0.40928614139556885,0.22193670272827148,"{""net_actual_interchange_mw"": 0.3108676075935364, ""gross_actual_interchange_mw"": 0.20530223846435547, ""total_gen"": 0.2680249810218811, ""metered_load_mw"": 0.40928614139556885, ""total_losses"": 0.29336971044540405, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.19722193479537964, ""marginal_loss_price_da"": 0.13950657844543457, ""total_lmp_da"": 0.2941986322402954, ""da_as_total_mw_primary_reserve"": 0.16817641258239746, ""da_as_total_mw_synchronized_reserve"": 0.06048625707626343, ""da_as_total_mw_thirty_minutes_reserve"": 0.3167998790740967}"
mlp_hybrid_k29,mlp_search,29,gnn,2,0.32297563552856445,0.1844848245382309,"{""net_actual_interchange_mw"": 0.2601049542427063, ""gross_actual_interchange_mw"": 0.20988309383392334, ""total_gen"": 0.15621250867843628, ""metered_load_mw"": 0.32297563552856445, ""total_losses"": 0.19428420066833496, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.19785261154174805, ""marginal_loss_price_da"": 0.13881391286849976, ""total_lmp_da"": 0.2983545660972595, ""da_as_total_mw_primary_reserve"": 0.10572493076324463, ""da_as_total_mw_synchronized_reserve"": 0.059378862380981445, ""da_as_total_mw_thirty_minutes_reserve"": 0.270232617855072}"
mlp_hybrid_k30,mlp_search,30,gnn,2,0.3001638650894165,0.15660549700260162,"{""net_actual_interchange_mw"": 0.2545316219329834, ""gross_actual_interchange_mw"": 0.21164625883102417, ""total_gen"": 0.0, ""metered_load_mw"": 0.19786995649337769, ""total_losses"": 0.19528073072433472, ""congestion_price_da"": 0.0, ""congestion_price_rt"": 0.19563418626785278, ""marginal_loss_price_da"": 0.1390972137451172, ""total_lmp_da"": 0.3001638650894165, ""da_as_total_mw_primary_reserve"": 0.10157924890518188, ""da_as_total_mw_synchronized_reserve"": 0.0, ""da_as_total_mw_thirty_minutes_reserve"": 0.28346288204193115}"
mlp_direct_k24,mlp_search,24,gnn,2,0.6801279783248901,0.4649835526943207,"{""net_actual_interchange_mw"": 0.41111499071121216, ""gross_actual_interchange_mw"": 0.2374139428138733, ""total_gen"": 0.6018548011779785, ""metered_load_mw"": 0.6146285533905029, ""total_losses"": 0.6801279783248901, ""congestion_price_da"": 0.2534158229827881, ""congestion_price_rt"": 0.4625808596611023, ""marginal_loss_price_da"": 0.2688026428222656, ""total_lmp_da"": 0.4707266092300415, ""da_as_total_mw_primary_reserve"": 0.5257366895675659, ""da_as_total_mw_synchronized_reserve"": 0.5357454419136047, ""da_as_total_mw_thirty_minutes_reserve"": 0.5176539421081543}"
mlp_direct_k27,mlp_search,27,gnn,2,0.538662850856781,0.33924803137779236,"{""net_actual_interchange_mw"": 0.3976846933364868, ""gross_actual_interchange_mw"": 0.15759479999542236, ""total_gen"": 0.3788944482803345, ""metered_load_mw"": 0.4214107394218445, ""total_losses"": 0.42317360639572144, ""congestion_price_da"": 0.06933408975601196, ""congestion_price_rt"": 0.22528815269470215, ""marginal_loss_price_da"": 0.14268040657043457, ""total_lmp_da"": 0.33143019676208496, ""da_as_total_mw_primary_reserve"": 0.5102318525314331, ""da_as_total_mw_synchronized_reserve"": 0.538662850856781, ""da_as_total_mw_thirty_minutes_reserve"": 0.4745904803276062}"
mlp_direct_k30,mlp_search,30,gnn,2,0.5394240617752075,0.32001566886901855,"{""net_actual_interchange_mw"": 0.41185152530670166, ""gross_actual_interchange_mw"": 0.15224957466125488, ""total_gen"": 0.3844384551048279, ""metered_load_mw"": 0.3939327001571655, ""total_losses"": 0.28908491134643555, ""congestion_price_da"": 0.07269525527954102, ""congestion_price_rt"": 0.20336675643920898, ""marginal_loss_price_da"": 0.1194765567779541, ""total_lmp_da"": 0.3061125874519348, ""da_as_total_mw_primary_reserve"": 0.5088924765586853, ""da_as_total_mw_synchronized_reserve"": 0.5394240617752075, ""da_as_total_mw_thirty_minutes_reserve"": 0.4586629271507263}"
gnn_hybrid_k27,gnn_search,27,gnn,2,0.47384727001190186,0.2710812985897064,"{""net_actual_interchange_mw"": 0.31895262002944946, ""gross_actual_interchange_mw"": 0.22840148210525513, ""total_gen"": 0.45947587490081787, ""metered_load_mw"": 0.47384727001190186, ""total_losses"": 0.26217204332351685, ""congestion_price_da"": 0.029825568199157715, ""congestion_price_rt"": 0.19975948333740234, ""marginal_loss_price_da"": 0.17304295301437378, ""total_lmp_da"": 0.35158228874206543, ""da_as_total_mw_primary_reserve"": 0.2570609450340271, ""da_as_total_mw_synchronized_reserve"": 0.14036929607391357, ""da_as_total_mw_thirty_minutes_reserve"": 0.35848569869995117}"
gnn_direct_k24,gnn_search,24,gnn,2,0.6439327001571655,0.4286704957485199,"{""net_actual_interchange_mw"": 0.6160597205162048, ""gross_actual_interchange_mw"": 0.3581703305244446, ""total_gen"": 0.6439327001571655, ""metered_load_mw"": 0.6293466091156006, ""total_losses"": 0.459683358669281, ""congestion_price_da"": 0.10909301042556763, ""congestion_price_rt"": 0.1831059455871582, ""marginal_loss_price_da"": 0.1799485683441162, ""total_lmp_da"": 0.37452155351638794, ""da_as_total_mw_primary_reserve"": 0.5787810683250427, ""da_as_total_mw_synchronized_reserve"": 0.5394003987312317, ""da_as_total_mw_thirty_minutes_reserve"": 0.47200268507003784}"
gnn_direct_k27,gnn_search,27,gnn,2,0.5849609375,0.3766106069087982,"{""net_actual_interchange_mw"": 0.4022291302680969, ""gross_actual_interchange_mw"": 0.24071145057678223, ""total_gen"": 0.5161110162734985, ""metered_load_mw"": 0.5288894176483154, ""total_losses"": 0.4030532240867615, ""congestion_price_da"": 0.12920832633972168, ""congestion_price_rt"": 0.19357353448867798, ""marginal_loss_price_da"": 0.1757267713546753, ""total_lmp_da"": 0.337152898311615, ""da_as_total_mw_primary_reserve"": 0.5849609375, ""da_as_total_mw_synchronized_reserve"": 0.540500283241272, ""da_as_total_mw_thirty_minutes_reserve"": 0.4672102928161621}"
gnn_direct_k30,gnn_search,30,gnn,2,0.557915985584259,0.3766676187515259,"{""net_actual_interchange_mw"": 0.39851003885269165, ""gross_actual_interchange_mw"": 0.23723691701889038, ""total_gen"": 0.5209630131721497, ""metered_load_mw"": 0.5320519208908081, ""total_losses"": 0.41052448749542236, ""congestion_price_da"": 0.13009673357009888, ""congestion_price_rt"": 0.19451385736465454, ""marginal_loss_price_da"": 0.17499709129333496, ""total_lmp_da"": 0.341927170753479, ""da_as_total_mw_primary_reserve"": 0.557915985584259, ""da_as_total_mw_synchronized_reserve"": 0.53846675157547, ""da_as_total_mw_thirty_minutes_reserve"": 0.48280757665634155}"
