sid,group,size,K,conf,est
p00_03,pair,2,0,net_actual_interchange_mw,0.2211330533027649
p00_03,pair,2,0,gross_actual_interchange_mw,0.09564995765686035
p00_03,pair,2,0,total_gen,0.7858187556266785
p00_03,pair,2,0,metered_load_mw,0.7931555509567261
p00_03,pair,2,0,total_losses,0.4526734948158264
p00_03,pair,2,0,congestion_price_da,0.0
p00_03,pair,2,0,congestion_price_rt,0.09794235229492188
p00_03,pair,2,0,marginal_loss_price_da,0.26862597465515137
p00_03,pair,2,0,total_lmp_da,0.324545681476593
p00_03,pair,2,0,da_as_total_mw_primary_reserve,0.03175985813140869
p00_03,pair,2,0,da_as_total_mw_synchronized_reserve,0.02968597412109375
p00_03,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.2825073003768921
p00_03,pair,2,10,net_actual_interchange_mw,0.28442782163619995
p00_03,pair,2,10,gross_actual_interchange_mw,0.1789475679397583
p00_03,pair,2,10,total_gen,0.8033158779144287
p00_03,pair,2,10,metered_load_mw,0.7988471984863281
p00_03,pair,2,10,total_losses,0.5149614810943604
p00_03,pair,2,10,congestion_price_da,0.11913865804672241
p00_03,pair,2,10,congestion_price_rt,0.12403732538223267
p00_03,pair,2,10,marginal_loss_price_da,0.3817489743232727
p00_03,pair,2,10,total_lmp_da,0.47007542848587036
p00_03,pair,2,10,da_as_total_mw_primary_reserve,0.11609888076782227
p00_03,pair,2,10,da_as_total_mw_synchronized_reserve,0.11074858903884888
p00_03,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.36335211992263794
p00_03,pair,2,50,net_actual_interchange_mw,0.3215984106063843
p00_03,pair,2,50,gross_actual_interchange_mw,0.1829894781112671
p00_03,pair,2,50,total_gen,0.8141962289810181
p00_03,pair,2,50,metered_load_mw,0.81287682056427
p00_03,pair,2,50,total_losses,0.5722795724868774
p00_03,pair,2,50,congestion_price_da,0.13303738832473755
p00_03,pair,2,50,congestion_price_rt,0.14866608381271362
p00_03,pair,2,50,marginal_loss_price_da,0.452483594417572
p00_03,pair,2,50,total_lmp_da,0.5338383316993713
p00_03,pair,2,50,da_as_total_mw_primary_reserve,0.14871609210968018
p00_03,pair,2,50,da_as_total_mw_synchronized_reserve,0.12391543388366699
p00_03,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.3838454484939575
p00_03,pair,2,200,net_actual_interchange_mw,0.3276103734970093
p00_03,pair,2,200,gross_actual_interchange_mw,0.19148623943328857
p00_03,pair,2,200,total_gen,0.8194780349731445
p00_03,pair,2,200,metered_load_mw,0.8154314756393433
p00_03,pair,2,200,total_losses,0.5783111453056335
p00_03,pair,2,200,congestion_price_da,0.13269954919815063
p00_03,pair,2,200,congestion_price_rt,0.15556466579437256
p00_03,pair,2,200,marginal_loss_price_da,0.46694236993789673
p00_03,pair,2,200,total_lmp_da,0.551427960395813
p00_03,pair,2,200,da_as_total_mw_primary_reserve,0.1661779284477234
p00_03,pair,2,200,da_as_total_mw_synchronized_reserve,0.13665252923965454
p00_03,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.3849382996559143
p00_06,pair,2,0,net_actual_interchange_mw,0.14395242929458618
p00_06,pair,2,0,gross_actual_interchange_mw,0.10567104816436768
p00_06,pair,2,0,total_gen,0.7449281811714172
p00_06,pair,2,0,metered_load_mw,0.7345174551010132
