sid,group,size,K,conf,est
p00_03,pair,2,0,net_actual_interchange_mw,0.11321943998336792
p00_03,pair,2,0,gross_actual_interchange_mw,0.08511930704116821
p00_03,pair,2,0,total_gen,0.7705518007278442
p00_03,pair,2,0,metered_load_mw,0.7528579235076904
p00_03,pair,2,0,total_losses,0.42117172479629517
p00_03,pair,2,0,congestion_price_da,0.08196187019348145
p00_03,pair,2,0,congestion_price_rt,0.11667943000793457
p00_03,pair,2,0,marginal_loss_price_da,0.2684893012046814
p00_03,pair,2,0,total_lmp_da,0.39237362146377563
p00_03,pair,2,0,da_as_total_mw_primary_reserve,0.08623087406158447
p00_03,pair,2,0,da_as_total_mw_synchronized_reserve,0.07890665531158447
p00_03,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.2491976022720337
p00_03,pair,2,10,net_actual_interchange_mw,0.28640735149383545
p00_03,pair,2,10,gross_actual_interchange_mw,0.16191959381103516
p00_03,pair,2,10,total_gen,0.79707270860672
p00_03,pair,2,10,metered_load_mw,0.8009138107299805
p00_03,pair,2,10,total_losses,0.5329864025115967
p00_03,pair,2,10,congestion_price_da,0.12677592039108276
p00_03,pair,2,10,congestion_price_rt,0.12925249338150024
p00_03,pair,2,10,marginal_loss_price_da,0.37843215465545654
p00_03,pair,2,10,total_lmp_da,0.4545479416847229
p00_03,pair,2,10,da_as_total_mw_primary_reserve,0.12767744064331055
p00_03,pair,2,10,da_as_total_mw_synchronized_reserve,0.1227729320526123
p00_03,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.31511014699935913
p00_03,pair,2,50,net_actual_interchange_mw,0.31699657440185547
p00_03,pair,2,50,gross_actual_interchange_mw,0.18513184785842896
p00_03,pair,2,50,total_gen,0.806512176990509
p00_03,pair,2,50,metered_load_mw,0.8058271408081055
p00_03,pair,2,50,total_losses,0.5529866218566895
p00_03,pair,2,50,congestion_price_da,0.13867563009262085
p00_03,pair,2,50,congestion_price_rt,0.11923027038574219
p00_03,pair,2,50,marginal_loss_price_da,0.3761395215988159
p00_03,pair,2,50,total_lmp_da,0.43065863847732544
p00_03,pair,2,50,da_as_total_mw_primary_reserve,0.14443439245224
p00_03,pair,2,50,da_as_total_mw_synchronized_reserve,0.1267217993736267
p00_03,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.32978707551956177
p00_03,pair,2,200,net_actual_interchange_mw,0.287426233291626
p00_03,pair,2,200,gross_actual_interchange_mw,0.18319779634475708
p00_03,pair,2,200,total_gen,0.8150870203971863
p00_03,pair,2,200,metered_load_mw,0.8150926232337952
p00_03,pair,2,200,total_losses,0.5638024806976318
p00_03,pair,2,200,congestion_price_da,0.14075309038162231
p00_03,pair,2,200,congestion_price_rt,0.13731086254119873
p00_03,pair,2,200,marginal_loss_price_da,0.47184717655181885
p00_03,pair,2,200,total_lmp_da,0.5414131879806519
p00_03,pair,2,200,da_as_total_mw_primary_reserve,0.14723992347717285
p00_03,pair,2,200,da_as_total_mw_synchronized_reserve,0.13149911165237427
p00_03,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.3637416958808899
p00_06,pair,2,0,net_actual_interchange_mw,0.20565587282180786
p00_06,pair,2,0,gross_actual_interchange_mw,0.11864882707595825
p00_06,pair,2,0,total_gen,0.7556825876235962
