sid,group,size,K,conf,est
p00_03,pair,2,0,net_actual_interchange_mw,0.06506609916687012
p00_03,pair,2,0,gross_actual_interchange_mw,0.1113237738609314
p00_03,pair,2,0,total_gen,0.7669126987457275
p00_03,pair,2,0,metered_load_mw,0.7560206651687622
p00_03,pair,2,0,total_losses,0.42637765407562256
p00_03,pair,2,0,congestion_price_da,0.08742809295654297
p00_03,pair,2,0,congestion_price_rt,0.11749565601348877
p00_03,pair,2,0,marginal_loss_price_da,0.322292685508728
p00_03,pair,2,0,total_lmp_da,0.39469653367996216
p00_03,pair,2,0,da_as_total_mw_primary_reserve,0.02683502435684204
p00_03,pair,2,0,da_as_total_mw_synchronized_reserve,0.003106534481048584
p00_03,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.17459160089492798
p00_03,pair,2,10,net_actual_interchange_mw,0.07030433416366577
p00_03,pair,2,10,gross_actual_interchange_mw,0.12843191623687744
p00_03,pair,2,10,total_gen,0.7768262028694153
p00_03,pair,2,10,metered_load_mw,0.7716864943504333
p00_03,pair,2,10,total_losses,0.47778064012527466
p00_03,pair,2,10,congestion_price_da,0.08534401655197144
p00_03,pair,2,10,congestion_price_rt,0.1207045316696167
p00_03,pair,2,10,marginal_loss_price_da,0.37886613607406616
p00_03,pair,2,10,total_lmp_da,0.4313179850578308
p00_03,pair,2,10,da_as_total_mw_primary_reserve,0.011252760887145996
p00_03,pair,2,10,da_as_total_mw_synchronized_reserve,0.015788614749908447
p00_03,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.2221927046775818
p00_03,pair,2,50,net_actual_interchange_mw,0.21953105926513672
p00_03,pair,2,50,gross_actual_interchange_mw,0.16097718477249146
p00_03,pair,2,50,total_gen,0.8100728392601013
p00_03,pair,2,50,metered_load_mw,0.8079534769058228
p00_03,pair,2,50,total_losses,0.4936732053756714
p00_03,pair,2,50,congestion_price_da,0.08862918615341187
p00_03,pair,2,50,congestion_price_rt,0.1457328200340271
p00_03,pair,2,50,marginal_loss_price_da,0.45259857177734375
p00_03,pair,2,50,total_lmp_da,0.5209405422210693
p00_03,pair,2,50,da_as_total_mw_primary_reserve,0.09693300724029541
