sid,size,K,conf,est
p00_01,2,0,net_actual_interchange_mw,0.10072743892669678
p00_01,2,0,gross_actual_interchange_mw,0.18140488862991333
p00_01,2,0,total_gen,0.9123662114143372
p00_01,2,0,metered_load_mw,0.8819069862365723
p00_01,2,0,total_losses,0.4801429510116577
p00_01,2,0,congestion_price_da,0.04646492004394531
p00_01,2,0,congestion_price_rt,0.0
p00_01,2,0,marginal_loss_price_da,0.10529226064682007
p00_01,2,0,total_lmp_da,0.25933629274368286
p00_01,2,0,da_as_total_mw_primary_reserve,0.12339824438095093
p00_01,2,0,da_as_total_mw_synchronized_reserve,0.0791817307472229
p00_01,2,0,da_as_total_mw_thirty_minutes_reserve,0.20012807846069336
p00_01,2,5,net_actual_interchange_mw,0.15721404552459717
p00_01,2,5,gross_actual_interchange_mw,0.17965227365493774
p00_01,2,5,total_gen,0.9260019063949585
p00_01,2,5,metered_load_mw,0.9015064239501953
p00_01,2,5,total_losses,0.532027006149292
p00_01,2,5,congestion_price_da,0.11628925800323486
p00_01,2,5,congestion_price_rt,0.004616856575012207
p00_01,2,5,marginal_loss_price_da,0.2594375014305115
p00_01,2,5,total_lmp_da,0.4156046509742737
p00_01,2,5,da_as_total_mw_primary_reserve,0.1363290548324585
p00_01,2,5,da_as_total_mw_synchronized_reserve,0.14045512676239014
p00_01,2,5,da_as_total_mw_thirty_minutes_reserve,0.26635730266571045
p00_01,2,10,net_actual_interchange_mw,0.1902511715888977
p00_01,2,10,gross_actual_interchange_mw,0.18460404872894287
p00_01,2,10,total_gen,0.9212287664413452
p00_01,2,10,metered_load_mw,0.8997337818145752
p00_01,2,10,total_losses,0.5483860969543457
p00_01,2,10,congestion_price_da,0.11761868000030518
p00_01,2,10,congestion_price_rt,0.06545621156692505
p00_01,2,10,marginal_loss_price_da,0.2820054292678833
p00_01,2,10,total_lmp_da,0.4339543581008911
p00_01,2,10,da_as_total_mw_primary_reserve,0.14188534021377563
p00_01,2,10,da_as_total_mw_synchronized_reserve,0.15280872583389282
p00_01,2,10,da_as_total_mw_thirty_minutes_reserve,0.32409512996673584
p00_01,2,15,net_actual_interchange_mw,0.20344805717468262
p00_01,2,15,gross_actual_interchange_mw,0.18696188926696777
p00_01,2,15,total_gen,0.9280574917793274
p00_01,2,15,metered_load_mw,0.9060513973236084
p00_01,2,15,total_losses,0.551272988319397
p00_01,2,15,congestion_price_da,0.11417853832244873
p00_01,2,15,congestion_price_rt,0.07131153345108032
p00_01,2,15,marginal_loss_price_da,0.29094135761260986
p00_01,2,15,total_lmp_da,0.45406776666641235
p00_01,2,15,da_as_total_mw_primary_reserve,0.1524357795715332
p00_01,2,15,da_as_total_mw_synchronized_reserve,0.15910828113555908
p00_01,2,15,da_as_total_mw_thirty_minutes_reserve,0.3451871871948242
p00_01,2,20,net_actual_interchange_mw,0.19428884983062744
p00_01,2,20,gross_actual_interchange_mw,0.17372828722000122
p00_01,2,20,total_gen,0.927501916885376
p00_01,2,20,metered_load_mw,0.9058738946914673
p00_01,2,20,total_losses,0.5568357706069946
p00_01,2,20,congestion_price_da,0.11730408668518066
p00_01,2,20,congestion_price_rt,0.07704758644104004
p00_01,2,20,marginal_loss_price_da,0.3235158920288086
p00_01,2,20,total_lmp_da,0.47372663021087646
p00_01,2,20,da_as_total_mw_primary_reserve,0.15675002336502075
p00_01,2,20,da_as_total_mw_synchronized_reserve,0.156957745552063
p00_01,2,20,da_as_total_mw_thirty_minutes_reserve,0.3054651618003845
p00_01,2,25,net_actual_interchange_mw,0.2096245288848877
p00_01,2,25,gross_actual_interchange_mw,0.17736053466796875
p00_01,2,25,total_gen,0.9307535886764526
p00_01,2,25,metered_load_mw,0.9068030118942261
p00_01,2,25,total_losses,0.562472939491272
p00_01,2,25,congestion_price_da,0.1236574649810791
p00_01,2,25,congestion_price_rt,0.07785207033157349
p00_01,2,25,marginal_loss_price_da,0.32686376571655273
p00_01,2,25,total_lmp_da,0.4840925931930542
p00_01,2,25,da_as_total_mw_primary_reserve,0.15748906135559082
p00_01,2,25,da_as_total_mw_synchronized_reserve,0.16484695672988892
p00_01,2,25,da_as_total_mw_thirty_minutes_reserve,0.357022225856781
p00_01,2,30,net_actual_interchange_mw,0.21268236637115479
p00_01,2,30,gross_actual_interchange_mw,0.1879124641418457
p00_01,2,30,total_gen,0.9345037341117859
p00_01,2,30,metered_load_mw,0.9128081798553467
p00_01,2,30,total_losses,0.5639035701751709
p00_01,2,30,congestion_price_da,0.12591171264648438
p00_01,2,30,congestion_price_rt,0.08236980438232422
p00_01,2,30,marginal_loss_price_da,0.3343627452850342
p00_01,2,30,total_lmp_da,0.49126899242401123
p00_01,2,30,da_as_total_mw_primary_reserve,0.1532357931137085
p00_01,2,30,da_as_total_mw_synchronized_reserve,0.16588014364242554
p00_01,2,30,da_as_total_mw_thirty_minutes_reserve,0.36287814378738403
p00_01,2,35,net_actual_interchange_mw,0.22088539600372314
p00_01,2,35,gross_actual_interchange_mw,0.17857229709625244
p00_01,2,35,total_gen,0.9333781003952026
p00_01,2,35,metered_load_mw,0.9127577543258667
p00_01,2,35,total_losses,0.5636176466941833
p00_01,2,35,congestion_price_da,0.12837016582489014
p00_01,2,35,congestion_price_rt,0.08620238304138184
p00_01,2,35,marginal_loss_price_da,0.34122782945632935
p00_01,2,35,total_lmp_da,0.4889487624168396
p00_01,2,35,da_as_total_mw_primary_reserve,0.1604275107383728
p00_01,2,35,da_as_total_mw_synchronized_reserve,0.1704169511795044
p00_01,2,35,da_as_total_mw_thirty_minutes_reserve,0.355394184589386
p00_01,2,40,net_actual_interchange_mw,0.22095471620559692
p00_01,2,40,gross_actual_interchange_mw,0.18417119979858398
p00_01,2,40,total_gen,0.9269691705703735
p00_01,2,40,metered_load_mw,0.905563235282898
p00_01,2,40,total_losses,0.5612297654151917
p00_01,2,40,congestion_price_da,0.12240558862686157
p00_01,2,40,congestion_price_rt,0.08239489793777466
p00_01,2,40,marginal_loss_price_da,0.3206133246421814
p00_01,2,40,total_lmp_da,0.49568259716033936
p00_01,2,40,da_as_total_mw_primary_reserve,0.16164207458496094
p00_01,2,40,da_as_total_mw_synchronized_reserve,0.15808916091918945
p00_01,2,40,da_as_total_mw_thirty_minutes_reserve,0.3620414733886719
p00_01,2,45,net_actual_interchange_mw,0.21571987867355347
p00_01,2,45,gross_actual_interchange_mw,0.1856250762939453
p00_01,2,45,total_gen,0.924551248550415
p00_01,2,45,metered_load_mw,0.9059944152832031
p00_01,2,45,total_losses,0.5619573593139648
p00_01,2,45,congestion_price_da,0.12823385000228882
