scheme,mode,K,all_parent_mae,all_parent_bias,all_pair_mae,all_syn_mae,all_s1_spearman,all_top30_recall,all_top30_precision,all_top30_f1,tune_parent_mae,tune_parent_bias,tune_pair_mae,tune_syn_mae,tune_s1_spearman,tune_top30_recall,tune_top30_precision,tune_top30_f1,test_parent_mae,test_parent_bias,test_pair_mae,test_syn_mae,test_s1_spearman,test_top30_recall,test_top30_precision,test_top30_f1,extreme_n,extreme_parent_true_mean,extreme_parent_est_mean,extreme_parent_error_mean,extreme_pair_true_mean,extreme_pair_est_mean,extreme_pair_error_mean,extreme_syn_true_mean,extreme_syn_est_mean,extreme_negative_count,extreme_top30_hit,extreme_conf_match,extreme_monotonicity_violation
uniform,single,0,0.18852786565903956,0.17216029277614509,0.19860664417108342,0.01957732262976069,0.6970569678879461,0.8271208501153977,0.238760825021711,0.3705553086665237,0.18798183955324835,0.17173051025915312,0.19798705807185465,0.019533688819932334,0.707340644536374,0.8170353491918538,0.22932288821726704,0.3581276456832068,0.18934711098979465,0.1728051288316953,0.19953625726725285,0.01964278982003933,0.6823887430226502,0.8424481447446787,0.25417907784047,0.3905295950155763,15,0.5709681749343872,0.21346253951390584,-0.35750563542048136,0.2789422790209452,0.20900265375773108,-0.06993962526321411,0.29202589591344197,0.004459885756174732,11,1,2,11
uniform,single,1,0.19096670694802348,0.17475344275057134,0.1998730086539525,0.01846264324113837,0.6646854864894757,0.8036236425511162,0.22203579922400687,0.3479385271203234,0.1905518819618073,0.1743348843164445,0.19937117020559408,0.018488703026955,0.6724594336824322,0.8056450540389577,0.2124469133464494,0.3362305380386469,0.19158910105964885,0.17538143844376203,0.2006259558138969,0.018423543722590953,0.6536307448357566,0.8005516315844791,0.23849950665434577,0.3675106299538926,15,0.5709681749343872,0.21043205261230466,-0.36053612232208254,0.2789422790209452,0.2039268175760905,-0.07501546144485473,0.29202589591344197,0.006505235036214173,10,1,4,10
uniform,single,5,0.19848155310089205,0.18782629331578435,0.20743359279600618,0.01512091145384111,0.7665452089382914,0.8583183783124748,0.24149207225654643,0.3769323772606756,0.19786534334038625,0.1872931398368665,0.2068061317628403,0.015130441778688882,0.7610283668906772,0.8427887471295961,0.22934990026880497,0.36057559452945853,0.19940610041411727,0.1886262248456998,0.20837502126654978,0.01510661236804775,0.7755089035462346,0.8819193114171838,0.26160632849364934,0.40351639707088155,15,0.5709681749343872,0.24288311402002968,-0.3280850609143575,0.2789422790209452,0.22055049339930216,-0.058391785621643065,0.29202589591344197,0.022332620620727547,9,4,5,9
uniform,single,10,0.20216227215862037,0.1925337674700964,0.21017722899571598,0.014008273437836663,0.7880172762111533,0.8719260213084983,0.24484739111775433,0.38233147241794185,0.20159971240738273,0.1919945814486453,0.2095692968225275,0.014093480650800244,0.7842618115668154,0.858966743210774,0.23658301858364228,0.37098624281367804,0.2030063242004259,0.19334275009161803,0.21108935680246024,0.013880430445300749,0.7939005610889069,0.8916206973679603,0.2580447038261356,0.40025210559280655,15,0.5709681749343872,0.2571965018908183,-0.31377167304356895,0.2789422790209452,0.23169225056966142,-0.04725002845128379,0.29202589591344197,0.025504251321156836,4,5,4,4
uniform,single,25,0.20947784225613225,0.20268704239059457,0.2169535150119879,0.012160121157429236,0.8333615514141608,0.8825139621785918,0.2513696384038856,0.3912874574519905,0.2090994451810752,0.20225547094807994,0.21647984507148577,0.012175202348785863,0.8284275692355773,0.8717339456861928,0.24239540562561868,0.37931736223164636,0.21004558074633256,0.2033345625099028,0.21766419877410048,0.012137493675940525,0.8400513350321391,0.8988967368310425,0.2658772638108303,0.4103735225982342,15,0.5709681749343872,0.30582956473032635,-0.2651386102040609,0.2789422790209452,0.2447756767272949,-0.03416660229365031,0.29202589591344197,0.061053888003031416,1,11,7,1
uniform,single,50,0.21553506208373635,0.21130131195329055,0.22165514508349754,0.010174955638826606,0.8633289096267966,0.8990092254119136,0.2630682581007381,0.4070310186730868,0.21506231213122218,0.21072628294691417,0.2211274769856325,0.010253613017251872,0.8566787871644267,0.8911037423862256,0.2568598081065685,0.3987735258216418,0.21624436551649204,0.21216407258602632,0.22244684647062796,0.010056939871227064,0.8726828973331844,0.9110234692695128,0.2728724887632764,0.41995791892794215,15,0.5709681749343872,0.3832429806391398,-0.1877251942952474,0.2789422790209452,0.25284118254979454,-0.026101096471150713,0.29202589591344197,0.1304017980893453,0,11,10,0
local234_uniform10,single,0,0.19133142587555316,0.17924424280462414,0.20443994737259966,0.019972629568303136,0.7006832807052084,0.8411247387773173,0.2392641974925545,0.37255293692570474,0.19083548233529993,0.178761514538102,0.20378901782396106,0.019882392717901386,0.6979441284575765,0.8416308327939781,0.23324355941111388,0.3652612297299039,0.1920755284475023,0.1799685174760682,0.20541658747774633,0.02010801891611932,0.7045483717790122,0.8403556096916849,0.24904881625142564,0.38422750053135624,15,0.5709681749343872,0.19713757038116456,-0.37383060455322265,0.2789422790209452,0.20419449806213377,-0.07474778095881145,0.29202589591344197,-0.007056927680969229,10,1,1,10
local234_uniform10,single,1,0.19570635789637542,0.18518116921837924,0.20754053764229724,0.01756339689915799,0.7374347548791562,0.8361799564931882,0.23614988548157695,0.3682892953985389,0.19513444268531388,0.18463951259068112,0.20688091710548592,0.01752411294658895,0.7344405065995674,0.8416308327939781,0.22600933353618455,0.35633058703122533,0.1965644466604119,0.18599385868213889,0.20853021751130243,0.017622337661100412,0.7420607644392968,0.8278960658185143,0.25373866568876813,0.38842917474928734,15,0.5709681749343872,0.21111146211624143,-0.35985671281814574,0.2789422790209452,0.21389542023340857,-0.06504685878753662,0.29202589591344197,-0.002783958117167159,10,1,2,10
local234_uniform10,single,5,0.2003456494816175,0.19173536546365352,0.21123885679039997,0.015600479864346303,0.7840959254173504,0.8672454028016332,0.2423270656486442,0.37880722464521727,0.19957818510639289,0.19102358659237798,0.2104713026592866,0.015620706647745708,0.777578812513618,0.8689801310411477,0.23348116371581598,0.3680682364202843,0.2014971358286166,0.19280330252863623,0.21239047780512282,0.0155701320518875,0.7937892940644379,0.8646090745686256,0.2572117331007387,0.3964761519915872,15,0.5709681749343872,0.2309168855349223,-0.34005128939946494,0.2789422790209452,0.2252156416575114,-0.053726637363433825,0.29202589591344197,0.005701243877410889,9,2,2,9
local234_uniform10,single,10,0.20463584972683885,0.19694379190631572,0.2142694309534693,0.014187779956655643,0.8008483547082972,0.8866282862722534,0.2502985241809871,0.3903888086913752,0.20406793424113143,0.196426257772826,0.21368284524232242,0.014195504797513317,0.7943566385154607,0.8931376286694626,0.24556286508901334,0.38521355917037076,0.2054879373926019,0.19772028852043544,0.21514953100701598,0.014176189778573756,0.8106347825685876,0.8767358070070956,0.2580014837424728,0.3986810707676058,15,0.5709681749343872,0.24545493125915527,-0.32551324367523193,0.2789422790209452,0.23432202339172362,-0.044620255629221596,0.29202589591344197,0.011132907867431643,7,5,2,7
