target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,8,2.0293197631835938,0.9758965195743122
gross_actual_interchange_mw,9,2.118745803833008,0.9642827709499069
total_gen,27,2.973733901977539,0.9022697490433476
metered_load_mw,26,2.9760255813598633,0.913424616683424
total_losses,18,2.6098272800445557,0.902938271838149
congestion_price_da,6,1.7539129257202148,0.9788774418900403
congestion_price_rt,11,2.229520320892334,0.9297821911506831
marginal_loss_price_da,21,2.6979970932006836,0.8861807223920946
total_lmp_da,31,2.9401535987854004,0.8561923570784575
da_as_total_mw_primary_reserve,10,1.5489903688430786,0.6727179697098317
da_as_total_mw_synchronized_reserve,6,1.0681942701339722,0.5961705733829235
da_as_total_mw_thirty_minutes_reserve,18,2.6050472259521484,0.901284486618532
