alpha,trial,true_r2,syn_poly2,v_poly2,sub_poly2,pct_poly2,rank_poly2,syn_full,v_full,sub_full,pct_full,rank_full,t_stat
0.2,0,0.04,-0.0003,0.0226,0.0229,33.33,201,-0.0052,0.0183,0.0235,6.33,282,2.43
0.2,1,0.04,0.0005,0.0644,0.0638,89.67,32,0.007,0.0781,0.0711,98.0,7,2.89
0.2,2,0.04,0.0015,0.0058,0.0042,100.0,1,0.041,0.0475,0.0065,100.0,1,10.59
0.2,3,0.04,-0.0009,0.0214,0.0223,29.33,213,0.0307,0.0525,0.0219,100.0,1,10.86
0.2,4,0.04,0.0,0.0,0.0,19.67,242,0.0104,0.0104,0.0,100.0,1,6.64
0.3,0,0.09,0.0009,0.1282,0.1273,93.33,21,0.0179,0.147,0.1291,99.67,2,7.19
0.3,1,0.09,-0.0004,0.0585,0.0589,63.33,111,0.0458,0.1125,0.0667,100.0,1,13.88
0.3,2,0.09,-0.0011,0.1007,0.1018,63.67,110,0.0138,0.1229,0.1091,99.33,3,3.64
0.3,3,0.09,0.0001,0.0721,0.072,88.0,37,0.012,0.0875,0.0755,100.0,1,3.42
0.3,4,0.09,0.0,0.0,0.0,17.0,250,-0.0012,0.0036,0.0048,9.33,273,1.33
0.45,0,0.2025,0.0002,0.0221,0.0219,99.33,3,0.0205,0.0566,0.0361,100.0,1,4.88
0.45,1,0.2025,-0.114,0.0,0.114,0.33,300,-0.0371,0.1135,0.1505,16.33,252,0.57
0.45,2,0.2025,0.0166,0.4255,0.4089,98.67,5,0.0465,0.5071,0.4607,98.0,7,3.38
0.45,3,0.2025,-0.0059,0.0,0.0059,4.33,288,0.1414,0.1843,0.0429,100.0,1,25.09
0.45,4,0.2025,-0.003,0.1039,0.1069,13.0,262,0.1789,0.2992,0.1202,100.0,1,28.22
