split,order,method,rank,n_tasks,per_conf_mae,per_conf_bias,per_conf_spearman,maxconf_spearman,pool_fraction,truth_threshold,n_strong,strong_recall
audit,2,full_K0,0,50,0.020707871417204538,-0.01877438575029373,0.6573195702992437,0.8645858343337334,0.3,0.05,32,0.46875
audit,2,full_K0,0,50,0.020707871417204538,-0.01877438575029373,0.6573195702992437,0.8645858343337334,0.3,0.1,20,0.65
audit,2,full_K0,0,50,0.020707871417204538,-0.01877438575029373,0.6573195702992437,0.8645858343337334,0.3,0.2,3,1.0
audit,2,full_K1,0,50,0.019366180797417958,-0.016970684230327607,0.661889781417796,0.9175030012004801,0.3,0.05,32,0.46875
audit,2,full_K1,0,50,0.019366180797417958,-0.016970684230327607,0.661889781417796,0.9175030012004801,0.3,0.1,20,0.65
audit,2,full_K1,0,50,0.019366180797417958,-0.016970684230327607,0.661889781417796,0.9175030012004801,0.3,0.2,3,1.0
audit,2,full_K25,0,50,0.012501886586348217,-0.010153800745805104,0.8420024894791721,0.9335414165666266,0.3,0.05,32,0.46875
audit,2,full_K25,0,50,0.012501886586348217,-0.010153800745805104,0.8420024894791721,0.9335414165666266,0.3,0.1,20,0.7
audit,2,full_K25,0,50,0.012501886586348217,-0.010153800745805104,0.8420024894791721,0.9335414165666266,0.3,0.2,3,1.0
audit,2,full_K5,0,50,0.016811164120833076,-0.01483369300762812,0.7681733979500917,0.9380552220888354,0.3,0.05,32,0.46875
audit,2,full_K5,0,50,0.016811164120833076,-0.01483369300762812,0.7681733979500917,0.9380552220888354,0.3,0.1,20,0.65
audit,2,full_K5,0,50,0.016811164120833076,-0.01483369300762812,0.7681733979500917,0.9380552220888354,0.3,0.2,3,1.0
audit,2,gradmap_1024,4,50,0.02249870777130127,-0.01930595636367798,0.6099920616441755,0.8362545018007203,0.3,0.05,32,0.46875
audit,2,gradmap_1024,4,50,0.02249870777130127,-0.01930595636367798,0.6099920616441755,0.8362545018007203,0.3,0.1,20,0.6
audit,2,gradmap_1024,4,50,0.02249870777130127,-0.01930595636367798,0.6099920616441755,0.8362545018007203,0.3,0.2,3,1.0
audit,2,gradmap_1024,8,50,0.02196464647849401,-0.018334596852461492,0.6080506623699933,0.7939015606242497,0.3,0.05,32,0.46875
audit,2,gradmap_1024,8,50,0.02196464647849401,-0.018334596852461492,0.6080506623699933,0.7939015606242497,0.3,0.1,20,0.6
audit,2,gradmap_1024,8,50,0.02196464647849401,-0.018334596852461492,0.6080506623699933,0.7939015606242497,0.3,0.2,3,1.0
