S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(2, 29, 39, 40)",strong,False,0.3721245789589198,4,0.6393558603047345,0.0616108775138855,0,0.8146193623542786,0.7889055013656616,0.059285521507263184,0,0.8137959837913513,0.051915884017944336
"(25, 29, 39, 40)",strong,False,0.29141614369585533,4,0.6008620263814555,0.056458353996276855,9,0.7988824248313904,0.7889055013656616,0.04994910955429077,9,0.8043938875198364,0.03580880165100098
"(18, 29, 40, 42)",strong,False,0.26865063460500926,6,0.46636243505665986,0.05855804681777954,4,0.8056852221488953,0.8138279914855957,0.04964768886566162,4,0.8278528451919556,0.027194678783416748
"(1, 24, 39, 40)",strong,False,0.2494607033832561,4,0.8762267666343665,0.045249879360198975,0,0.8980625867843628,0.8927820324897766,0.036886751651763916,9,0.9025652408599854,0.025082111358642578
"(5, 30, 39, 42)",strong,False,0.2430579340362734,6,0.8186163251321614,0.04815143346786499,4,0.8613488078117371,0.8429238796234131,0.04430490732192993,4,0.8784295916557312,0.01352924108505249
"(5, 30, 40, 42)",strong,False,0.23980155954880356,6,0.7156724004697499,0.04939991235733032,4,0.8755063414573669,0.8588177561759949,0.04538923501968384,4,0.8911889791488647,0.004374563694000244
"(0, 9, 17, 40)",strong,False,0.23663838356494538,6,0.8123951034371317,0.03847116231918335,9,0.8408223390579224,0.8302690386772156,0.03400522470474243,6,0.8419694900512695,0.03539663553237915
"(14, 30, 39, 40)",strong,False,0.22962035028573213,7,0.8666220865614435,0.09126240015029907,7,0.910459041595459,0.8968142867088318,0.06593763828277588,7,0.9064465761184692,0.09126240015029907
"(3, 10, 23, 40)",strong,False,0.2268758525751996,7,0.5550626942517456,0.03886687755584717,0,0.6655933856964111,0.7006654739379883,0.02414572238922119,0,0.6796690225601196,-0.1704026460647583
"(9, 10, 17, 40)",strong,False,0.22630989871701157,6,0.6013619209500127,0.04542672634124756,6,0.7049235105514526,0.6891524791717529,0.04386657476425171,5,0.7128720283508301,0.04542672634124756
