S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(12, 23, 26, 37, 40)",strong,False,0.4085814930269226,7,0.4627209879126931,0.03869229555130005,2,0.6602414846420288,0.713672399520874,0.027130126953125,2,0.6719603538513184,-0.23937654495239258
"(11, 30, 39, 40, 43)",strong,False,0.40441248996240375,4,0.8275116316986086,0.03902405500411987,3,0.8562309741973877,0.8509827256202698,0.036787211894989014,3,0.8725874423980713,0.03300118446350098
"(11, 21, 23, 39, 43)",strong,False,0.38508241799438003,6,0.5468378138564618,0.03981238603591919,0,0.6665294170379639,0.6773955821990967,0.03571510314941406,0,0.6760168075561523,-0.06437069177627563
"(3, 7, 27, 39, 40)",strong,False,0.37426678090934573,4,0.5414628599445854,0.04085874557495117,2,0.6348085403442383,0.660222053527832,0.04537379741668701,2,0.631786584854126,0.03259456157684326
"(17, 23, 26, 28, 40)",strong,False,0.3576798185709049,6,0.42961622101628416,0.033098459243774414,4,0.6075113415718079,0.6312623023986816,0.03004080057144165,2,0.584830641746521,-0.11459124088287354
"(7, 28, 30, 39, 40)",strong,False,0.3540384213154094,6,0.3726906376449184,0.03097635507583618,9,0.8364509344100952,0.8429602980613708,0.029435694217681885,9,0.8453772664070129,-0.021134555339813232
"(7, 15, 23, 39, 40)",strong,False,0.3441467588284597,7,0.5457279214502927,0.032596588134765625,11,0.7611628770828247,0.7772371172904968,0.026353836059570312,11,0.7551859021186829,-0.07749950885772705
"(37, 38, 39, 40, 41)",strong,False,0.34049823492002185,6,0.9810227672231154,0.0260850191116333,0,0.9789062142372131,0.981773316860199,0.014256119728088379,11,0.9826605319976807,0.008241236209869385
"(1, 8, 10, 11, 43)",control,False,0.045687912412281984,0,0.9972545160635602,0.03527045249938965,0,0.9942929744720459,0.9948962926864624,0.0342220664024353,0,0.9941715002059937,0.03527045249938965
"(5, 10, 12, 21, 25)",control,False,0.017466730171742717,8,0.7591008232396993,0.031049132347106934,0,0.7730181813240051,0.7683930993080139,0.02619415521621704,0,0.770392656326294,0.007304370403289795
"(5, 20, 23, 31, 36)",control,False,0.027515335856142298,5,0.9823911371391093,0.008366525173187256,0,0.9793723821640015,0.9816428422927856,0.010487496852874756,0,0.9795556664466858,-0.014004349708557129
"(18, 23, 26, 42, 43)",control,False,0.02334934593562532,8,0.6565486804007324,0.03335481882095337,4,0.6910945177078247,0.6782797574996948,0.025932133197784424,4,0.7075741291046143,0.003993511199951172
"(8, 13, 20, 29, 35)",control,False,0.014954047922473235,10,0.9827427608250713,0.0118485689163208,10,0.9802867770195007,0.9802892208099365,0.00951772928237915,10,0.9805659651756287,0.0118485689163208
