S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(0, 3, 6, 20, 27)",strong,False,0.10585360733014693,5,0.8398804554815337,0.05755048990249634,9,0.8905380368232727,0.8816357851028442,0.061640381813049316,9,0.8928595781326294,0.03596651554107666
"(0, 1, 6, 20, 27)",strong,False,0.09481033830889418,5,0.8528942736914746,0.042670249938964844,9,0.8963096141815186,0.8924521207809448,0.04797399044036865,9,0.8992074728012085,0.02796494960784912
"(20, 21, 25, 26, 39)",strong,False,0.0934523307578986,1,0.9619010364687618,0.08015561103820801,1,0.9605008959770203,0.9614290595054626,0.08438706398010254,1,0.965512752532959,0.08015561103820801
"(14, 21, 25, 32, 43)",strong,False,0.09240374979289467,1,0.9585607282809124,0.059370577335357666,1,0.9566053748130798,0.9593021273612976,0.05776423215866089,1,0.9614934921264648,0.059370577335357666
"(9, 13, 26, 33, 38)",strong,False,0.09138954614099148,1,0.8264258543082965,0.0936964750289917,1,0.834448516368866,0.8290945291519165,0.08729410171508789,1,0.8291361331939697,0.0936964750289917
"(16, 20, 25, 26, 39)",strong,False,0.09078254526973206,3,0.830816476930782,0.09673935174942017,3,0.8594195246696472,0.8522558212280273,0.08070588111877441,0,0.8594504594802856,0.09673935174942017
"(14, 21, 34, 37, 38)",strong,False,0.08945280613082462,3,0.960639246194955,0.037711143493652344,2,0.9616992473602295,0.960608720779419,0.04200249910354614,2,0.9654443264007568,0.029070019721984863
"(19, 22, 27, 28, 33)",strong,False,0.08828851296199602,5,0.9716585327883974,0.04172593355178833,5,0.9708120822906494,0.9698338508605957,0.037944257259368896,5,0.9697755575180054,0.04172593355178833
"(2, 4, 5, 20, 29)",strong,False,0.08799586415942273,9,0.8506768290598709,0.06021994352340698,5,0.8792716264724731,0.8657764792442322,0.04986083507537842,9,0.8840703964233398,0.05138617753982544
"(14, 19, 21, 26, 37)",strong,False,0.08665120895980594,1,0.9823430505387116,0.03778356313705444,3,0.9836446642875671,0.9835617542266846,0.035173773765563965,2,0.983077347278595,0.03728175163269043
