order,trial,S,r2_inject,syn_inject,rand_median,rand_p99,percentile,rank,n_rand
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0.2,-0.009068866211742077,0.0,0.0,0.0,401,400
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0.35,0.03138325813517906,0.0,1.6321180765140475e-06,100.0,1,400
5,1,"(np.int64(3), np.int64(11), np.int64(17), np.int64(25), np.int64(36))",0.2,0.04526390272434444,-0.0021098800813948992,0.007225844512046264,100.0,1,400
5,1,"(np.int64(3), np.int64(11), np.int64(17), np.int64(25), np.int64(36))",0.35,0.03535456608503984,-0.002960805772896702,0.006705491392583319,100.0,1,400
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.2,0.016158002532919435,-0.0016544644941990927,0.0069563216680607574,100.0,1,400
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.35,0.07116917082305596,-0.005530616982211356,0.011527409752561113,100.0,1,400
5,3,"(np.int64(11), np.int64(17), np.int64(27), np.int64(35), np.int64(42))",0.2,0.03184960986074192,0.0,0.005716004147574529,100.0,1,400
5,3,"(np.int64(11), np.int64(17), np.int64(27), np.int64(35), np.int64(42))",0.35,0.026652104418958045,-0.0021623541181595707,0.005262047570994876,100.0,1,400
5,4,"(np.int64(12), np.int64(21), np.int64(28), np.int64(34), np.int64(43))",0.2,0.023844690979734073,-0.0002634215325146849,0.0026777583690523483,100.0,1,400
5,4,"(np.int64(12), np.int64(21), np.int64(28), np.int64(34), np.int64(43))",0.35,0.059857436150201004,-0.0005706870737754999,0.0017819196712730667,100.0,1,400
5,5,"(np.int64(12), np.int64(15), np.int64(22), np.int64(32), np.int64(41))",0.2,0.06240674205103314,0.0,1.221356070789658e-06,100.0,1,400
5,5,"(np.int64(12), np.int64(15), np.int64(22), np.int64(32), np.int64(41))",0.35,0.10880077346085659,0.0,5.888059453992485e-06,100.0,1,400
5,6,"(np.int64(1), np.int64(3), np.int64(32), np.int64(36), np.int64(41))",0.2,0.004099849087644047,0.0,0.0015681194669278438,99.75,2,400
5,6,"(np.int64(1), np.int64(3), np.int64(32), np.int64(36), np.int64(41))",0.35,-0.03891625816558586,0.0,0.004525735506609535,0.0,401,400
5,7,"(np.int64(9), np.int64(16), np.int64(23), np.int64(26), np.int64(36))",0.2,0.01996584052231598,0.0,0.0022495855862463008,100.0,1,400
5,7,"(np.int64(9), np.int64(16), np.int64(23), np.int64(26), np.int64(36))",0.35,0.01803841259628236,-0.003595044852107654,0.006672524083909459,100.0,1,400
5,8,"(np.int64(18), np.int64(19), np.int64(28), np.int64(37), np.int64(42))",0.2,-0.0005524788425381733,-0.0011836576969030954,0.002443166243073484,71.0,117,400
5,8,"(np.int64(18), np.int64(19), np.int64(28), np.int64(37), np.int64(42))",0.35,-0.02310229121612095,-0.0020374796709956566,0.004420362329449323,0.0,401,400
5,9,"(np.int64(15), np.int64(25), np.int64(35), np.int64(42), np.int64(43))",0.2,0.013965583411527205,-0.0009858881293036692,0.004226350251274785,100.0,1,400
5,9,"(np.int64(15), np.int64(25), np.int64(35), np.int64(42), np.int64(43))",0.35,0.0017371595609466661,-0.002345682260793014,0.006338891469060723,95.75,18,400
5,10,"(np.int64(2), np.int64(10), np.int64(26), np.int64(27), np.int64(42))",0.2,-0.02470856789721121,-0.003598196262462494,0.011882170391941439,6.75,374,400
5,10,"(np.int64(2), np.int64(10), np.int64(26), np.int64(27), np.int64(42))",0.35,-0.0855236766983164,-0.006599936008143792,0.011906261947015913,0.0,401,400
5,11,"(np.int64(5), np.int64(16), np.int64(17), np.int64(22), np.int64(25))",0.2,0.00014151681729268617,-0.0007955290512547397,0.0017996895723899385,94.75,22,400
