game,method,budget,phi_MAE,size_part_MAE,field_part_MAE,bound_2eps_mean,bound_margerr_mean,bound_margerr_max,bound_holds_all,actual_max,full_set_err
gameB,perm_retrain,13.0,0.04397630394600226,,,,,,,,
gameB,perm_retrain,23.85,0.03193859444913753,,,,,,,,
gameB,perm_retrain,44.35,0.02382691882774102,,,,,,,,
gameB,perm_retrain,84.75,0.015603041574304064,,,,,,,,
gameB,perm_retrain,159.65,0.011069566728474233,,,,,,,,
gameB,perm_retrain,289.35,0.00797819366499381,,,,,,,,
gameB,perm_retrain,525.6,0.005189319267659509,,,,,,,,
gameB,kernel_retrain,31.5,0.04244017011301702,,,,,,,,
gameB,kernel_retrain,57.9,0.02002433354404261,,,,,,,,
gameB,kernel_retrain,104.5,0.011815833893027958,,,,,,,,
gameB,kernel_retrain,179.5,0.008185670876380263,,,,,,,,
gameB,kernel_retrain,310.0,0.005587886166099802,,,,,,,,
gameB,kernel_retrain,542.1,0.004023471133551809,,,,,,,,
gameB,kernel_retrain,930.9,0.0026341766104434824,,,,,,,,
gameB,exact_lin,0.0,0.02012200522455031,0.012934984425859069,0.015488022033108383,0.6265982985496521,0.024806735181397817,0.06144118727791378,True,0.056943785128357925,0.15521980822086334
gameB,exact_lin2,0.0,0.014241501491326747,0.009800132782806446,0.010780114169779285,0.44819214940071106,0.018152717219219166,0.042892475928949965,True,0.03868417345933049,0.11760159581899643
gameB,exact_poly2,0.0,0.011424327183221235,0.00676715084733187,0.008976033346361002,0.41136619448661804,0.016618222687228543,0.0371279047851703,True,0.030574385551941825,0.0812058076262474
gameB,exact_direct,0.0,0.01358760380262592,0.01058928358704885,0.009898442023905461,0.4567544460296631,0.018749164826275044,0.03952899351850433,True,0.03672314276134829,0.12707139551639557
gameB,exact_L0,0.0,0.006175786612671507,0.004664157204792375,0.00384258797416634,0.37450936436653137,0.013281879761828909,0.021300528332043236,True,0.013766924447290746,0.05596989020705223
gameB,exact_L0x,0.0,0.005712507135024669,0.0037140829622836235,0.004372470971828056,0.3859024941921234,0.01338370246176064,0.024232789235500443,True,0.017248310326429935,0.044568996876478195
gameB,exact_L1,0.0,0.006073871453819215,0.00464408761278416,0.003764580709175546,0.2612909972667694,0.012543360360131066,0.02048384238542384,True,0.01236297270198928,0.05572905018925667
gameB,exact_L1x,0.0,0.005351469857556303,0.003880583996861887,0.00347599292859122,0.274174302816391,0.012018338856421269,0.02096624172610369,True,0.012195678320293652,0.04656700789928436
gameB,exact_L1ens,0.0,0.004601808956078275,0.002208984150961947,0.0036863305326647767,0.42794886231422424,0.01145685957818883,0.020050901673403704,True,0.013096473614168316,0.02650780975818634
gameB,exact_L0ensx,0.0,0.0057337005429578605,0.0026254440722873976,0.005031591393770429,0.7617306113243103,0.01391865376142368,0.02482758298813724,True,0.017810670688143664,0.03150532767176628
gameB,exact_Lmixx,0.0,0.005868507346918382,0.0036600400733277716,0.004508206448345092,0.3366720974445343,0.013570142892739463,0.02422265510852352,True,0.017623005944947895,0.043920475989580154
gameB,exact_rffx,0.0,0.011422806631961106,0.004482658702019909,0.01094530956647833,1.256130576133728,0.029974130741933423,0.045952125162159685,True,0.0322738019304719,0.05379189923405647
gameB,exact_mono0,0.0,0.01358760380262592,0.01058928358704885,0.009898442023905461,0.4567544460296631,0.018749164826275044,0.03952899351850433,True,0.03672314276134829,0.12707139551639557
gameB,exact_mono1,0.0,0.011956068981014503,0.008386463133825175,0.009093409982797063,0.41169965267181396,0.01649214479945635,0.031588942412969695,True,0.02900163757463826,0.10063755512237549
gameB,exact_mono10,0.0,0.01652338047561451,0.011242876657181225,0.013185183782950536,0.5475801229476929,0.02195048933970884,0.044368907563323824,True,0.041555948005904064,0.13491451740264893
gameB,exact_mono0r,0.0,0.006175786612671507,0.004664157204792375,0.00384258797416634,0.37450936436653137,0.013281879761828909,0.021300528332043236,True,0.013766924447290746,0.05596989020705223
gameB,exact_mono1r,0.0,0.006083775798748763,0.0044398599663206095,0.00410421399107443,0.42819011211395264,0.013261251170343553,0.021267051628945547,True,0.014444322500254514,0.05327831581234932
gameB,exact_mono10r,0.0,0.006229462609858106,0.005093425716849077,0.0037173658578792024,1.057315468788147,0.012631083777391309,0.019942297423772452,True,0.013666829495279644,0.06112110987305641
gameA,perm_retrain,15.0,0.05156522620950164,,,,,,,,
gameA,perm_retrain,27.75,0.03648412017832396,,,,,,,,
gameA,perm_retrain,53.35,0.024888919460523108,,,,,,,,
gameA,perm_retrain,101.85,0.01985035504073634,,,,,,,,
gameA,perm_retrain,193.9,0.012786023288717748,,,,,,,,
gameA,perm_retrain,364.15,0.009173261174265892,,,,,,,,
gameA,perm_retrain,678.45,0.006408500194277486,,,,,,,,
gameA,kernel_retrain,32.4,0.08479180942234985,,,,,,,,
gameA,kernel_retrain,58.4,0.031849191624398414,,,,,,,,
gameA,kernel_retrain,105.8,0.016079665594169637,,,,,,,,
gameA,kernel_retrain,191.9,0.011624781466814855,,,,,,,,
gameA,kernel_retrain,341.4,0.007928824494067985,,,,,,,,
gameA,kernel_retrain,626.7,0.00545946852883831,,,,,,,,
gameA,kernel_retrain,1118.8,0.003732972645762159,,,,,,,,
gameA,exact_lin,0.0,0.022968815845368633,0.011330985951991532,0.01931121325513023,0.809674084186554,0.02810185537125728,0.09319159887032093,True,0.09199704675370675,0.15863381326198578
gameA,exact_lin2,0.0,0.015807721817313696,0.008224092405899178,0.01276832089002706,0.6273849010467529,0.020671447875891015,0.06645974095132863,True,0.06110608921011306,0.11513730138540268
gameA,exact_poly2,0.0,0.013202733926934202,0.00497775808062656,0.012488765334523028,0.6101776957511902,0.02078881982015544,0.0597380123648997,True,0.052012157236644346,0.06968861073255539
gameA,exact_direct,0.0,0.013724503232405285,0.005878525838765443,0.011446675326007977,0.8450049757957458,0.0195553222844086,0.050449122255921346,True,0.046453123141361206,0.0822993591427803
